Contig	CE_108A_sortedIndexed Read Count	CE_109A_sortedIndexed Read Count	CE_140A_sortedIndexed Read Count	ERR3624084_sortedIndexed Read Count	ERR3624086_sortedIndexed Read Count	ERR3624088_sortedIndexed Read Count	ERR3624090_sortedIndexed Read Count	ERR3624092_sortedIndexed Read Count	ERR3624094_sortedIndexed Read Count	ERR3624096_sortedIndexed Read Count	ERR3624098_sortedIndexed Read Count	ERR3624100_sortedIndexed Read Count	ERR4579589_sortedIndexed Read Count	ERR4579590_sortedIndexed Read Count	ERR4579591_sortedIndexed Read Count	ERR4579592_sortedIndexed Read Count	ERR4579593_sortedIndexed Read Count	ERR4579594_sortedIndexed Read Count	ERR4579595_sortedIndexed Read Count	ERR4579596_sortedIndexed Read Count	ERR4579597_sortedIndexed Read Count	ERR6365269_sortedIndexed Read Count	ERR6365270_sortedIndexed Read Count	ERR6365271_sortedIndexed Read Count	ERR6365272_sortedIndexed Read Count	ERR6365273_sortedIndexed Read Count	SRR12681089_sortedIndexed Read Count	SRR15353278_sortedIndexed Read Count	SRR15353279_sortedIndexed Read Count	SRR15353280_sortedIndexed Read Count	SRR15353281_sortedIndexed Read Count	SRR15353282_sortedIndexed Read Count	SRR15353283_sortedIndexed Read Count	SRR15353284_sortedIndexed Read Count	SRR15353285_sortedIndexed Read Count	SRR15353286_sortedIndexed Read Count	SRR15353287_sortedIndexed Read Count	SRR15353288_sortedIndexed Read Count	SRR15353289_sortedIndexed Read Count	SRR15353290_sortedIndexed Read Count	SRR15353291_sortedIndexed Read Count	SRR15353292_sortedIndexed Read Count	SRR15353293_sortedIndexed Read Count	SRR15353294_sortedIndexed Read Count	SRR15353295_sortedIndexed Read Count	SRR17220965_sortedIndexed Read Count	SRR17220966_sortedIndexed Read Count	SRR17220967_sortedIndexed Read Count	SRR17220968_sortedIndexed Read Count	SRR17220969_sortedIndexed Read Count	SRR17220970_sortedIndexed Read Count	SRR17220971_sortedIndexed Read Count	SRR17220972_sortedIndexed Read Count	SRR17220977_sortedIndexed Read Count	SRR17220978_sortedIndexed Read Count	SRR17220979_sortedIndexed Read Count	SRR18245246_sortedIndexed Read Count	SRR18245247_sortedIndexed Read Count	SRR18245248_sortedIndexed Read Count	SRR18245251_sortedIndexed Read Count	SRR18245252_sortedIndexed Read Count	SRR18245253_sortedIndexed Read Count	SRR6310506_sortedIndexed Read Count	SRR6310507_sortedIndexed Read Count	SRR6310508_sortedIndexed Read Count	SRR6310509_sortedIndexed Read Count	SRR6350024_sortedIndexed Read Count	SRR6350025_sortedIndexed Read Count	SRR6876832_sortedIndexed Read Count	SRR6876833_sortedIndexed Read Count	SRR6876834_sortedIndexed Read Count	SRR6876835_sortedIndexed Read Count	SRR6876836_sortedIndexed Read Count	SRR6876837_sortedIndexed Read Count	SRR6876838_sortedIndexed Read Count	SRR6876839_sortedIndexed Read Count	SRR6876840_sortedIndexed Read Count	SRR6876841_sortedIndexed Read Count	SRR6876842_sortedIndexed Read Count	SRR6876843_sortedIndexed Read Count	SRR6876844_sortedIndexed Read Count	SRR6876845_sortedIndexed Read Count	SRR6876846_sortedIndexed Read Count	SRR6876847_sortedIndexed Read Count	SRR6876848_sortedIndexed Read Count	SRR6876849_sortedIndexed Read Count
Crump_k141_10688	0	3	0	0	1	2	2	0	0	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	33576	257	72659	907	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Crump_k141_191974	98	199	377	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	3	3	10	205	208	9535	22	3	362931	16718	167	2451	45	30	1	1	0	1	3	0	1	1	0	3	0	0	2	1	1	1	3	1
Cucio_k119_1008993	0	0	0	2	0	0	0	3	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	6	2	2	4	2769	11	0	2	0	2	0	0	1	1	0	0	0	1	1	0	0	0	0	0
Cucio_k119_105986	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	3	2448	6	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Cucio_k119_136451	1	0	0	6	6	2	5	4	8	10	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	12	7	0	2	2	0	0	0	0	0	2	0	0	21	27	2	21	0	0	1	0	0	0	0	1	0	0	1	0	0	0	4	0	0	0	0	4	0	3	5080	16	1	0	1	1	1	6	1	3	1	0	6	1	4	2	1	1	9	1
Cucio_k119_228931	0	0	0	5	2	5	3	5	5	6	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	1	0	1	1	24	6	0	0	0	0	4	0	2	0	0	1401	1	0	0	1	0	1	1	1	3	1	0	0	2	1	1	0	1	0
Cucio_k119_23695	1	0	0	1	3	2	4	0	2	3	2	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	3	0	0	0	1	0	0	2	0	0	2	0	1	1	1	0	0	0	0	0	2	0	0	8	4435	2	2	1	3	1	0	0	0	1	2	1	1	1	3	0	0	1	4	1
Cucio_k119_276313	4	4	3	3	0	4	2	0	3	3	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	14	0	0	0	0	0	0	0	8	9	1854	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	1	0	0
Cucio_k119_325786	1	0	0	1	3	1	1	0	3	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	8	2232	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Cucio_k119_384596	0	0	0	2	1	4	5	1	4	1	1	4	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	3	3163	7	1	2	0	0	0	0	0	0	1	1	0	1	2	2	0	0	0	0
