Contig	CE_108A	CE_109A	CE_140A	ERR3624084	ERR3624086	ERR3624088	ERR3624090	ERR3624092	ERR3624094	ERR3624096	ERR3624098	ERR3624100	ERR4579589	ERR4579590	ERR4579591	ERR4579592	ERR4579593	ERR4579594	ERR4579595	ERR4579596	ERR4579597	ERR6365269	ERR6365270	ERR6365271	ERR6365272	ERR6365273	SRR12681089	SRR15353278	SRR15353279	SRR15353280	SRR15353281	SRR15353282	SRR15353283	SRR15353284	SRR15353285	SRR15353286	SRR15353287	SRR15353288	SRR15353289	SRR15353290	SRR15353291	SRR15353292	SRR15353293	SRR15353294	SRR15353295	SRR17220965	SRR17220966	SRR17220967	SRR17220968	SRR17220969	SRR17220970	SRR17220971	SRR17220972	SRR17220977	SRR17220978	SRR17220979	SRR18245246	SRR18245247	SRR18245248	SRR18245251	SRR18245252	SRR18245253	SRR6310506	SRR6310507	SRR6310508	SRR6310509	SRR6350024	SRR6350025	SRR6876832	SRR6876833	SRR6876834	SRR6876835	SRR6876836	SRR6876837	SRR6876838	SRR6876839	SRR6876840	SRR6876841	SRR6876842	SRR6876843	SRR6876844	SRR6876845	SRR6876846	SRR6876847	SRR6876848	SRR6876849
Crump_k141_10688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.18857	0	370.46967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crump_k141_191974	0	2.7678847	5.518826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.851495	2.7630122	138.49391	0	0	2769.5415	74.82481	0	18.44042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cucio_k119_1008993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.139675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cucio_k119_105986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.738031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cucio_k119_136451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.523352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cucio_k119_228931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.759709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cucio_k119_23695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.743166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cucio_k119_276313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.78186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cucio_k119_325786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.244631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cucio_k119_384596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.675352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
