VC,Size,pSG,ClstrComp,Order,Family,Genus,Phylum,Class
0_0,3,0,refseq,Tubulavirales,Inoviridae,Saetivirus,Hofneiviricota,Faserviricetes
1000_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1001_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1002_0,4,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1004_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1005_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1006_0,8,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1007_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1008_0,6,0.16666666666666666,both,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1009_0,6,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
100_0,22,0,refseq,Unassigned,Herelleviridae,Schiekvirus,Uroviricota,Caudoviricetes
1012_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1014_0,6,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1015_0,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1016_0,8,0.75,both,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1017_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1018_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
101_0,2,0,refseq,Unassigned,Herelleviridae,Mooreparkvirus,Uroviricota,Caudoviricetes
1020_0,4,0.75,both,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1021_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1022_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1023_0,2,0.5,both,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1024_0,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1025_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1026_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1027_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1028_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1029_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
102_0,2,0,refseq,Unassigned,Herelleviridae,Klumppvirus,Uroviricota,Caudoviricetes
1030_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1031_0,4,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1032_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1033_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1035_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1037_0,3,0,refseq,Unassigned,Unassigned,Cronusvirus,Uroviricota,Caudoviricetes
1038_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1039_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
103_0,3,0,refseq,Unassigned,Herelleviridae,Tybeckvirus,Uroviricota,Caudoviricetes
1041_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1042_0,11,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1043_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1045_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1046_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1047_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1048_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1049_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
104_0,33,0,refseq,Unassigned,Rountreeviridae,Rosenblumvirus,Uroviricota,Caudoviricetes
1050_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1051_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1052_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1053_0,5,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1055_0,34,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1056_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1057_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1058_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1059_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1060_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1061_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1062_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1063_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1064_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1065_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1066_0,11,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1067_0,6,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1069_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1070_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1071_0,4,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1072_0,6,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1073_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1074_0,9,0,refseq,Unassigned,Zobellviridae,Icepovirus,Uroviricota,Caudoviricetes
1075_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1076_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1077_0,2,0.5,both,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1079_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
107_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1080_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1081_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1082_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1083_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1084_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1085_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1086_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1087_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1088_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1089_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
108_0,32,0,refseq,Unassigned,Unassigned,Schmidvirus,Uroviricota,Caudoviricetes
1090_0,4,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1091_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1092_0,5,0,refseq,Unassigned,Pervagoviridae,Callevirus,Uroviricota,Caudoviricetes
1093_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1094_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1095_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1096_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1097_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1098_0,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1099_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
109_0,15,0,refseq,Unassigned,Unassigned,Andromedavirus,Uroviricota,Caudoviricetes
10_0,25,0,refseq,Unassigned,Unassigned,Biseptimavirus,Uroviricota,Caudoviricetes
1100_0,2,0.5,both,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1101_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1102_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1103_0,4,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1105_0,5,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1106_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1107_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1108_0,12,0.16666666666666666,both,Unassigned,Winoviridae,Pippivirus,Uroviricota,Caudoviricetes
1109_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
110_0,3,0,refseq,Unassigned,Unassigned,Saundersvirus,Uroviricota,Caudoviricetes
1110_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1111_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1112_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1114_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1115_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1116_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1117_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1118_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1119_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
111_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1120_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1121_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1122_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1123_0,10,0,refseq,Unassigned,Schitoviridae,Cbunavirus,Uroviricota,Caudoviricetes
1126_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1127_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1128_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1129_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
112_0,6,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1130_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1131_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1132_0,4,0,refseq,Unassigned,Autolykiviridae,Unclassified,Preplasmiviricota,Tectiliviricetes
1133_0,2,0.5,both,Unassigned,Autolykiviridae,Livvievirus,Preplasmiviricota,Tectiliviricetes
1134_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1135_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1136_0,21,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1137_0,4,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1138_0,2,0.5,both,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1139_0,6,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
113_0,6,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1142_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1143_0,4,0.5,both,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1144_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1145_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1146_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1147_0,2,0.5,both,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1148_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1149_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1150_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1151_0,4,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1152_0,7,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1153_0,70,0,refseq,Unassigned,Unassigned,Dhillonvirus,Uroviricota,Caudoviricetes
1154_0,2,0,refseq,Unassigned,Unassigned,Eiauvirus,Uroviricota,Caudoviricetes
