Genome,ClstrComp,VC.Status,Phylum,Class,Order,Family,Genus,VC
Crump_k141_191974,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,792_0
Cucio_k119_105986,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,793_0
Cucio_k119_23695,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,544_0
Cucio_k119_325786,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,795_0
Cucio_k119_457602,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,796_0
Cucio_k119_47432,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,798_0
Cucio_k119_495600,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,799_0
Cucio_k119_519156,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,801_0
Cucio_k119_522451,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,794_0
Cucio_k119_543798,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,546_0
Cucio_k119_65072,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,545_0
Cucio_k119_666292,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,547_0
Cucio_k119_97593,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,807_0
Ettinger_c_000000024595,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,911_0
Ettinger_c_000000064377,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,916_0
Ettinger_c_000000072374,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000000081015,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,922_0
Ettinger_c_000000089825,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000000114528,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,928_0
Ettinger_c_000000127381,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,931_0
Ettinger_c_000000142548,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,936_0
Ettinger_c_000000143671,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,937_0
Ettinger_c_000000145358,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,938_0
Ettinger_c_000000154804,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,925_0
Ettinger_c_000000159889,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,942_0
Ettinger_c_000000176917,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,949_0
Ettinger_c_000000184070,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,951_0
Ettinger_c_000000187590,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,952_0
Ettinger_c_000000266345,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,954_0
Ettinger_c_000000279667,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,956_0
Ettinger_c_000000295593,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000000296404,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,960_0
Ettinger_c_000000304575,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,963_0
Ettinger_c_000000307956,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,965_0
Ettinger_c_000000326398,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000000332528,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,966_0
Ettinger_c_000000336299,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000000345360,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,926_0
Ettinger_c_000000352373,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,937_0
Ettinger_c_000000371252,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,970_0
Ettinger_c_000000372429,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000000372931,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,971_0
Ettinger_c_000000380791,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,972_0
Ettinger_c_000000390487,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000000410655,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,794_0
Ettinger_c_000000432939,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,977_0
Ettinger_c_000000436806,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,176_0
Ettinger_c_000000442342,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,915_0
Ettinger_c_000000462987,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,796_0
Ettinger_c_000000467238,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,980_0
Ettinger_c_000000471989,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,982_0
Ettinger_c_000000504227,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,954_0
Ettinger_c_000000507251,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,986_0
Ettinger_c_000000525581,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,987_0
Ettinger_c_000000532943,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000000536048,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,990_0
Ettinger_c_000000542335,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,992_0
Ettinger_c_000000593499,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,937_0
Ettinger_c_000000604066,both,Clustered,Uroviricota,Caudoviricetes,Unassigned,Unassigned,Kafunavirus,131_0
Ettinger_c_000000615121,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,959_0
Ettinger_c_000000684282,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,998_0
Ettinger_c_000000687705,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,806_0
Ettinger_c_000000694172,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1000_0
Ettinger_c_000000711315,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,991_0
Ettinger_c_000000712784,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000000720254,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1002_0
Ettinger_c_000000727044,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,360_0
Ettinger_c_000000729059,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,978_0
Ettinger_c_000000758887,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1002_0
Ettinger_c_000000760503,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1005_0
Ettinger_c_000000760615,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000000776983,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1007_0
Ettinger_c_000000812157,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,796_0
Ettinger_c_000000812627,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1008_0
Ettinger_c_000000822854,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1012_0
Ettinger_c_000000854736,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000000856677,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,686_0
Ettinger_c_000000940267,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,806_0
Ettinger_c_000000944506,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000000947170,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1017_0
Ettinger_c_000000979767,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000000986227,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1020_0
Ettinger_c_000001001771,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,796_0
Ettinger_c_000001013051,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,965_0
Ettinger_c_000001015950,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1023_0
Ettinger_c_000001017547,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,915_0
Ettinger_c_000001063827,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,969_0
Ettinger_c_000001064625,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,24_0
Ettinger_c_000001071526,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,974_0
Ettinger_c_000001071809,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1027_0
Ettinger_c_000001098813,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,981_0
Ettinger_c_000001102666,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,974_0
Ettinger_c_000001111184,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1031_0
Ettinger_c_000001111701,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,957_0
Ettinger_c_000001149698,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000001154888,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,977_0
Ettinger_c_000001164932,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,937_0
Ettinger_c_000001168137,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000001189539,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1033_0
Ettinger_c_000001200735,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1035_0
Ettinger_c_000001211539,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,939_0
Ettinger_c_000001213198,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,794_0
Ettinger_c_000001213533,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000001217857,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1038_0
Ettinger_c_000001229508,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1039_0
Ettinger_c_000001236139,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1035_0
Ettinger_c_000001263604,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1045_0
Ettinger_c_000001289780,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1047_0
Ettinger_c_000001312527,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,794_0
