user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Bin_Bin_151-contigs.cleaned	d__Bacteria;p__Planctomycetota;c__GCA-002687715;o__GCA-002687715;f__GCA-002687715;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__GCA-002687715;o__GCA-002687715;f__GCA-002687715;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	43.8	11	0.8103	Genome has more than 11.7% of markers with multiple hits
Bin_Bin_17_sub_1-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	88.74	11	0.85365	N/A
Bin_Bin_181_sub-contigs.cleaned	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__JAFMDF01;s__	N/A	N/A	N/A	N/A	N/A	GCA_017857395.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__JAFMDF01;s__JAFMDF01 sp017857395	82.27	0.659	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__JAFMDF01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	85.23	11	0.97769	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Bin_Bin_200_sub-contigs.cleaned	d__Bacteria;p__Myxococcota;c__Bradymonadia;o__Bradymonadales;f__GCA-2716585;g__GCA-2716585;s__	N/A	N/A	N/A	N/A	N/A	GCA_002716585.1	95.0	d__Bacteria;p__Myxococcota;c__Bradymonadia;o__Bradymonadales;f__GCA-2716585;g__GCA-2716585;s__GCA-2716585 sp002716585	78.18	0.254	d__Bacteria;p__Myxococcota;c__Bradymonadia;o__Bradymonadales;f__GCA-2716585;g__GCA-2716585;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	37.19	11	0.88497	N/A
Bin_Bin_201_1-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__	N/A	N/A	N/A	N/A	N/A	GCA_900313005.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius sp900313005	80.02	0.598	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002366775.1, s__Roseovarius sp002366775, 95.0, 79.03, 0.574; GCF_009762325.1, s__Roseovarius faecimaris, 95.0, 78.8, 0.527; GCF_900172285.1, s__Roseovarius aestuarii, 95.0, 77.66, 0.292; GCF_900172365.1, s__Roseovarius gaetbuli, 95.0, 77.64, 0.297; GCF_900115165.1, s__Roseovarius lutimaris, 95.0, 77.61, 0.29; GCF_900142665.1, s__Roseovarius pacificus, 95.0, 77.54, 0.266; GCF_900142625.1, s__Roseovarius marisflavi, 95.0, 77.53, 0.305; GCF_000152625.1, s__Roseovarius nubinhibens, 95.0, 77.53, 0.274; GCF_011601345.1, s__Roseovarius gahaiensis, 95.0, 77.51, 0.314; GCF_001441615.1, s__Roseovarius atlanticus, 95.0, 77.5, 0.267; GCF_900172295.1, s__Roseovarius litorisediminis, 95.0, 77.49, 0.278; GCF_900142765.1, s__Roseovarius litoreus, 95.0, 77.49, 0.262; GCF_003316635.1, s__Roseovarius dicentrarchi, 95.0, 77.44, 0.247; GCF_009669325.1, s__Roseovarius bejariae, 95.0, 77.43, 0.279; GCF_900109855.1, s__Roseovarius tolerans, 95.0, 77.4, 0.26; GCF_002917925.1, s__Roseovarius confluentis, 95.0, 77.36, 0.261; GCF_009363655.1, s__Roseovarius sp009363655, 95.0, 77.35, 0.27; GCF_011040495.1, s__Roseovarius aestuariivivens_A, 95.0, 77.33, 0.24; GCF_009363715.1, s__Roseovarius sp009363715, 95.0, 77.28, 0.255; GCF_003122245.1, s__Roseovarius sp003122245, 95.0, 77.27, 0.292; GCF_003072125.1, s__Roseovarius sediminicola, 95.0, 77.27, 0.248; GCF_900172255.1, s__Roseovarius halotolerans, 95.0, 77.26, 0.268; GCF_900156535.1, s__Roseovarius nanhaiticus, 95.0, 77.24, 0.224; GCF_000768555.3, s__Roseovarius mucosus, 95.0, 77.24, 0.245; GCF_008728195.1, s__Roseovarius indicus, 95.0, 77.2, 0.247; GCF_900172335.1, s__Roseovarius albus, 95.0, 77.17, 0.211; GCF_900109455.1, s__Roseovarius azorensis, 95.0, 77.15, 0.223; GCA_018066915.1, s__Roseovarius sp018066915, 95.0, 77.14, 0.238; GCF_002080415.1, s__Roseovarius mucosus_A, 95.0, 77.12, 0.259; GCF_002072155.1, s__Roseovarius sp002072155, 95.0, 77.1, 0.232; GCF_003260265.1, s__Roseovarius sp003260265, 95.0, 77.06, 0.224; GCF_000744325.1, s__Roseovarius sp000744325, 95.0, 77.02, 0.259; GCF_900327775.1, s__Roseovarius sp900327775, 95.0, 76.99, 0.182; GCF_000152845.1, s__Roseovarius sp000152845, 95.0, 76.99, 0.23; GCF_004761875.1, s__Roseovarius aestuariivivens, 95.0, 76.98, 0.208; GCF_003651245.1, s__Roseovarius spongiae, 95.0, 76.98, 0.191; GCA_002842985.1, s__Roseovarius sp002842985, 95.0, 76.93, 0.18; GCF_018069895.1, s__Roseovarius sp018069895, 95.0, 76.91, 0.209; GCA_007125415.1, s__Roseovarius sp007125415, 95.0, 76.91, 0.238; GCF_002925845.1, s__Roseovarius nitratireducens, 95.0, 76.89, 0.186; GCA_016278295.1, s__Roseovarius sp016278295, 95.0, 76.89, 0.199; GCF_006125015.1, s__Roseovarius arcticus, 95.0, 76.82, 0.171; GCA_014359765.1, s__Roseovarius sp014359765, 95.0, 76.75, 0.22; GCA_002428225.1, s__Roseovarius sp002428225, 95.0, 76.68, 0.22; GCA_002166865.1, s__Roseovarius sp002166865, 95.0, 76.59, 0.177; GCF_003298505.1, s__Roseovarius sp003298505, 95.0, 76.51, 0.168; GCA_002421985.1, s__Roseovarius sp002421985, 95.0, 76.49, 0.23; GCA_002783205.1, s__Roseovarius sp002783205, 95.0, 76.46, 0.219; GCA_002720475.1, s__Roseovarius sp002720475, 95.0, 76.42, 0.179; GCF_002834145.1, s__Roseovarius salinarum, 95.0, 76.37, 0.181	92.75	11	0.98922	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Bin_Bin_220_sub-contigs.cleaned	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	55.0	11	0.73087	Genome has more than 10.0% of markers with multiple hits
Bin_Bin_22_sub-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Sva-25;s__	N/A	N/A	N/A	N/A	N/A	GCA_015767355.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Sva-25;s__Sva-25 sp015767355	82.98	0.505	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Sva-25;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	70.15	11	0.97138	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Bin_Bin_231_sub-contigs.cleaned	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	47.5	11	0.77233	N/A
Bin_Bin_238_sub-contigs.cleaned	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Bernardetiaceae;g__Bernardetia;s__	N/A	N/A	N/A	N/A	N/A	GCF_000265505.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Bernardetiaceae;g__Bernardetia;s__Bernardetia litoralis	84.44	0.732	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Bernardetiaceae;g__Bernardetia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002784125.1, s__Bernardetia sp002784125, 95.0, 84.1, 0.671	60.88	11	0.98668	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Bin_Bin_241_sub-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Lentilitoribacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_905479965.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Lentilitoribacter;s__Lentilitoribacter sp905479965	85.67	0.437	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Lentilitoribacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017644105.1, s__Lentilitoribacter sp017644105, 95.0, 81.27, 0.26; GCF_900537175.1, s__Lentilitoribacter sp900537175, 95.0, 79.04, 0.101	47.34	11	0.99752	N/A
