contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
k141_2841685||0_partial	53729	No	NA	33	2	7	Low-quality	Genome-fragment	38.37	HMM-based (lower-bound)	0.0	1.0	
k141_2959826||0_partial	12098	No	NA	15	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_21196334||0_partial	22480	No	NA	24	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_26858395||0_partial	14123	No	NA	16	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_32527285||0_partial	21652	No	NA	18	1	2	Low-quality	Genome-fragment	17.33	HMM-based (lower-bound)	0.0	1.0	
k141_13116320||0_partial	13252	No	NA	15	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_22976836||0_partial	13592	No	NA	10	0	5	Low-quality	Genome-fragment	5.27	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
k141_20303961||0_partial	15802	No	NA	15	3	1	Low-quality	Genome-fragment	39.38	AAI-based (medium-confidence)	0.0	1.0	
k141_2350845||0_partial	13567	No	NA	11	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_13516341||0_partial	18879	Yes	13296	22	4	5	Low-quality	Genome-fragment	26.89	HMM-based (lower-bound)	29.57	1.0	
k141_30259330||0_partial	16901	No	NA	14	1	1	Low-quality	Genome-fragment	18.88	HMM-based (lower-bound)	0.0	1.0	
k141_19172026||0_partial	13788	No	NA	20	1	4	Low-quality	Genome-fragment	23.75	HMM-based (lower-bound)	0.0	1.0	
k141_2705637||0_partial	28856	No	NA	21	1	5	Low-quality	Genome-fragment	13.31	HMM-based (lower-bound)	0.0	1.0	
k141_6892693||0_partial	22673	No	NA	11	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_6929872||0_partial	29538	No	NA	23	1	4	Low-quality	Genome-fragment	23.64	HMM-based (lower-bound)	0.0	1.0	
k141_12499368||full	6876	No	NA	8	1	1	Low-quality	Genome-fragment	0.55	HMM-based (lower-bound)	0.0	1.0	
k141_26387506||full	5489	No	NA	6	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
