filename,contig_id,contig_length,provirus,proviral_length,gene_count,viral_genes,host_genes,checkv_quality,miuvig_quality,completeness,completeness_method,contamination,kmer_freq,warnings,GenomeID,secondary_cluster,Representative,votu.id,VC.Status,Realm,Kingdom,Phylum,Class,Order,Family,VC,VIRSorter category,Circular,Prophage,Gene count,Strand switches,potential AMG count,Transposase present,Possible Non-Viral Contig,Viral hypothetical genes,Viral genes with host benefits,Viral genes with unknown function,Viral replication genes,Viral genes with viral benefits,Viral structure genes
Ettinger,c_000000711315||0_partial,20460,No,NA,17,0,8,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000711315,836_0,TRUE,vOTU213,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,991_0,1,FALSE,FALSE,17,4,3,FALSE,0.1176470588235294,11,3,3,0,0,0
Ettinger,c_000000089825||0_partial,35296,Yes,13888,39,11,17,Low-quality,Genome-fragment,22.2,AAI-based (medium-confidence),60.65,1,low-confidence Provirus,Ettinger_c_000000089825,1095_0,TRUE,vOTU53,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0,1,FALSE,FALSE,16,0,0,FALSE,0,9,2,4,0,0,1
Ettinger,c_000000125767||0_partial,21190,Yes,15337,21,3,3,Low-quality,Genome-fragment,14.57,HMM-based (lower-bound),27.62,1,NA,Ettinger_c_000000125767,1397_0,TRUE,vOTU64,Outlier,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,,1,FALSE,FALSE,16,0,0,FALSE,0,12,4,0,0,0,0
Ettinger,c_000000326398||0_partial,25691,Yes,13601,29,11,11,Low-quality,Genome-fragment,24.09,AAI-based (medium-confidence),47.06,1,low-confidence Provirus,Ettinger_c_000000326398,1070_0,TRUE,vOTU120,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0,1,FALSE,FALSE,16,0,0,FALSE,0,8,3,4,0,0,1
Ettinger,c_000000390487||0_partial,25465,Yes,15220,31,12,12,Low-quality,Genome-fragment,24.24,AAI-based (medium-confidence),40.23,1,NA,Ettinger_c_000000390487,1268_0,TRUE,vOTU140,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0,1,FALSE,FALSE,18,0,0,FALSE,0,10,2,5,0,0,1
Ettinger,c_000000410655||0_partial,24623,No,NA,19,1,4,Low-quality,Genome-fragment,11.09,HMM-based (lower-bound),0,1,NA,Ettinger_c_000000410655,1438_0,TRUE,vOTU145,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,794_0,1,FALSE,FALSE,19,1,0,FALSE,0.05263157894736842,14,4,0,0,0,1
Ettinger,c_000000609003||0_partial,10452,No,NA,12,1,0,Low-quality,Genome-fragment,17.55,HMM-based (lower-bound),0,1.01,NA,Ettinger_c_000000609003,1465_0,TRUE,vOTU192,Singleton,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,,1,FALSE,FALSE,12,1,1,FALSE,0,10,1,1,0,0,0
Ettinger,c_000000660524||0_partial,12009,No,NA,12,0,8,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000660524,1470_0,TRUE,vOTU202,Singleton,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,,1,FALSE,FALSE,12,0,3,FALSE,0.16666666666666666,10,2,0,0,0,0
Ettinger,c_000000672820||0_partial,24549,Yes,11472,26,9,12,Low-quality,Genome-fragment,21.32,AAI-based (medium-confidence),53.27,1,low-confidence Provirus,Ettinger_c_000000672820,1266_0,TRUE,vOTU205,Outlier,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,,1,FALSE,FALSE,15,3,0,FALSE,0,9,2,1,1,0,2
Ettinger,c_000000760615||0_partial,30966,Yes,22869,33,11,9,Medium-quality,Genome-fragment,54.05,AAI-based (medium-confidence),26.15,1,NA,Ettinger_c_000000760615,1098_0,TRUE,vOTU232,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0,1,FALSE,FALSE,26,7,2,FALSE,0.03846153846153846,18,2,5,0,0,1
Ettinger,c_000000944506||0_partial,24471,Yes,14955,30,11,10,Low-quality,Genome-fragment,27.28,AAI-based (medium-confidence),38.89,1,NA,Ettinger_c_000000944506,1078_0,TRUE,vOTU267,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0,1,FALSE,FALSE,18,0,0,FALSE,0,8,4,5,0,0,1
Ettinger,c_000000962834||0_partial,11886,No,NA,13,1,3,Low-quality,Genome-fragment,13.67,HMM-based (lower-bound),0,1,NA,Ettinger_c_000000962834,1504_0,TRUE,vOTU269,Singleton,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,,1,FALSE,FALSE,13,2,0,FALSE,0,12,1,0,0,0,0
Ettinger,c_000000979767||0_partial,27155,Yes,14370,32,11,9,Low-quality,Genome-fragment,25.42,AAI-based (medium-confidence),47.08,1,low-confidence Provirus,Ettinger_c_000000979767,1267_0,TRUE,vOTU275,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0,1,FALSE,FALSE,17,0,0,FALSE,0,9,3,4,0,0,1
Ettinger,c_000001111701||0_partial,12010,No,NA,9,0,6,Low-quality,Genome-fragment,6.03,AAI-based (medium-confidence),0,1,no viral genes detected,Ettinger_c_000001111701,778_0,TRUE,vOTU313,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,957_0,1,FALSE,FALSE,9,1,0,FALSE,0.6666666666666666,3,6,0,0,0,0
Ettinger,c_000001168137||0_partial,16907,Yes,11500,21,9,4,Low-quality,Genome-fragment,21.32,AAI-based (medium-confidence),31.98,1,NA,Ettinger_c_000001168137,1077_0,TRUE,vOTU327,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0,1,FALSE,FALSE,15,0,0,FALSE,0,8,3,3,0,0,1
Ettinger,c_000001189539||0_partial,18528,No,NA,17,2,1,Low-quality,Genome-fragment,11.55,HMM-based (lower-bound),0,1,NA,Ettinger_c_000001189539,1543_0,TRUE,vOTU332,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1033_0,1,FALSE,FALSE,17,3,0,FALSE,0,14,2,0,0,0,1
Ettinger,c_000001213198||0_partial,25630,No,NA,19,1,4,Low-quality,Genome-fragment,16.55,HMM-based (lower-bound),0,1,NA,Ettinger_c_000001213198,1548_0,TRUE,vOTU339,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,794_0,1,FALSE,FALSE,19,0,0,FALSE,0,15,3,0,0,0,1
Ettinger,c_000001402059||0_partial,2016,No,NA,2,1,0,High-quality,High-quality,91.29,AAI-based (medium-confidence),0,1,NA,Ettinger_c_000001402059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ettinger,c_000001578124||0_partial,21164,Yes,13910,18,2,3,Low-quality,Genome-fragment,10.29,HMM-based (lower-bound),34.28,1,NA,Ettinger_c_000001578124,1589_0,TRUE,vOTU410,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,794_0,2,FALSE,FALSE,10,0,0,FALSE,0,8,2,0,0,0,0
Ettinger,c_000001615240||0_partial,4429,No,NA,7,2,0,Low-quality,Genome-fragment,9.22,AAI-based (medium-confidence),0,1,NA,Ettinger_c_000001615240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ettinger,c_000001728273||0_partial,25824,Yes,13558,29,9,8,Low-quality,Genome-fragment,17.73,HMM-based (lower-bound),47.5,1,low-confidence Provirus,Ettinger_c_000001728273,1064_0,TRUE,vOTU445,Overlap (VC_919/VC_920),Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,,1,FALSE,FALSE,16,0,0,FALSE,0,12,1,2,0,0,1
Ettinger,c_000001799225||0_partial,60144,Yes,14853,60,11,35,Low-quality,Genome-fragment,27.81,HMM-based (lower-bound),75.3,1,low-confidence Provirus,Ettinger_c_000001799225,1269_0,TRUE,vOTU464,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0,1,FALSE,FALSE,19,0,0,FALSE,0,10,3,5,0,0,1
