	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with host benefits	Viral genes with unknown function	Viral replication genes	Viral genes with viral benefits	Viral structure genes
c_000000000521__full-cat_2	2	False	False	5	0	0	False	0.4	3.0	2.0	0.0	0.0	0.0	0.0
c_000000003380__full-cat_2	2	False	False	7	3	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000000006091__full-cat_2	2	False	False	10	0	0	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
c_000000006541__full-cat_2	2	False	False	3	1	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
c_000000008518__full-cat_1	1	False	False	21	9	0	False	0.09523809523809523	19.0	2.0	0.0	0.0	0.0	0.0
c_000000009194__full-cat_2	2	False	False	11	4	2	False	0.18181818181818182	9.0	2.0	0.0	0.0	0.0	0.0
c_000000009293__full-cat_2	2	False	False	5	1	0	False	0.2	4.0	1.0	0.0	0.0	0.0	0.0
c_000000009324__full-cat_2	2	False	False	9	0	0	False	0.0	8.0	0.0	1.0	0.0	0.0	0.0
c_000000009438__full-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000000012432__full-cat_1	1	False	False	10	3	2	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
c_000000012667__full-cat_2	2	False	False	23	2	0	False	0.0	20.0	0.0	3.0	0.0	0.0	0.0
c_000000013063__full-cat_2	2	False	False	9	3	0	True	0.1111111111111111	7.0	2.0	0.0	0.0	0.0	0.0
c_000000016440__full_1-cat_1	1	False	False	10	2	1	False	0.0	9.0	0.0	1.0	0.0	0.0	0.0
c_000000017201__full-cat_2	2	False	False	14	2	0	False	0.07142857142857142	12.0	2.0	0.0	0.0	0.0	0.0
c_000000021360__full-cat_2	2	False	False	19	1	0	False	0.10526315789473684	11.0	2.0	6.0	0.0	0.0	0.0
c_000000022329__full-cat_2	2	False	False	8	4	0	False	0.0	7.0	0.0	1.0	0.0	0.0	0.0
c_000000022802__full-cat_2	2	False	False	4	2	0	False	0.0	3.0	0.0	1.0	0.0	0.0	0.0
c_000000023029__full-cat_2	2	False	False	6	3	0	False	0.0	5.0	0.0	1.0	0.0	0.0	0.0
c_000000024372__full-cat_2	2	False	False	6	1	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000000024595__full-cat_1	1	False	False	10	1	1	False	0.1	8.0	1.0	1.0	0.0	0.0	0.0
c_000000025305__full-cat_2	2	False	False	9	0	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
c_000000027735__full-cat_1	1	False	False	7	2	1	True	0.14285714285714285	6.0	1.0	0.0	0.0	0.0	0.0
c_000000029797__full-cat_2	2	False	False	6	1	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000000029965__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
