gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
c_000003438850__full-cat_2_11	c_000003438850__full-cat_2	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MK
c_000003438850__full-cat_2_11	c_000003438850__full-cat_2	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	3	MK
c_000003438850__full-cat_2_11	c_000003438850__full-cat_2	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	3	MK
c_000003480991__full-cat_1_5	c_000003480991__full-cat_1	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	2	MF
c_000003482724__full-cat_2_3	c_000003482724__full-cat_2	K00971	GMPP; Man-1P -> GDP-Man [EC:2.7.7.13]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
c_000003482724__full-cat_2_4	c_000003482724__full-cat_2							3	MKF
c_000003500290__full-cat_2_3	c_000003500290__full-cat_2							3	MKF
c_000003525908__full-cat_2_24	c_000003525908__full-cat_2	K18649	histidinol-phosphatase [EC:3.1.3.15] [RN:R03013]	Organic Nitrogen	Amino Acid		Histidine biosynthesis, PRPP => histidine	2	MTF
c_000003530910__full-cat_1_2	c_000003530910__full-cat_1	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	2	MF
c_000003548448__full-cat_2_2	c_000003548448__full-cat_2							3	MKF
c_000003583955__full-cat_2_4	c_000003583955__full-cat_2							3	MKF
c_000003583955__full-cat_2_5	c_000003583955__full-cat_2							3	MKF
c_000003598371__full-cat_1_4	c_000003598371__full-cat_1	K00297	methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20] [RN:R07168]	Energy	C1		Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	2	MF
c_000003598371__full-cat_1_5	c_000003598371__full-cat_1	K00602	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10] [RN:R04560 R01127]	MISC	Information systems	Nucleotide	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	2	MKF
c_000003636046__full-cat_2_3	c_000003636046__full-cat_2							3	MKF
c_000003636046__full-cat_2_4	c_000003636046__full-cat_2							3	MKF
c_000003636046__full-cat_2_6	c_000003636046__full-cat_2							3	MKF
c_000003681447__full-cat_2_3	c_000003681447__full-cat_2							3	MKF
c_000003682343__full-cat_2_6	c_000003682343__full-cat_2	M28A	Catlytic type: Metallo; able to release a variety of N-terminal amino acids	Organic Nitrogen	Peptidase		Aminopeptidases and carboxypeptidases	3	MF
c_000003682343__full-cat_2_7	c_000003682343__full-cat_2	M28F	Catlytic type: Metallo; able to release a variety of N-terminal amino acids	Organic Nitrogen	Peptidase		Aminopeptidases and carboxypeptidases	3	MF
c_000003682343__full-cat_2_9	c_000003682343__full-cat_2							3	MKF
c_000003694400__full-cat_1_9	c_000003694400__full-cat_1	K00891	shikimate kinase [EC:2.7.1.71] [RN:R02412]	Organic Nitrogen	Amino Acid		Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	2	MTF
