	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with host benefits	Viral genes with unknown function	Viral structure genes	Viral replication genes	Viral genes with viral benefits
k141_1003326__full-cat_2	2	False	False	7	1	1	False	0.2857142857142857	5.0	2.0	0.0	0.0	0.0	0.0
k141_1004712__full-cat_2	2	False	False	20	11	0	False	0.05	18.0	1.0	1.0	0.0	0.0	0.0
k141_1006830__full-cat_2	2	False	False	8	0	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_1007381__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1008013__full-cat_1	1	False	False	3	0	0	False	0.0	2.0	0.0	1.0	0.0	0.0	0.0
k141_1008532__full-cat_1	1	False	False	9	1	0	False	0.0	6.0	0.0	2.0	1.0	0.0	0.0
k141_1010397__full-cat_1	1	False	False	21	0	0	False	0.0	19.0	0.0	1.0	0.0	1.0	0.0
k141_1010882__full-cat_1	1	False	False	9	0	0	False	0.1111111111111111	6.0	2.0	0.0	1.0	0.0	0.0
k141_1013471__full-cat_1	1	False	False	18	2	0	False	0.0	7.0	2.0	6.0	3.0	0.0	0.0
k141_1014415__full-cat_1	1	False	False	10	0	0	False	0.0	8.0	1.0	0.0	0.0	1.0	0.0
k141_1014590__full-cat_1	1	False	False	11	0	0	False	0.0	6.0	0.0	5.0	0.0	0.0	0.0
k141_1019880__full-cat_1	1	False	False	6	4	0	False	0.3333333333333333	4.0	2.0	0.0	0.0	0.0	0.0
k141_1020211__full-cat_2	2	False	False	15	0	0	False	0.06666666666666667	12.0	1.0	1.0	0.0	1.0	0.0
k141_1022032__full-cat_1	1	False	False	13	0	0	False	0.0	13.0	0.0	0.0	0.0	0.0	0.0
k141_1023013__full-cat_1	1	False	False	24	1	0	False	0.0	23.0	0.0	1.0	0.0	0.0	0.0
k141_1027087__full-cat_2	2	False	False	4	2	1	True	0.0	3.0	0.0	0.0	0.0	1.0	0.0
k141_1029949__full-cat_1	1	False	False	14	0	0	False	0.0	11.0	2.0	0.0	1.0	0.0	0.0
k141_1032618__full-cat_2	2	False	False	5	2	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1036235__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	4.0	1.0	1.0	0.0	0.0	0.0
k141_1038154__full-cat_2	2	False	False	5	1	0	False	0.0	3.0	0.0	2.0	0.0	0.0	0.0
k141_1039496__full-cat_2	2	False	False	3	1	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_1040951__full-cat_2	2	False	False	6	2	1	False	0.16666666666666666	5.0	1.0	0.0	0.0	0.0	0.0
k141_104208__full-cat_2	2	False	False	5	2	0	False	0.2	4.0	1.0	0.0	0.0	0.0	0.0
k141_1046176__full-cat_1	1	False	False	5	3	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1047291__full-cat_2	2	False	False	8	1	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_1047846__full-cat_2	2	False	False	4	0	0	False	0.25	3.0	1.0	0.0	0.0	0.0	0.0
k141_104965__full-cat_2	2	False	False	18	4	1	False	0.1111111111111111	15.0	2.0	1.0	0.0	0.0	0.0
k141_1050421__full-cat_1	1	False	False	40	4	0	False	0.0	36.0	0.0	4.0	0.0	0.0	0.0
k141_1054235__full-cat_2	2	False	False	7	2	0	False	0.0	6.0	0.0	1.0	0.0	0.0	0.0
