filename.x,contig_id,contig_length,provirus,proviral_length,gene_count,viral_genes,host_genes,checkv_quality,miuvig_quality,completeness,completeness_method,contamination,kmer_freq,warnings,GenomeID,secondary_cluster,Representative,votu.id,VC.Status,Realm,Kingdom,Phylum,Class,Order,Family,VC,filename.y,dsDNAphage,NCLDV,RNA,ssDNA,lavidaviridae,max_score,max_score_group,length,hallmark,viral,cellular,VIRSorter category,Circular,Prophage,Gene count,Strand switches,potential AMG count,Transposase present,Possible Non-Viral Contig,Viral hypothetical genes,Viral genes with host benefits,Viral genes with unknown function,Viral replication genes,Viral genes with viral benefits,Viral structure genes
Ettinger,c_000000760615||0_partial,30966,Yes,22869,33,11,9,Medium-quality,Genome-fragment,54.05,AAI-based (medium-confidence),26.15,1,NA,Ettinger_c_000000760615,1098_0,TRUE,vOTU232,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0,Ettinger,0.907,0.073,0.005,0,0.013,0.907,dsDNAphage,30966,9,45.2,25.8,1,FALSE,FALSE,26,7,2,FALSE,0.03846153846153846,18,2,5,0,0,1
Ettinger,c_000002314019||0_partial,58210,Yes,46481,68,12,7,Medium-quality,Genome-fragment,58.81,HMM-based (lower-bound),20.15,1,NA,Ettinger_c_000002314019,1678_0,TRUE,vOTU566,Singleton,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,,Ettinger,0.853,0.073,0.005,0,0.293,0.853,dsDNAphage,58210,3,17.9,13.4,1,FALSE,FALSE,60,9,1,FALSE,0,55,2,2,1,0,0
Ettinger,c_000000039909||full,21011,No,NA,18,5,1,Medium-quality,Genome-fragment,56.95,AAI-based (medium-confidence),0,1,NA,Ettinger_c_000000039909,1380_0,TRUE,vOTU42,Overlap (VC_361/VC_363),Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,,Ettinger,0.993,0.267,0.03,0.073,0.313,0.993,dsDNAphage,20711,5,61.1,5.6,1,FALSE,FALSE,18,0,0,FALSE,0.05555555555555555,12,2,4,0,0,0
Ettinger,c_000000127381||full,39371,No,NA,59,25,0,Medium-quality,Genome-fragment,73.11,AAI-based (medium-confidence),0,1,low-confidence DTR,Ettinger_c_000000127381,1399_0,TRUE,vOTU66,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,931_0,Ettinger,0.993,0.873,0,0.02,0.093,0.993,dsDNAphage,39230,14,55.2,3.4,1,FALSE,FALSE,59,4,0,FALSE,0,43,4,6,4,0,2
Ettinger,c_000000159889||full,48243,No,NA,52,22,1,Medium-quality,Genome-fragment,65.17,AAI-based (medium-confidence),0,1,NA,Ettinger_c_000000159889,968_0,TRUE,vOTU76,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Schitoviridae,Unclassified,942_0,Ettinger,1,0.087,0,0.013,0.18,1,dsDNAphage,48243,4,55.8,1.9,1,FALSE,FALSE,52,8,1,FALSE,0,33,7,11,0,0,1
Ettinger,c_000000294277||full,34977,No,NA,44,18,1,Medium-quality,Genome-fragment,81.47,AAI-based (medium-confidence),0,1,NA,Ettinger_c_000000294277,1424_0,TRUE,vOTU112,Outlier,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,,Ettinger,0.993,0.227,0,0.007,0.033,0.993,dsDNAphage,34392,9,59.1,4.5,1,FALSE,FALSE,44,2,0,FALSE,0.06818181818181818,23,7,13,1,0,0
Ettinger,c_000000442342||full,42093,No,NA,42,11,0,Medium-quality,Genome-fragment,68.36,AAI-based (high-confidence),0,1,NA,Ettinger_c_000000442342,1214_0,TRUE,vOTU151,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,915_0,Ettinger,0.993,0.233,0.085,0.033,0.34,0.993,dsDNAphage,42091,5,42.9,0,1,FALSE,FALSE,42,1,0,FALSE,0,38,3,0,1,0,0
Ettinger,c_000000486590||full,83720,No,NA,106,37,0,Medium-quality,Genome-fragment,57.03,AAI-based (medium-confidence),0,1,NA,Ettinger_c_000000486590,1445_0,TRUE,vOTU162,Outlier,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,,Ettinger,0.987,0.06,0,0,0.06,0.987,dsDNAphage,83521,13,48.1,2.8,1,FALSE,FALSE,106,1,5,FALSE,0.01886792452830188,76,4,25,0,0,1
Ettinger,c_000000604066||full,43579,No,NA,53,18,0,High-quality,High-quality,100,AAI-based (medium-confidence),0,1,NA,Ettinger_c_000000604066,852_0,TRUE,vOTU191,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,131_0,Ettinger,0.98,0.74,0.01,0.02,0.027,0.98,dsDNAphage,43576,4,62.3,5.7,1,FALSE,FALSE,53,2,1,FALSE,0.03773584905660377,26,6,19,1,0,1
Ettinger,c_000000637151||full,53971,No,NA,65,28,0,Medium-quality,Genome-fragment,89.9,AAI-based (medium-confidence),0,1,NA,Ettinger_c_000000637151,1467_0,TRUE,vOTU197,Outlier,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,,Ettinger,1,0.94,0,0.033,0.08,1,dsDNAphage,53296,16,53.8,1.5,1,FALSE,FALSE,65,4,0,FALSE,0,32,12,20,0,0,1
Ettinger,c_000000727044||full,39335,No,NA,53,12,0,Complete,High-quality,100,DTR (high-confidence),0,1,NA,Ettinger_c_000000727044,1478_0,TRUE,vOTU219,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,360_0,Ettinger,1,0.16,0.065,0.287,0.193,1,dsDNAphage,39194,5,47.2,0,1,FALSE,FALSE,53,2,3,FALSE,0.01886792452830188,40,3,10,0,0,0
Ettinger,c_000000845628||full,22115,No,NA,34,9,0,Medium-quality,Genome-fragment,60.16,AAI-based (medium-confidence),0,1,NA,Ettinger_c_000000845628,1495_0,TRUE,vOTU251,Overlap (VC_659/VC_1014),Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,,Ettinger,1,0.107,0.01,0.027,0.033,1,dsDNAphage,22113,6,55.9,2.9,1,FALSE,FALSE,34,0,0,FALSE,0.02941176470588235,27,3,3,1,0,0
Ettinger,c_000000856677||full,34776,No,NA,52,20,0,Medium-quality,Genome-fragment,88.3,AAI-based (high-confidence),0,1,NA,Ettinger_c_000000856677,1496_0,TRUE,vOTU253,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,686_0,Ettinger,0.993,0.647,0,0.027,0.14,0.993,dsDNAphage,34746,10,59.6,1.9,1,FALSE,FALSE,52,2,2,FALSE,0.01923076923076923,33,5,12,0,0,2
Ettinger,c_000000986227||full,20687,No,NA,24,7,0,Medium-quality,Genome-fragment,57.29,AAI-based (medium-confidence),0,1,NA,Ettinger_c_000000986227,799_0,TRUE,vOTU277,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1020_0,Ettinger,1,0.3,0.085,0.307,0.793,1,dsDNAphage,20684,5,75,0,1,FALSE,FALSE,24,1,0,FALSE,0.08333333333333333,18,4,2,0,0,0
Ettinger,c_000001017547||full,64097,No,NA,73,17,0,High-quality,High-quality,100,AAI-based (medium-confidence),0,1,NA,Ettinger_c_000001017547,1514_0,TRUE,vOTU286,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,915_0,Ettinger,1,0.213,0,0.013,0.04,1,dsDNAphage,64095,5,43.8,1.4,1,FALSE,FALSE,73,2,0,FALSE,0,55,3,14,1,0,0
