seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
k141_21306950||full	1.000	0.060	0.005	0.107	0.260	1.000	dsDNAphage	54488	10	56.200	1.400
k141_28919149||full	0.893	0.127	0.220	0.173	0.600	0.893	dsDNAphage	13759	0	12.500	4.200
k141_9198813||full	1.000	0.220	0.000	0.000	0.040	1.000	dsDNAphage	47142	4	29.700	1.600
k141_13760000||full	0.987	0.447	0.005	0.160	0.340	0.987	dsDNAphage	73914	4	60.500	1.300
k141_3114450||full	0.993	0.067	0.010	0.013	0.007	0.993	dsDNAphage	45179	1	19.500	2.400
k141_15290804||full	1.000	0.127	0.000	0.040	0.040	1.000	dsDNAphage	46691	6	46.200	1.500
k141_21372918||full	1.000	0.487	0.030	0.133	0.247	1.000	dsDNAphage	30512	5	39.000	0.000
k141_24426762||full	1.000	0.047	0.000	0.000	0.000	1.000	dsDNAphage	62750	2	27.200	5.800
k141_7719463||full	1.000	0.293	0.140	0.467	0.740	1.000	dsDNAphage	50803	6	48.800	0.000
k141_21425084||full	0.987	0.173	0.005	0.013	0.020	0.987	dsDNAphage	42577	2	23.900	1.500
k141_12318431||full	1.000	0.087	0.000	0.073	0.087	1.000	dsDNAphage	49988	6	40.800	1.400
k141_29050277||full	1.000	0.140	0.000	0.000	0.007	1.000	dsDNAphage	54893	2	30.100	2.700
k141_30583925||full	0.173	0.253	0.010	0.020	0.560	0.560	lavidaviridae	4486	0	40.000	20.000
k141_18433141||full	1.000	0.267	0.015	0.040	0.180	1.000	dsDNAphage	42139	8	40.700	0.000
k141_27565158||full	1.000	0.140	0.000	0.000	0.013	1.000	dsDNAphage	46661	6	56.100	3.000
k141_15447133||full	1.000	0.047	0.010	0.067	0.040	1.000	dsDNAphage	40639	9	50.000	1.500
k141_7849618||full	0.993	0.147	0.045	0.093	0.080	0.993	dsDNAphage	23740	0	8.700	0.000
k141_17006484||full	0.973	0.253	0.200	0.333	0.167	0.973	dsDNAphage	10425	1	27.800	0.000
k141_29217684||full	1.000	0.287	0.060	0.313	0.307	1.000	dsDNAphage	38356	5	37.500	0.000
k141_27719303||full	1.000	0.440	0.005	0.147	0.073	1.000	dsDNAphage	46219	3	49.300	2.600
k141_9482113||full	0.993	0.153	0.000	0.040	0.013	0.993	dsDNAphage	86021	6	27.700	2.100
k141_24748284||full	1.000	0.300	0.045	0.173	0.133	1.000	dsDNAphage	37089	6	27.100	0.000
k141_27800705||full	0.993	0.200	0.000	0.020	0.040	0.993	dsDNAphage	41523	4	17.100	1.400
k141_27990274||full	0.993	0.633	0.015	0.080	0.107	0.993	dsDNAphage	43011	4	34.700	1.400
k141_12812474||full	0.980	0.160	0.005	0.000	0.007	0.980	dsDNAphage	128393	3	19.600	2.800
k141_3720919||full	0.227	0.827	0.300	0.040	0.240	0.827	NCLDV	5181	0	25.000	0.000
