seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
k141_3792512||full	0.487	0.253	0.165	0.613	0.107	0.613	ssDNA	5386	1	33.300	0.000
k141_1427668||full	0.200	0.933	0.190	0.060	0.240	0.933	NCLDV	5821	0	40.000	0.000
k141_1294||full	0.067	0.560	0.090	0.020	0.220	0.560	NCLDV	4925	0	16.700	0.000
k141_2379822||full	0.647	0.247	0.415	0.033	0.353	0.647	dsDNAphage	6008	0	16.700	0.000
k141_795519||full	0.820	0.627	0.330	0.353	0.807	0.820	dsDNAphage	7897	0	23.100	0.000
k141_2065694||full	0.587	0.620	0.300	0.033	0.400	0.620	NCLDV	5083	0	33.300	0.000
k141_2700324||full	1.000	0.653	0.145	0.533	0.353	1.000	dsDNAphage	8735	2	71.400	0.000
k141_481163||full	0.127	0.760	0.010	0.000	0.093	0.760	NCLDV	7588	0	33.300	11.100
k141_2384765||full	0.193	0.813	0.075	0.013	0.093	0.813	NCLDV	5368	0	20.000	0.000
k141_8715||full	0.093	0.667	0.065	0.007	0.400	0.667	NCLDV	5194	0	33.300	0.000
k141_3496276||full	0.227	0.880	0.065	0.013	0.400	0.880	NCLDV	5016	0	33.300	0.000
k141_960269||full	0.033	0.667	0.000	0.000	0.067	0.667	NCLDV	7411	0	33.300	0.000
k141_803147||full	0.413	0.827	0.200	0.060	0.520	0.827	NCLDV	5196	0	40.000	0.000
k141_3183257||full	0.093	0.907	0.135	0.000	0.333	0.907	NCLDV	5178	0	25.000	0.000
k141_3184919||full	0.213	0.627	0.060	0.007	0.140	0.627	NCLDV	6059	0	16.700	0.000
k141_3502695||full	0.993	0.133	0.375	0.647	0.433	0.993	dsDNAphage	5707	3	42.900	0.000
k141_3503638||full	0.507	0.260	0.015	0.047	0.120	0.507	dsDNAphage	5845	0	50.000	25.000
k141_2237324||full	0.560	0.620	0.000	0.020	0.020	0.620	NCLDV	5439	0	27.300	9.100
k141_19288||full	0.167	0.947	0.555	0.020	0.813	0.947	NCLDV	5108	0	14.300	0.000
k141_2556308||full	0.867	0.113	0.345	0.467	0.280	0.867	dsDNAphage	5169	0	10.000	0.000
k141_1923972||full	0.907	0.553	0.500	0.213	0.460	0.907	dsDNAphage	13904	0	15.800	0.000
k141_339122||full	0.467	0.187	0.740	0.027	0.713	0.740	RNA	5542	0	16.700	0.000
k141_23846||full	0.080	0.500	0.100	0.000	0.280	0.500	NCLDV	8615	0	14.300	0.000
k141_1135070||full	0.400	0.767	0.320	0.713	0.760	0.767	NCLDV	4485	0	33.300	0.000
k141_3671280||full	0.580	0.653	0.195	0.187	0.607	0.653	NCLDV	5125	0	66.700	0.000
k141_3039371||full	0.440	0.687	0.055	0.033	0.087	0.687	NCLDV	5740	0	33.300	0.000
k141_2087695||full	0.707	0.267	0.755	0.040	0.727	0.755	RNA	7496	0	10.000	0.000
k141_1929611||full	0.227	0.680	0.115	0.033	0.667	0.680	NCLDV	6319	0	33.300	0.000
k141_2721413||full	0.833	0.767	0.115	0.447	0.600	0.833	dsDNAphage	5736	0	85.700	0.000
k141_1771085||full	0.933	0.147	0.410	0.487	0.300	0.933	dsDNAphage	5167	0	11.100	0.000
k141_1772186||full	0.587	0.333	0.040	0.080	0.413	0.587	dsDNAphage	7349	0	33.300	0.000
k141_3200434||full	0.173	0.827	0.130	0.027	0.147	0.827	NCLDV	6701	0	20.000	0.000
