	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with unknown function	Viral structure genes	Viral genes with host benefits	Viral replication genes	Viral genes with viral benefits
c_000002013013__full-cat_2	2	False	False	11	3	0	False	0.0	11	0.0	0.0	0.0	0.0	0.0
c_000002014163__full-cat_1	1	False	False	21	1	0	False	0.0	13	5.0	2.0	1.0	0.0	0.0
c_000002015317__full-cat_2	2	False	False	10	5	0	False	0.0	10	0.0	0.0	0.0	0.0	0.0
c_000002017169__full-cat_2	2	False	False	3	2	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
c_000002017337__full-cat_2	2	False	False	5	2	0	False	0.0	4	0.0	0.0	1.0	0.0	0.0
c_000002017599__full-cat_2	2	False	False	6	0	1	False	0.8333333333333334	1	0.0	0.0	5.0	0.0	0.0
c_000002019294__full-cat_2	2	False	False	7	3	0	False	0.14285714285714285	5	0.0	1.0	1.0	0.0	0.0
c_000002019509__full-cat_2	2	False	False	3	1	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
c_000002019919__full-cat_2	2	False	False	7	1	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000002022867__full-cat_2	2	False	False	5	1	0	False	0.2	4	0.0	0.0	1.0	0.0	0.0
c_000002024008__full-cat_2	2	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002027994__full-cat_2	2	False	False	14	5	1	False	0.0	13	0.0	0.0	1.0	0.0	0.0
c_000002029987__full-cat_1	1	False	False	8	0	0	False	0.0	4	2.0	0.0	0.0	2.0	0.0
c_000002036457__full-cat_2	2	False	False	6	5	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002037277__full-cat_2	2	False	False	9	2	0	False	0.0	8	1.0	0.0	0.0	0.0	0.0
c_000002039450__full-cat_2	2	False	False	7	2	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000002039766__full-cat_2	2	False	False	7	3	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000002041744__full-cat_1	1	False	False	5	1	0	False	0.2	3	1.0	0.0	1.0	0.0	0.0
c_000002042633__full-cat_2	2	False	False	7	0	0	False	0.0	4	1.0	0.0	2.0	0.0	0.0
c_000002045366__full-cat_2	2	False	False	11	5	0	False	0.0	11	0.0	0.0	0.0	0.0	0.0
c_000002045749__full-cat_2	2	False	False	3	1	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
c_000002049458__full-cat_2	2	False	False	8	3	0	False	0.0	7	0.0	0.0	1.0	0.0	0.0
c_000002050529__full-cat_2	2	False	False	6	1	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002051559__full-cat_1	1	False	False	9	1	0	False	0.1111111111111111	8	0.0	0.0	1.0	0.0	0.0
c_000002051851__full-cat_1	1	False	False	23	5	3	True	0.21739130434782608	15	2.0	0.0	6.0	0.0	0.0
c_000002052153__full-cat_2	2	False	False	6	0	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002052502__full-cat_2	2	False	False	4	2	0	False	0.0	3	0.0	1.0	0.0	0.0	0.0
c_000002052750__full-cat_1	1	False	False	7	0	0	False	0.0	5	0.0	2.0	0.0	0.0	0.0
c_000002055993__full-cat_2	2	False	False	7	4	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000002056291__full-cat_2	2	False	False	3	1	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
c_000002056564__full-cat_2	2	False	False	11	3	0	False	0.0	10	0.0	0.0	1.0	0.0	0.0
c_000002057039__full-cat_2	2	False	False	4	1	0	False	0.25	3	0.0	0.0	1.0	0.0	0.0
c_000002057171__full-cat_2	2	False	False	7	2	0	False	0.14285714285714285	5	0.0	0.0	2.0	0.0	0.0
c_000002059446__full-cat_2	2	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002059475__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000002060221__full-cat_2	2	False	False	5	1	0	False	0.2	4	0.0	0.0	1.0	0.0	0.0
c_000002060841__full-cat_2	2	False	False	7	1	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
