contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
c_000000711315||0_partial	20460	No	NA	17	0	8	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000089825||0_partial	35296	Yes	13888	39	11	17	Low-quality	Genome-fragment	22.2	AAI-based (medium-confidence)	60.65	1.0	low-confidence Provirus
c_000000125767||0_partial	21190	Yes	15337	21	3	3	Low-quality	Genome-fragment	14.57	HMM-based (lower-bound)	27.62	1.0	
c_000000326398||0_partial	25691	Yes	13601	29	11	11	Low-quality	Genome-fragment	24.09	AAI-based (medium-confidence)	47.06	1.0	low-confidence Provirus
c_000000390487||0_partial	25465	Yes	15220	31	12	12	Low-quality	Genome-fragment	24.24	AAI-based (medium-confidence)	40.23	1.0	
c_000000410655||0_partial	24623	No	NA	19	1	4	Low-quality	Genome-fragment	11.09	HMM-based (lower-bound)	0.0	1.0	
c_000000609003||0_partial	10452	No	NA	12	1	0	Low-quality	Genome-fragment	17.55	HMM-based (lower-bound)	0.0	1.01	
c_000000660524||0_partial	12009	No	NA	12	0	8	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000672820||0_partial	24549	Yes	11472	26	9	12	Low-quality	Genome-fragment	21.32	AAI-based (medium-confidence)	53.27	1.0	low-confidence Provirus
c_000000760615||0_partial	30966	Yes	22869	33	11	9	Medium-quality	Genome-fragment	54.05	AAI-based (medium-confidence)	26.15	1.0	
c_000000944506||0_partial	24471	Yes	14955	30	11	10	Low-quality	Genome-fragment	27.28	AAI-based (medium-confidence)	38.89	1.0	
c_000000962834||0_partial	11886	No	NA	13	1	3	Low-quality	Genome-fragment	13.67	HMM-based (lower-bound)	0.0	1.0	
c_000000979767||0_partial	27155	Yes	14370	32	11	9	Low-quality	Genome-fragment	25.42	AAI-based (medium-confidence)	47.08	1.0	low-confidence Provirus
c_000001111701||0_partial	12010	No	NA	9	0	6	Low-quality	Genome-fragment	6.03	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
c_000001168137||0_partial	16907	Yes	11500	21	9	4	Low-quality	Genome-fragment	21.32	AAI-based (medium-confidence)	31.98	1.0	
c_000001189539||0_partial	18528	No	NA	17	2	1	Low-quality	Genome-fragment	11.55	HMM-based (lower-bound)	0.0	1.0	
c_000001213198||0_partial	25630	No	NA	19	1	4	Low-quality	Genome-fragment	16.55	HMM-based (lower-bound)	0.0	1.0	
c_000001402059||0_partial	2016	No	NA	2	1	0	High-quality	High-quality	91.29	AAI-based (medium-confidence)	0.0	1.0	
c_000001578124||0_partial	21164	Yes	13910	18	2	3	Low-quality	Genome-fragment	10.29	HMM-based (lower-bound)	34.28	1.0	
c_000001615240||0_partial	4429	No	NA	7	2	0	Low-quality	Genome-fragment	9.22	AAI-based (medium-confidence)	0.0	1.0	
c_000001728273||0_partial	25824	Yes	13558	29	9	8	Low-quality	Genome-fragment	17.73	HMM-based (lower-bound)	47.5	1.0	low-confidence Provirus
c_000001799225||0_partial	60144	Yes	14853	60	11	35	Low-quality	Genome-fragment	27.81	HMM-based (lower-bound)	75.3	1.0	low-confidence Provirus
c_000001812975||0_partial	27671	Yes	14357	31	12	11	Low-quality	Genome-fragment	25.75	AAI-based (medium-confidence)	48.12	1.0	low-confidence Provirus
c_000001895351||0_partial	25765	Yes	13699	29	11	8	Low-quality	Genome-fragment	23.82	AAI-based (medium-confidence)	46.83	1.0	low-confidence Provirus
c_000002005160||0_partial	29221	Yes	13913	35	11	10	Low-quality	Genome-fragment	22.14	AAI-based (medium-confidence)	52.39	1.0	low-confidence Provirus
c_000002202080||0_partial	30875	Yes	14809	30	11	9	Low-quality	Genome-fragment	32.41	AAI-based (medium-confidence)	52.04	1.0	low-confidence Provirus
c_000002269210||0_partial	13381	No	NA	12	0	8	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000002314019||0_partial	58210	Yes	46481	68	12	7	Medium-quality	Genome-fragment	58.81	HMM-based (lower-bound)	20.15	1.0	
c_000002466019||0_partial	18780	No	NA	9	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000002614552||0_partial	13052	Yes	10758	16	10	2	Low-quality	Genome-fragment	19.95	AAI-based (medium-confidence)	17.58	1.0	
c_000002639113||0_partial	28636	Yes	14240	32	10	10	Low-quality	Genome-fragment	25.7	AAI-based (medium-confidence)	50.27	1.0	low-confidence Provirus
c_000002775664||0_partial	19373	No	NA	14	1	1	Low-quality	Genome-fragment	10.08	HMM-based (lower-bound)	0.0	1.0	
c_000002906638||0_partial	29316	Yes	18205	22	2	7	Low-quality	Genome-fragment	8.18	HMM-based (lower-bound)	37.9	1.0	low-confidence Provirus
c_000002956506||0_partial	20096	Yes	10971	16	3	2	Low-quality	Genome-fragment	7.24	HMM-based (lower-bound)	45.41	1.0	
c_000002982533||0_partial	31716	Yes	24995	23	3	4	Low-quality	Genome-fragment	17.43	HMM-based (lower-bound)	21.19	1.0	
c_000003036862||0_partial	13507	No	NA	10	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000003054360||0_partial	18375	No	NA	15	0	8	Low-quality	Genome-fragment	1.7	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
c_000003064593||0_partial	21243	No	NA	21	0	8	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000003068538||0_partial	7014	No	NA	8	1	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	contig >1.5x longer than expected genome length
c_000003156002||0_partial	31082	No	NA	12	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
c_000003176774||0_partial	15049	No	NA	14	1	5	Low-quality	Genome-fragment	7.77	HMM-based (lower-bound)	0.0	1.0	
c_000003318708||0_partial	28838	Yes	13121	25	3	7	Low-quality	Genome-fragment	11.68	HMM-based (lower-bound)	54.5	1.0	
