seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
k141_5040||full	1.000	0.273	0.025	0.073	0.133	1.000	dsDNAphage	43912	2	28.800	0.000
k141_25019834||full	0.360	0.727	0.095	0.167	0.933	0.933	lavidaviridae	10217	0	27.300	0.000
k141_12529538||full	0.993	0.027	0.000	0.007	0.080	0.993	dsDNAphage	57059	2	34.100	4.700
k141_25038389||full	0.987	0.167	0.045	0.093	0.033	0.987	dsDNAphage	49253	4	24.300	1.400
k141_18106412||full	0.373	0.180	0.080	0.007	0.527	0.527	lavidaviridae	12052	0	27.300	9.100
k141_32025106||full	1.000	0.307	0.000	0.080	0.033	1.000	dsDNAphage	38766	3	19.400	1.500
k141_29254736||full	0.987	0.140	0.005	0.000	0.093	0.987	dsDNAphage	180010	1	19.500	1.400
k141_4288738||full	1.000	0.093	0.005	0.013	0.027	1.000	dsDNAphage	162076	9	23.300	1.100
k141_18176752||full	1.000	0.247	0.010	0.013	0.027	1.000	dsDNAphage	36109	2	30.500	1.700
k141_19615239||full	1.000	0.367	0.005	0.013	0.153	1.000	dsDNAphage	20211	4	44.000	4.000
k141_25215066||full	1.000	0.420	0.005	0.027	0.020	1.000	dsDNAphage	40822	9	36.900	2.400
k141_11343454||full	1.000	0.740	0.105	0.387	0.327	1.000	dsDNAphage	5161	4	83.300	0.000
k141_7210888||full	1.000	0.353	0.065	0.140	0.327	1.000	dsDNAphage	18538	3	25.000	0.000
k141_21136516||full	0.907	0.100	0.000	0.007	0.047	0.907	dsDNAphage	19194	0	13.300	3.300
k141_16985942||full	1.000	0.100	0.000	0.013	0.007	1.000	dsDNAphage	46988	4	42.000	3.700
k141_8650632||full	1.000	0.140	0.000	0.040	0.013	1.000	dsDNAphage	41317	4	34.700	2.700
k141_32276587||full	1.000	0.053	0.045	0.080	0.427	1.000	dsDNAphage	38126	6	48.100	1.900
k141_11531263||full	0.047	0.820	0.000	0.000	0.047	0.820	NCLDV	7788	0	20.000	0.000
k141_12931231||full	1.000	0.413	0.010	0.227	0.100	1.000	dsDNAphage	39873	3	25.000	0.000
k141_26845052||full	0.960	0.140	0.000	0.013	0.027	0.960	dsDNAphage	55935	5	27.700	3.000
k141_467277||full	1.000	0.300	0.000	0.013	0.113	1.000	dsDNAphage	73425	3	45.100	2.200
k141_29638967||full	0.047	0.760	0.100	0.007	0.027	0.760	NCLDV	5563	0	16.700	0.000
k141_1905922||full	0.307	0.340	0.065	0.087	0.727	0.727	lavidaviridae	6830	0	37.500	12.500
k141_10323408||full	0.287	0.973	0.010	0.000	0.060	0.973	NCLDV	41662	2	8.500	1.700
k141_6282672||full	0.633	0.907	0.035	0.047	0.180	0.907	NCLDV	19201	1	7.500	0.000
k141_21562098||full	1.000	0.087	0.010	0.073	0.080	1.000	dsDNAphage	47611	15	41.600	1.300
k141_2129021||full	1.000	0.280	0.035	0.287	0.213	1.000	dsDNAphage	36484	4	30.000	0.000
k141_17648421||full	0.993	0.587	0.005	0.013	0.007	0.993	dsDNAphage	44709	5	21.300	1.300
k141_28780722||full	1.000	0.213	0.000	0.027	0.007	1.000	dsDNAphage	39959	4	33.900	3.200
k141_13605446||full	0.987	0.100	0.050	0.020	0.413	0.987	dsDNAphage	52546	4	20.800	1.400
k141_1120857||full	0.993	0.087	0.000	0.033	0.087	0.993	dsDNAphage	35585	10	35.500	1.600
