contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
k141_2862733||0_partial	37424	Yes	30298	49	17	2	Medium-quality	Genome-fragment	67.37	AAI-based (medium-confidence)	19.04	1.0	
k141_3152636||0_partial	31574	Yes	21184	40	8	9	Low-quality	Genome-fragment	38.33	HMM-based (lower-bound)	32.91	1.0	
k141_1727088||0_partial	11952	No	NA	4	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
k141_2587524||0_partial	10818	No	NA	6	1	0	Low-quality	Genome-fragment	5.63	HMM-based (lower-bound)	0.0	1.0	
k141_3448797||0_partial	8174	No	NA	7	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_2883289||0_partial	24412	Yes	15066	26	10	8	Low-quality	Genome-fragment	26.67	AAI-based (medium-confidence)	38.28	1.0	
k141_24330||0_partial	14608	No	NA	13	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_313742||0_partial	13138	Yes	2920	10	2	6	Low-quality	Genome-fragment	1.68	HMM-based (lower-bound)	77.77	1.0	
k141_4315540||0_partial	27968	Yes	14357	31	11	12	Low-quality	Genome-fragment	22.95	AAI-based (medium-confidence)	48.67	1.0	low-confidence Provirus
k141_2604838||0_partial	23362	Yes	5911	24	5	8	Low-quality	Genome-fragment	11.85	HMM-based (lower-bound)	74.7	1.0	
k141_1463513||0_partial	24378	Yes	13728	27	11	9	Low-quality	Genome-fragment	23.86	AAI-based (medium-confidence)	43.69	1.0	low-confidence Provirus
k141_5182567||0_partial	17588	Yes	4564	23	2	13	Medium-quality	Genome-fragment	76.28	AAI-based (medium-confidence)	74.05	1.0	contig >1.5x longer than expected genome length
k141_3758414||0_partial	9137	No	NA	11	1	3	Low-quality	Genome-fragment	6.29	HMM-based (lower-bound)	0.0	1.0	
k141_43296||0_partial	38554	No	NA	35	3	3	Low-quality	Genome-fragment	24.1	HMM-based (lower-bound)	0.0	1.0	
k141_2335839||0_partial	26157	Yes	14495	31	11	12	Low-quality	Genome-fragment	23.12	AAI-based (medium-confidence)	44.58	1.0	low-confidence Provirus
