seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
k141_3592833||full	0.993	0.233	0.005	0.100	0.047	0.993	dsDNAphage	42122	11	50.700	1.400
k141_6205387||full	0.240	0.413	0.315	0.233	0.820	0.820	lavidaviridae	5335	0	33.300	0.000
k141_5268399||full	0.360	0.687	0.120	0.173	0.960	0.960	lavidaviridae	5245	0	16.700	0.000
k141_3966706||full	0.987	0.100	0.000	0.000	0.000	0.987	dsDNAphage	56132	4	30.800	6.400
k141_2341473||full	1.000	0.180	0.010	0.127	0.240	1.000	dsDNAphage	48347	5	36.500	1.400
k141_79045||full	0.207	0.673	0.055	0.020	0.253	0.673	NCLDV	8117	0	20.000	0.000
k141_1145532||full	1.000	0.193	0.155	0.260	0.047	1.000	dsDNAphage	15397	1	22.600	0.000
k141_1146582||full	1.000	0.573	0.180	0.120	0.153	1.000	dsDNAphage	24178	3	29.700	0.000
k141_4428389||full	0.393	0.927	0.100	0.000	0.533	0.927	NCLDV	25186	0	12.500	6.200
k141_1508536||full	1.000	0.200	0.000	0.020	0.013	1.000	dsDNAphage	53056	7	28.400	1.100
k141_3529201||full	1.000	0.573	0.020	0.167	0.173	1.000	dsDNAphage	47359	18	63.500	0.000
k141_7785635||full	0.993	0.480	0.010	0.067	0.767	0.993	dsDNAphage	35262	5	32.100	3.600
k141_7785640||full	1.000	0.827	0.190	0.107	0.347	1.000	dsDNAphage	33467	4	47.200	0.000
k141_7785760||full	0.987	0.060	0.000	0.000	0.013	0.987	dsDNAphage	83219	8	30.800	2.100
k141_7787200||full	1.000	0.900	0.080	0.220	0.940	1.000	dsDNAphage	16382	2	26.900	0.000
k141_6839455||full	0.860	0.907	0.160	0.060	0.407	0.907	NCLDV	9575	0	40.000	0.000
k141_4233988||full	0.240	0.980	0.115	0.033	0.780	0.980	NCLDV	6463	0	40.000	0.000
k141_7165243||full	0.860	0.073	0.000	0.000	0.093	0.860	dsDNAphage	14491	2	30.800	7.700
k141_6188729||full	0.133	0.800	0.025	0.000	0.413	0.800	NCLDV	6107	0	28.600	14.300
k141_652057||full	0.340	0.640	0.225	0.140	0.740	0.740	lavidaviridae	4531	0	33.300	0.000
k141_6840169||full	0.513	0.467	0.130	0.020	0.113	0.513	dsDNAphage	5634	0	40.000	0.000
k141_1629337||full	0.107	0.507	0.065	0.000	0.187	0.507	NCLDV	9531	0	28.600	0.000
