seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
k141_287142||full	1.000	0.233	0.045	0.080	0.100	1.000	dsDNAphage	64336	4	22.900	0.000
k141_3718883||full	0.993	0.393	0.000	0.153	0.087	0.993	dsDNAphage	43430	9	49.400	1.300
k141_2007256||full	0.993	0.687	0.105	0.300	0.780	0.993	dsDNAphage	48593	5	28.700	0.000
k141_1168555||full	0.993	0.187	0.155	0.147	0.187	0.993	dsDNAphage	41425	7	53.100	0.000
k141_6318598||full	1.000	0.047	0.005	0.020	0.120	1.000	dsDNAphage	21582	4	47.100	2.900
k141_4616510||full	0.520	0.667	0.430	0.540	0.907	0.907	lavidaviridae	7835	0	50.000	0.000
k141_908728||full	1.000	0.187	0.010	0.073	0.373	1.000	dsDNAphage	42396	5	53.800	0.000
k141_6343423||full	0.980	0.367	0.040	0.067	0.393	0.980	dsDNAphage	89441	6	33.300	2.000
k141_5509321||full	0.440	0.973	0.285	0.220	0.820	0.973	NCLDV	6336	0	25.000	0.000
k141_4953383||full	0.460	0.947	0.345	0.260	0.833	0.947	NCLDV	6947	0	33.300	0.000
k141_3811065||full	0.433	0.607	0.250	0.180	0.953	0.953	lavidaviridae	8098	0	25.000	0.000
k141_3238460||full	0.980	0.953	0.190	0.313	0.993	0.993	lavidaviridae	8392	0	25.000	0.000
k141_1805473||full	1.000	0.400	0.015	0.153	0.073	1.000	dsDNAphage	35558	5	32.400	0.000
k141_3243786||full	0.973	0.233	0.000	0.080	0.293	0.973	dsDNAphage	42702	2	37.200	2.600
k141_2673345||full	1.000	0.313	0.020	0.307	0.667	1.000	dsDNAphage	63187	12	41.600	1.000
k141_5265575||full	1.000	0.407	0.050	0.133	0.620	1.000	dsDNAphage	40175	4	44.600	0.000
k141_2414783||full	0.573	0.293	0.445	0.060	0.480	0.573	dsDNAphage	10029	0	7.700	0.000
k141_721792||full	0.607	0.873	0.180	0.660	0.807	0.873	NCLDV	6823	0	60.000	0.000
k141_4448988||full	1.000	0.313	0.290	0.460	0.840	1.000	dsDNAphage	48641	7	56.000	0.000
k141_4450505||full	1.000	0.460	0.035	0.127	0.293	1.000	dsDNAphage	49096	6	63.800	0.000
k141_6170179||full	1.000	0.487	0.005	0.060	0.040	1.000	dsDNAphage	64206	13	47.300	1.100
k141_5600485||full	0.407	0.733	0.440	0.313	0.987	0.987	lavidaviridae	6754	0	33.300	0.000
k141_1313254||full	1.000	0.200	0.040	0.167	0.467	1.000	dsDNAphage	35814	6	47.900	0.000
k141_4467000||full	1.000	0.133	0.010	0.133	0.100	1.000	dsDNAphage	37256	9	59.000	0.000
k141_1327315||full	1.000	0.853	0.020	0.213	0.587	1.000	dsDNAphage	76529	10	55.000	1.000
k141_6473999||full	1.000	0.447	0.020	0.140	0.127	1.000	dsDNAphage	40990	6	37.100	0.000
k141_5621213||full	0.993	0.247	0.015	0.013	0.107	0.993	dsDNAphage	54977	5	22.200	2.800
k141_4209579||full	1.000	0.047	0.000	0.007	0.100	1.000	dsDNAphage	41199	12	41.200	2.900
k141_1632593||full	1.000	0.360	0.000	0.027	0.013	1.000	dsDNAphage	38805	6	34.300	4.500
k141_1928304||full	0.433	0.547	0.020	0.060	0.467	0.547	NCLDV	9390	0	14.300	7.100
k141_820845||full	1.000	0.227	0.025	0.160	0.127	1.000	dsDNAphage	35752	5	31.700	0.000
k141_821304||full	0.993	0.273	0.075	0.380	0.180	0.993	dsDNAphage	46241	3	40.000	0.000
k141_540336||full	0.993	0.673	0.010	0.020	0.640	0.993	dsDNAphage	50360	6	30.600	3.500
k141_250817||full	1.000	0.080	0.000	0.013	0.020	1.000	dsDNAphage	44626	8	32.600	2.300
k141_1118246||full	0.993	0.120	0.000	0.007	0.000	0.993	dsDNAphage	49174	6	66.000	5.700
k141_6847178||full	0.980	0.787	0.030	0.213	0.473	0.980	dsDNAphage	102516	19	50.800	0.800
k141_6847184||full	0.993	0.807	0.110	0.100	0.753	0.993	dsDNAphage	39732	4	42.900	0.000
k141_6847186||full	1.000	0.447	0.185	0.153	0.680	1.000	dsDNAphage	44709	7	46.200	0.000
k141_6847187||full	0.993	0.187	0.000	0.000	0.273	0.993	dsDNAphage	128964	5	26.600	3.600
k141_6847190||full	1.000	0.640	0.090	0.507	0.840	1.000	dsDNAphage	38802	6	45.900	0.000
k141_6847191||full	1.000	0.827	0.000	0.067	0.067	1.000	dsDNAphage	48295	6	37.100	1.600
k141_6847198||full	1.000	0.153	0.000	0.013	0.013	1.000	dsDNAphage	32264	5	33.300	2.100
k141_6847203||full	1.000	0.933	0.020	0.113	0.880	1.000	dsDNAphage	66074	10	62.000	2.800
k141_6847215||full	0.993	0.113	0.015	0.040	0.033	0.993	dsDNAphage	37476	9	48.300	1.700
k141_6847227||full	0.993	0.520	0.210	0.327	0.913	0.993	dsDNAphage	36410	4	69.800	0.000
k141_6847232||full	1.000	0.700	0.075	0.420	0.473	1.000	dsDNAphage	38812	10	66.700	0.000
k141_6847233||full	1.000	0.340	0.015	0.060	0.180	1.000	dsDNAphage	40793	9	39.000	0.000
k141_6847240||full	1.000	0.247	0.030	0.353	0.453	1.000	dsDNAphage	40159	8	39.700	0.000
k141_6847242||full	1.000	0.660	0.005	0.187	0.153	1.000	dsDNAphage	87369	8	42.100	0.000
k141_6847251||full	1.000	0.073	0.000	0.047	0.047	1.000	dsDNAphage	42856	5	44.900	1.400
k141_6847269||full	1.000	0.653	0.025	0.040	0.347	1.000	dsDNAphage	47151	6	55.100	0.000
k141_6847270||full	1.000	0.213	0.015	0.040	0.080	1.000	dsDNAphage	49911	4	17.400	0.000
k141_6847291||full	1.000	0.213	0.060	0.360	0.720	1.000	dsDNAphage	37243	6	50.000	0.000
k141_6847323||full	0.727	0.887	0.070	0.240	0.260	0.887	NCLDV	10404	0	30.800	0.000
k141_6847335||full	1.000	0.120	0.000	0.093	0.260	1.000	dsDNAphage	34466	7	53.100	2.000
k141_6847352||full	1.000	0.300	0.010	0.027	0.120	1.000	dsDNAphage	37234	6	30.400	0.000
k141_6847399||full	1.000	0.347	0.020	0.053	0.067	1.000	dsDNAphage	38137	4	18.600	0.000
k141_6847412||full	1.000	0.633	0.035	0.060	0.360	1.000	dsDNAphage	46800	1	17.100	0.000
