gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
k141_1032502__full-cat_2_5	k141_1032502__full-cat_2							3	MKF
k141_1055400__full-cat_2_7	k141_1055400__full-cat_2							3	MKF
k141_11066535__full-cat_2_8	k141_11066535__full-cat_2	K01969	3-methylcrotonyl-CoA carboxylase [EC:6.4.1.4] [RN:R04138]	Organic Nitrogen	Amino Acid		Leucine degradation, leucine => acetoacetate + acetyl-CoA	3	MF
k141_11066535__full-cat_2_9	k141_11066535__full-cat_2	K00249	acyl-CoA dehydrogenase [EC:1.3.8.7] [RN:R04432]	Energy	Electron transport Chain		Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	3	MKF
k141_11066535__full-cat_2_9	k141_11066535__full-cat_2	K00249	acyl-CoA dehydrogenase [EC:1.3.8.7] [RN:R04095]	Organic Nitrogen	Amino Acid		Leucine degradation, leucine => acetoacetate + acetyl-CoA	3	MKF
k141_1138442__full-cat_2_2	k141_1138442__full-cat_2	K02204	homoserine kinase [EC:2.7.1.39] [RN:R01771]	Organic Nitrogen	Amino Acid		Threonine biosynthesis, aspartate => homoserine => threonine	3	MF
k141_1215999__full-cat_2_3	k141_1215999__full-cat_2							3	MKF
k141_1215999__full-cat_2_6	k141_1215999__full-cat_2							3	MKF
k141_1215999__full-cat_2_7	k141_1215999__full-cat_2							3	MKF
k141_12268739__full-cat_1_11	k141_12268739__full-cat_1	K00560	thymidylate synthase [EC:2.1.1.45] [RN:R02101]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	M
k141_12280382__full-cat_2_10	k141_12280382__full-cat_2							3	MK
k141_12280382__full-cat_2_14	k141_12280382__full-cat_2							3	MKF
k141_12283599__full-cat_2_3	k141_12283599__full-cat_2							3	MKF
k141_13601803__full-cat_2_8	k141_13601803__full-cat_2							3	MKF
k141_13743697__full-cat_2_2	k141_13743697__full-cat_2	K01992	ABC-2.P; ABC-2 type transport system permease protein	Transporters			ABC-2 type transport system	3	MF
k141_13743697__full-cat_2_2	k141_13743697__full-cat_2	K09696	natB; sodium transport system permease protein	Transporters			Sodium transport system	3	MF
k141_13785040__full-cat_2_2	k141_13785040__full-cat_2							3	MKF
k141_13806014__full-cat_2_2	k141_13806014__full-cat_2	M28C	Catlytic type: Metallo; able to release a variety of N-terminal amino acids, with preference for basic amino acids	Organic Nitrogen	Peptidase		Aminopeptidases and carboxypeptidases	3	MF
k141_14901286__full-cat_2_8	k141_14901286__full-cat_2							3	MKF
k141_14901286__full-cat_2_11	k141_14901286__full-cat_2							3	MKF
k141_14908913__full-cat_1_23	k141_14908913__full-cat_1							3	MKF
k141_14929914__full-cat_2_3	k141_14929914__full-cat_2							3	MKF
k141_15094762__full-cat_2_2	k141_15094762__full-cat_2							3	MKF
k141_16375158__full-cat_2_2	k141_16375158__full-cat_2	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
k141_16375158__full-cat_2_2	k141_16375158__full-cat_2	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	3	MKF
k141_16375158__full-cat_2_2	k141_16375158__full-cat_2	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	3	MKF
k141_16457138__full-cat_2_2	k141_16457138__full-cat_2	C93	Catlytic type: Cysteine; member is LapG peptidase (Pseudomonas fluorescens)	Organic Nitrogen	Peptidase		LapG peptidase	3	MF
