gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
k119_1011168__full-cat_2_2	k119_1011168__full-cat_2							3	MKF
k119_1011168__full-cat_2_3	k119_1011168__full-cat_2	K01676	fumarate hydratase [EC:4.2.1.2] [RN:R01082]	carbon utilization	central carbon	TCA	Citrate cycle (TCA cycle, Krebs cycle)	3	MF
k119_1011168__full-cat_2_3	k119_1011168__full-cat_2	K01676	fumarate hydratase [EC:4.2.1.2] [RN:R01082]	carbon utilization	central carbon	TCA	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	3	MF
k119_1011168__full-cat_2_3	k119_1011168__full-cat_2	K01676	fumarate hydratase [EC:4.2.1.2] [RN:R01082]	Energy	C1		Reductive citrate cycle (Arnon-Buchanan cycle)	3	MF
k119_1011168__full-cat_2_3	k119_1011168__full-cat_2	K01676	fumarate hydratase [EC:4.2.1.2] [RN:R01082]	Energy	C1		Dicarboxylate-hydroxybutyrate cycle	3	MF
k119_164128__full-cat_1_3	k119_164128__full-cat_1	CBM48	CBM48 Modules of approx. 100 residues with glycogen-binding function, appended to GH13 modules. Also found in the beta subunit (glycogen-binding) of AMP-activated protein kinases (AMPK)	carbon utilization	CAZY		Carbohydrate-Binding Modules	2	MF
k119_164128__full-cat_1_3	k119_164128__full-cat_1	GH13	GH13 alpha-amylase (EC 3.2.1.1); pullulanase (EC 3.2.1.41); cyclomaltodextrin glucanotransferase (EC 2.4.1.19); cyclomaltodextrinase (EC 3.2.1.54); trehalose-6-phosphate hydrolase (EC 3.2.1.93); oligo-alpha-glucosidase (EC 3.2.1.10); maltogenic amylase (EC 3.2.1.133); neopullulanase (EC 3.2.1.135); alpha-glucosidase (EC 3.2.1.20); maltotetraose-forming alpha-amylase (EC 3.2.1.60); isoamylase (EC 3.2.1.68); glucodextranase (EC 3.2.1.70); maltohexaose-forming alpha-amylase (EC 3.2.1.98); maltotriose-forming alpha-amylase (EC 3.2.1.116); branching enzyme (EC 2.4.1.18); trehalose synthase (EC 5.4.99.16); 4-alpha-glucanotransferase (EC 2.4.1.25); maltopentaose-forming alpha-amylase (EC 3.2.1.-) ; amylosucrase (EC 2.4.1.4) ; sucrose phosphorylase (EC 2.4.1.7); malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141); isomaltulose synthase (EC 5.4.99.11); malto-oligosyltrehalose synthase (EC 5.4.99.15); amylo-alpha-1,6-glucosidase (EC 3.2.1.33); alpha-1,4-glucan: phosphate alpha-maltosyltransferase (EC 2.4.99.16); 6'-P-sucrose phosphorylase (EC 2.4.1.-); amino acid transporter	carbon utilization	CAZY	Starch Backbone Cleavage	Glycoside Hydrolases	2	MF
k119_47432__full-cat_2_15	k119_47432__full-cat_2							3	MK
k119_518727__full-cat_2_2	k119_518727__full-cat_2							3	MKF
k119_543798__full-cat_2_3	k119_543798__full-cat_2	K01591	orotidine-5'-phosphate decarboxylase [EC:4.1.1.23] [RN:R00965]	MISC	Information systems	Nucleotide	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	3	MF
k119_546787__full-cat_1_90	k119_546787__full-cat_1	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	M
k119_555892__full-cat_2_7	k119_555892__full-cat_2							3	MKF
k119_580658__full-cat_1_2	k119_580658__full-cat_1							2	MKF
k119_871575__full-cat_2_12	k119_871575__full-cat_2							3	MKF
k119_981855__full-cat_1_9	k119_981855__full-cat_1	K11175	phosphoribosylglycinamide formyltransferase [EC:2.1.2.2] [RN:R04325]	MISC	Information systems	Nucleotide	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	2	MKF
