filename,Genome,dsDNAphage,NCLDV,RNA,ssDNA,lavidaviridae,max_score,max_score_group,length,hallmark,viral,cellular
Ettinger,Ettinger_c_000000065829,0.78,0.687,0.11,0.647,0.267,0.78,dsDNAphage,4225,0,25,0
Ettinger,Ettinger_c_000000127381,0.993,0.873,0,0.02,0.093,0.993,dsDNAphage,39230,14,55.2,3.4
Ettinger,Ettinger_c_000000352373,0.273,0.32,0.305,0.053,0.88,0.88,lavidaviridae,10242,0,20,0
Ettinger,Ettinger_c_000000673873,1,0.36,0,0,0.02,1,dsDNAphage,34705,11,50,6.5
Ettinger,Ettinger_c_000000727044,1,0.16,0.065,0.287,0.193,1,dsDNAphage,39194,5,47.2,0
Ettinger,Ettinger_c_000000889223,0.573,0.967,0.195,0.353,0.973,0.973,lavidaviridae,5256,0,20,0
Ettinger,Ettinger_c_000000940758,0.54,0.84,0.535,0.593,0.807,0.84,NCLDV,4647,0,50,0
Ettinger,Ettinger_c_000000965436,0.307,0.507,0.25,0.2,0.653,0.653,lavidaviridae,5724,0,33.3,0
Ettinger,Ettinger_c_000001064625,0.98,0.107,0,0,0.013,0.98,dsDNAphage,33170,13,47.5,10
Ettinger,Ettinger_c_000001163250,0.533,NA,0.115,0.62,0.567,0.62,ssDNA,5823,0,100,0
Ettinger,Ettinger_c_000001678367,1,0.387,0.07,0.213,0.467,1,dsDNAphage,39002,6,43.6,0
Ettinger,Ettinger_c_000002110192,0.687,0.693,0.23,0.213,0.713,0.713,lavidaviridae,7437,0,28.6,0
Ettinger,Ettinger_c_000002267460,0.2,0.58,0.05,0.02,0.833,0.833,lavidaviridae,5773,0,16.7,0
Ettinger,Ettinger_c_000002325272,0.287,0.66,0.015,0.027,0.207,0.66,NCLDV,6472,0,50,16.7
Ettinger,Ettinger_c_000002565205,0.953,0.087,0,0,0.027,0.953,dsDNAphage,31633,3,43.8,3.1
Ettinger,Ettinger_c_000002568038,0.353,0.953,0.095,0.273,0.573,0.953,NCLDV,7358,1,50,0
Ettinger,Ettinger_c_000002848494,0.893,0.233,0,0,0.14,0.893,dsDNAphage,104864,4,20.4,1.9
Ettinger,Ettinger_c_000002858716,1,0.127,0.03,0,0.427,1,dsDNAphage,73910,5,30.5,2.4
Ettinger,Ettinger_c_000002952918,0.647,0.107,0,0,0,0.647,dsDNAphage,74596,5,21.6,18.9
Ettinger,Ettinger_c_000003335104,1,0.107,0,0.013,0.053,1,dsDNAphage,35776,3,21.2,1.9
Ettinger,Ettinger_c_000003501646,0.373,0.307,0.555,0.12,0.787,0.787,lavidaviridae,8350,0,20,0
Ettinger,Ettinger_c_000005284336,1,0.067,0,0.033,0.047,1,dsDNAphage,68583,2,48.1,1.2
Ettinger,Ettinger_c_000005290412,1,0.173,0.005,0,0.1,1,dsDNAphage,44784,3,27.8,0
Ettinger,Ettinger_c_000005292813,0.72,0.88,0.58,0.06,0.947,0.947,lavidaviridae,9271,0,28.6,0
Ettinger,Ettinger_c_000005297748,0.993,0.107,0.03,0.007,0.407,0.993,dsDNAphage,128509,6,29.9,3
Ettinger,Ettinger_c_000005302123,0.553,0.3,0.03,0.02,0.32,0.553,dsDNAphage,9802,0,13.3,0
Ettinger,Ettinger_c_000005304603,1,0.053,0,0.053,0.26,1,dsDNAphage,34001,3,33.3,3.7
Ettinger,Ettinger_c_000005305948,0.56,0.867,0.235,0.06,0.807,0.867,NCLDV,6058,0,28.6,0
Ettinger,Ettinger_c_000005306750,1,0.547,0.055,0.167,0.873,1,dsDNAphage,28163,2,28.9,2.6
Ettinger,Ettinger_c_000005308450,0.993,0.853,0.035,0.713,0.393,0.993,dsDNAphage,42564,13,70.2,0
Ettinger,Ettinger_c_000005309236,0.207,0.74,0.325,0.007,0.793,0.793,lavidaviridae,12747,0,20,0
Ettinger,Ettinger_c_000005312595,0.693,0.74,0.69,0.173,0.88,0.88,lavidaviridae,8629,0,28.6,0
Ettinger,Ettinger_c_000005314755,0.993,0.227,0.02,0.067,0.127,0.993,dsDNAphage,40003,9,57.1,0
Ettinger,Ettinger_c_000005315051,0.86,0.053,0.045,0.02,0.667,0.86,dsDNAphage,8716,1,18.2,9.1
Ettinger,Ettinger_c_000005316856,0.487,0.26,0.165,0.62,0.1,0.62,ssDNA,5386,1,33.3,0
Ettinger,Ettinger_c_000005317917,0.96,0.193,0.005,0.013,0.24,0.96,dsDNAphage,33738,2,39.4,3
Ettinger,Ettinger_c_000005322149,0.987,0.407,0.02,0.02,0.1,0.987,dsDNAphage,34895,4,46.5,0
Ettinger,Ettinger_c_000005330802,0.633,0.947,0.625,0.667,0.967,0.967,lavidaviridae,5501,0,50,0
Ettinger,Ettinger_c_000000000521,0.16,0.62,0.27,0.02,0.153,0.62,NCLDV,5541,0,16.7,0
Ettinger,Ettinger_c_000000003380,0.98,0.507,0.16,0.987,0.987,0.987,ssDNA,5289,0,71.4,0
Ettinger,Ettinger_c_000000006091,0.64,0.14,0.045,0.047,0.027,0.64,dsDNAphage,6236,0,20,10
Ettinger,Ettinger_c_000000006541,0.16,0.7,0.135,0.073,0.12,0.7,NCLDV,5528,0,33.3,0
Ettinger,Ettinger_c_000000007383,0.847,0.413,0,0.007,0,0.847,dsDNAphage,5733,1,42.9,14.3
Ettinger,Ettinger_c_000000008518,0.647,0.02,0.015,0,0.08,0.647,dsDNAphage,16286,2,14.3,0
Ettinger,Ettinger_c_000000009194,0.093,0.607,0,0,0.067,0.607,NCLDV,13311,0,27.3,18.2
Ettinger,Ettinger_c_000000009293,0.14,0.593,0.055,0.007,0.127,0.593,NCLDV,5764,0,20,0
Ettinger,Ettinger_c_000000009324,0.633,0.267,0.04,0.013,0.027,0.633,dsDNAphage,6686,0,22.2,11.1
Ettinger,Ettinger_c_000000009438,0.107,0.853,0.005,0,0.293,0.853,NCLDV,6785,0,28.6,14.3
Ettinger,Ettinger_c_000000012432,0.82,0.767,0.04,0,0.373,0.82,dsDNAphage,12209,1,30,0
Ettinger,Ettinger_c_000000012667,0.987,0.507,0.405,0.413,0.74,0.987,dsDNAphage,10108,0,30.4,0
Ettinger,Ettinger_c_000000013063,0.373,0.513,0.12,0.013,0.553,0.553,lavidaviridae,6507,0,22.2,0
Ettinger,Ettinger_c_000000016440,0.6,0.34,0,0,0.047,0.6,dsDNAphage,29717,0,23.1,15.4
Ettinger,Ettinger_c_000000017201,0,0.667,0,0,0,0.667,NCLDV,11497,0,9.1,0
Ettinger,Ettinger_c_000000021360,0.873,0.113,0,0.02,0.113,0.873,dsDNAphage,12089,0,57.9,5.3
Ettinger,Ettinger_c_000000022329,0.24,0.813,0.39,0.007,0.84,0.84,lavidaviridae,9023,0,12.5,0
Ettinger,Ettinger_c_000000022802,0.133,0.56,0.095,0.04,0.4,0.56,NCLDV,5995,0,25,0
Ettinger,Ettinger_c_000000023029,0.087,0.56,0.02,0,0.167,0.56,NCLDV,5769,0,16.7,0
Ettinger,Ettinger_c_000000024372,0.067,0.347,0.17,0,0.567,0.567,lavidaviridae,9154,0,16.7,0
Ettinger,Ettinger_c_000000024595,0.933,0.427,0.085,0.02,0.44,0.933,dsDNAphage,10716,1,30,0
Ettinger,Ettinger_c_000000025305,0.047,0.54,0,0.02,0,0.54,NCLDV,5805,0,12.5,0
Ettinger,Ettinger_c_000000027735,0.84,0.647,0,0,0.133,0.84,dsDNAphage,5931,1,28.6,14.3
Ettinger,Ettinger_c_000000029797,0.7,0.387,0.125,0.32,0.547,0.7,dsDNAphage,12047,0,50,0
Ettinger,Ettinger_c_000000029965,0.307,0.873,0.14,0.007,0.48,0.873,NCLDV,7580,0,20,0
Ettinger,Ettinger_c_000000030623,0.9,0.607,0.04,0.047,0.493,0.9,dsDNAphage,7832,1,40,10
