	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with host benefits	Viral genes with unknown function	Viral genes with viral benefits	Viral replication genes	Viral structure genes
k141_1032502__full-cat_2	2	False	False	9	4	1	False	0.4444444444444444	5	4.0	0.0	0.0	0.0	0.0
k141_1055400__full-cat_2	2	False	False	16	1	1	False	0.0625	13	1.0	1.0	1.0	0.0	0.0
k141_1057156__full-cat_2	2	False	False	4	0	0	False	0.0	3	0.0	1.0	0.0	0.0	0.0
k141_1067429__full-cat_2	2	False	False	11	1	0	False	0.09090909090909091	10	1.0	0.0	0.0	0.0	0.0
k141_1068923__full-cat_2	2	False	False	8	0	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_1075330__full-cat_2	2	False	False	6	4	0	False	0.0	5	0.0	1.0	0.0	0.0	0.0
k141_10754424__full-cat_2	2	False	False	4	1	0	False	0.25	1	2.0	0.0	0.0	1.0	0.0
k141_10774039__full-cat_2	2	False	False	4	1	0	False	0.0	3	0.0	0.0	0.0	1.0	0.0
k141_10780640__full-cat_2	2	False	False	21	0	0	False	0.0	20	0.0	1.0	0.0	0.0	0.0
k141_10782676__full-cat_2	2	False	False	4	0	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_10788626__full-cat_1	1	False	False	33	2	0	False	0.0	32	0.0	1.0	0.0	0.0	0.0
k141_10792354__full-cat_2	2	False	False	6	1	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_10792846__full-cat_2	2	False	False	11	0	0	False	0.0	9	0.0	2.0	0.0	0.0	0.0
k141_10808516__full-cat_2	2	False	False	15	5	0	False	0.0	13	1.0	1.0	0.0	0.0	0.0
k141_10810230__full-cat_2	2	False	False	5	0	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_10810998__full-cat_2	2	False	False	4	0	0	False	0.0	1	0.0	3.0	0.0	0.0	0.0
k141_10813173__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_10820733__full-cat_1	1	False	False	8	0	0	False	0.0	7	0.0	1.0	0.0	0.0	0.0
k141_10824274__full-cat_1	1	False	False	8	2	0	False	0.0	2	0.0	3.0	0.0	3.0	0.0
k141_10829160__full-cat_2	2	False	False	5	1	0	False	0.0	3	0.0	2.0	0.0	0.0	0.0
k141_10831299__full-cat_1	1	False	False	7	2	0	False	0.0	6	0.0	1.0	0.0	0.0	0.0
k141_10841466__full-cat_1	1	False	False	11	0	0	False	0.0	10	0.0	0.0	0.0	1.0	0.0
k141_10857404__full-cat_1	1	False	False	7	0	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_1086424__full-cat_2	2	False	False	22	0	0	False	0.045454545454545456	19	1.0	1.0	1.0	0.0	0.0
k141_10880135__full-cat_2	2	False	False	4	2	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_10888273__full-cat_2	2	False	False	8	2	0	True	0.0	7	0.0	1.0	0.0	0.0	0.0
k141_10890426__full-cat_2	2	False	False	24	1	0	False	0.0	23	0.0	0.0	0.0	1.0	0.0
k141_10906367__full-cat_1	1	False	False	37	0	0	False	0.02702702702702703	30	2.0	3.0	0.0	1.0	1.0
k141_10918399__full-cat_2	2	False	False	8	2	0	False	0.125	7	1.0	0.0	0.0	0.0	0.0
k141_10923543__full-cat_2	2	False	False	5	3	0	False	0.2	4	1.0	0.0	0.0	0.0	0.0
k141_10928172__full-cat_2	2	False	False	8	4	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_10954589__full-cat_2	2	False	False	7	1	0	True	0.0	6	0.0	0.0	0.0	1.0	0.0
k141_10963815__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	5	1.0	0.0	0.0	0.0	0.0
k141_10974636__full-cat_2	2	False	False	6	0	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_10984788__full-cat_2	2	False	False	26	1	0	False	0.0	24	0.0	2.0	0.0	0.0	0.0
k141_10988066__full-cat_2	2	False	False	3	0	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
k141_10998698__full-cat_2	2	False	False	3	0	0	False	0.0	2	0.0	1.0	0.0	0.0	0.0
k141_10999385__full-cat_2	2	False	False	15	5	0	False	0.06666666666666667	13	1.0	1.0	0.0	0.0	0.0
k141_11005069__full-cat_1	1	False	False	6	4	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_11010324__full-cat_2	2	False	False	4	1	0	False	0.0	3	0.0	1.0	0.0	0.0	0.0
k141_11019225__full-cat_1	1	False	False	10	1	0	False	0.0	9	0.0	1.0	0.0	0.0	0.0
k141_11022855__full-cat_2	2	False	False	26	0	0	False	0.11538461538461539	20	3.0	0.0	1.0	2.0	0.0
k141_1102770__full-cat_2	2	False	False	4	2	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_11035772__full-cat_1	1	False	False	8	0	0	False	0.0	5	0.0	0.0	1.0	2.0	0.0
k141_11036811__full-cat_2	2	False	False	15	1	0	False	0.0	15	0.0	0.0	0.0	0.0	0.0
k141_11048343__full-cat_2	2	False	False	6	1	0	False	0.0	5	0.0	1.0	0.0	0.0	0.0
k141_11053037__full-cat_1	1	False	False	15	1	0	False	0.0	15	0.0	0.0	0.0	0.0	0.0
k141_11054171__full-cat_1	1	False	False	9	1	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
k141_1105574__full-cat_2	2	False	False	5	4	0	False	0.2	4	1.0	0.0	0.0	0.0	0.0
k141_11056557__full-cat_2	2	False	False	10	4	0	False	0.0	10	0.0	0.0	0.0	0.0	0.0
k141_11066535__full-cat_2	2	False	False	11	1	2	False	0.18181818181818182	7	2.0	1.0	1.0	0.0	0.0
k141_11071054__full-cat_2	2	False	False	4	2	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_1107701__full-cat_1	1	False	False	16	0	0	False	0.0625	11	2.0	1.0	0.0	1.0	1.0
k141_1114799__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	5	1.0	0.0	0.0	0.0	0.0
k141_1117641__full-cat_2	2	False	False	8	4	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_1121096__full-cat_2	2	False	False	3	1	0	False	0.0	2	0.0	0.0	0.0	1.0	0.0
k141_1126861__full-cat_2	2	False	False	4	0	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_1138442__full-cat_2	2	False	False	5	2	1	False	0.0	3	0.0	1.0	0.0	1.0	0.0
k141_1144276__full-cat_2	2	False	False	12	4	0	False	0.0	12	0.0	0.0	0.0	0.0	0.0
k141_1156209__full-cat_2	2	False	False	5	2	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_1172225__full-cat_2	2	False	False	5	1	0	True	0.0	4	0.0	0.0	0.0	1.0	0.0
k141_1210394__full-cat_2	2	False	False	6	3	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_12138307__full-cat_2	2	False	False	9	0	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
k141_12141365__full-cat_2	2	False	False	8	1	0	False	0.0	7	1.0	0.0	0.0	0.0	0.0
k141_12142276__full-cat_2	2	False	False	4	1	0	False	0.0	3	0.0	0.0	0.0	1.0	0.0
k141_12146204__full-cat_2	2	False	False	17	2	0	False	0.0	17	0.0	0.0	0.0	0.0	0.0
k141_12148003__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	5	1.0	1.0	0.0	0.0	0.0
k141_12149327__full-cat_2	2	False	False	7	0	0	False	0.5714285714285714	3	4.0	0.0	0.0	0.0	0.0
k141_1215999__full-cat_2	2	False	False	8	0	3	False	0.375	5	3.0	0.0	0.0	0.0	0.0
k141_12170671__full-cat_2	2	False	False	4	1	0	False	0.25	3	1.0	0.0	0.0	0.0	0.0
k141_12185582__full-cat_1	1	False	False	9	2	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
k141_12185679__full-cat_2	2	False	False	8	4	0	False	0.0	7	0.0	0.0	1.0	0.0	0.0
k141_12197761__full-cat_2	2	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_12206716__full-cat_2	2	False	False	5	2	0	False	0.0	3	0.0	1.0	0.0	1.0	0.0
k141_12207880__full-cat_2	2	False	False	5	3	0	False	0.2	4	1.0	0.0	0.0	0.0	0.0
k141_12236180__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_12246840__full-cat_1	1	False	False	12	5	0	False	0.0	12	0.0	0.0	0.0	0.0	0.0
k141_12266595__full-cat_1	1	False	False	3	1	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
k141_12268739__full-cat_1	1	False	False	15	4	1	False	0.13333333333333333	11	2.0	1.0	0.0	1.0	0.0
k141_12278364__full-cat_2	2	False	False	5	1	0	False	0.2	4	1.0	0.0	0.0	0.0	0.0
k141_12280382__full-cat_2	2	False	False	17	0	2	False	0.17647058823529413	14	3.0	0.0	0.0	0.0	0.0
k141_12283599__full-cat_2	2	False	False	5	2	1	False	0.0	4	0.0	1.0	0.0	0.0	0.0
k141_12288634__full-cat_1	1	False	False	11	0	0	False	0.0	10	1.0	0.0	0.0	0.0	0.0
k141_12289344__full-cat_2	2	False	False	7	2	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_12295089__full-cat_2	2	False	False	9	2	0	False	0.0	8	0.0	1.0	0.0	0.0	0.0
k141_12295901__full-cat_2	2	False	False	14	8	0	False	0.07142857142857142	11	1.0	0.0	2.0	0.0	0.0
k141_12306868__full-cat_2	2	False	False	4	1	0	False	0.25	3	1.0	0.0	0.0	0.0	0.0
k141_12308523__full-cat_2	2	False	False	6	3	0	False	0.16666666666666666	5	1.0	0.0	0.0	0.0	0.0
k141_12313113__full-cat_1	1	False	False	11	0	0	False	0.0	9	0.0	2.0	0.0	0.0	0.0
k141_12327609__full-cat_2	2	False	False	7	6	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_12329647__full-cat_1	1	False	False	6	1	0	False	0.16666666666666666	5	1.0	0.0	0.0	0.0	0.0
k141_12343425__full-cat_1	1	False	False	12	0	0	False	0.08333333333333333	7	2.0	3.0	0.0	0.0	0.0
k141_1235606__full-cat_2	2	False	False	7	1	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_12358322__full-cat_2	2	False	False	16	3	0	False	0.0	16	0.0	0.0	0.0	0.0	0.0
k141_12360549__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	5	1.0	1.0	0.0	0.0	0.0
k141_12365008__full-cat_1	1	False	False	5	2	0	False	0.0	4	0.0	0.0	0.0	1.0	0.0
k141_12371845__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_12374964__full-cat_2	2	False	False	10	2	0	False	0.0	10	0.0	0.0	0.0	0.0	0.0
k141_12375404__full-cat_2	2	False	False	8	2	0	False	0.25	6	2.0	0.0	0.0	0.0	0.0
k141_12385335__full-cat_2	2	False	False	13	4	0	False	0.07692307692307693	12	1.0	0.0	0.0	0.0	0.0
k141_12391312__full-cat_2	2	False	False	6	2	0	False	0.0	5	0.0	1.0	0.0	0.0	0.0
k141_12396036__full-cat_2	2	False	False	4	2	0	False	0.0	3	0.0	1.0	0.0	0.0	0.0
k141_12405675__full-cat_1	1	False	False	11	0	0	False	0.0	9	0.0	2.0	0.0	0.0	0.0
k141_1244616__full-cat_1	1	False	False	7	0	0	False	0.0	4	0.0	1.0	0.0	2.0	0.0
k141_1244781__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_12456523__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_1251366__full-cat_2	2	False	False	20	8	0	False	0.0	17	0.0	3.0	0.0	0.0	0.0
k141_1253105__full-cat_2	2	False	False	4	0	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_1260840__full-cat_1	1	False	False	6	0	0	False	0.0	5	0.0	0.0	0.0	0.0	1.0
k141_1262132__full-cat_2	2	False	False	20	1	0	False	0.0	17	0.0	1.0	1.0	1.0	0.0
k141_1264138__full-cat_1	1	False	False	20	0	0	False	0.05	16	1.0	2.0	0.0	1.0	0.0
k141_1284093__full-cat_2	2	False	False	19	1	0	False	0.05263157894736842	17	1.0	1.0	0.0	0.0	0.0
k141_1296175__full-cat_2	2	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_1303940__full-cat_2	2	False	False	2	0	0	False	0.5	1	1.0	0.0	0.0	0.0	0.0
k141_1316432__full-cat_2	2	False	False	8	2	0	False	0.375	5	3.0	0.0	0.0	0.0	0.0
k141_1319159__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_1331629__full-cat_2	2	False	False	4	0	0	False	0.0	3	0.0	1.0	0.0	0.0	0.0
k141_13514404__full-cat_2	2	False	False	7	2	0	False	0.0	6	0.0	1.0	0.0	0.0	0.0
k141_13515392__full-cat_2	2	False	False	8	3	0	False	0.0	7	0.0	1.0	0.0	0.0	0.0
k141_13523740__full-cat_2	2	False	False	7	2	0	False	0.0	6	0.0	1.0	0.0	0.0	0.0
k141_13554239__full-cat_1	1	False	False	19	1	0	False	0.0	17	0.0	2.0	0.0	0.0	0.0
k141_13554738__full-cat_1	1	False	False	7	0	0	False	0.0	5	0.0	2.0	0.0	0.0	0.0
k141_13565095__full-cat_2	2	False	False	5	2	0	False	0.0	3	0.0	1.0	0.0	1.0	0.0
k141_13567459__full-cat_2	2	False	False	16	2	0	False	0.0	15	0.0	0.0	0.0	1.0	0.0
k141_13579229__full-cat_2	2	False	False	6	3	0	False	0.16666666666666666	4	1.0	0.0	0.0	1.0	0.0
k141_13584427__full-cat_2	2	False	False	6	2	0	False	0.0	5	0.0	1.0	0.0	0.0	0.0
k141_13585964__full-cat_2	2	False	False	3	1	0	False	0.0	2	0.0	0.0	0.0	1.0	0.0
k141_13591498__full-cat_1	1	False	False	14	0	0	False	0.0	12	0.0	1.0	1.0	0.0	0.0
k141_13597254__full-cat_1	1	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_13601803__full-cat_2	2	False	False	12	4	1	False	0.0	11	0.0	1.0	0.0	0.0	0.0
k141_13602204__full-cat_2	2	False	False	4	0	0	False	0.0	3	0.0	0.0	0.0	1.0	0.0
k141_13603013__full-cat_2	2	False	False	8	3	0	False	0.0	7	0.0	0.0	0.0	1.0	0.0
k141_13608119__full-cat_2	2	False	False	7	3	0	False	0.0	6	0.0	1.0	0.0	0.0	0.0
k141_13612111__full-cat_2	2	False	False	5	4	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_13617941__full-cat_2	2	False	False	5	2	0	False	0.2	4	1.0	0.0	0.0	0.0	0.0
k141_13620613__full-cat_1	1	False	False	13	0	0	False	0.0	13	0.0	0.0	0.0	0.0	0.0
k141_13627465__full-cat_2	2	False	False	7	4	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_13633574__full-cat_2	2	False	False	12	1	0	False	0.0	9	0.0	3.0	0.0	0.0	0.0
k141_13637655__full-cat_2	2	False	False	21	2	0	False	0.047619047619047616	16	1.0	4.0	0.0	0.0	0.0
k141_13654640__full-cat_2	2	False	False	13	0	0	False	0.07692307692307693	11	1.0	1.0	0.0	0.0	0.0
k141_13659185__full-cat_2	2	False	False	6	1	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_13665473__full-cat_2	2	False	False	8	1	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_13684088__full-cat_2	2	False	False	10	0	0	False	0.0	7	0.0	3.0	0.0	0.0	0.0
k141_13684859__full-cat_2	2	False	False	11	1	0	False	0.0	9	0.0	2.0	0.0	0.0	0.0
k141_13685454__full-cat_1	1	False	False	45	6	0	False	0.0	44	0.0	1.0	0.0	0.0	0.0
k141_13688667__full-cat_1	1	False	False	8	2	0	False	0.0	5	0.0	1.0	1.0	1.0	0.0
k141_13699532__full-cat_2	2	False	False	25	2	0	False	0.0	23	0.0	0.0	0.0	2.0	0.0
k141_13708442__full-cat_2	2	False	False	32	4	0	False	0.0625	28	2.0	1.0	1.0	0.0	0.0
k141_13716225__full-cat_2	2	False	False	6	1	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_13733028__full-cat_2	2	False	False	4	3	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_13743697__full-cat_2	2	False	False	6	2	1	False	0.0	5	0.0	1.0	0.0	0.0	0.0
k141_13768329__full-cat_1	1	False	False	6	0	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_13785040__full-cat_2	2	False	False	4	1	1	False	0.75	1	3.0	0.0	0.0	0.0	0.0
