	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with unknown function	Viral genes with host benefits	Viral genes with viral benefits	Viral structure genes	Viral replication genes
k141_100576__full-cat_1	1	False	False	7	1	2	False	0.0	5.0	2.0	0.0	0.0	0.0	0.0
k141_10323408__full-cat_1	1	False	False	64	22	0	False	0.0	64.0	0.0	0.0	0.0	0.0	0.0
k141_11114442__full-cat_2	2	False	False	3	1	0	False	0.3333333333333333	2.0	0.0	1.0	0.0	0.0	0.0
k141_11117103__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	5.0	0.0	1.0	0.0	0.0	0.0
k141_11118417__full-cat_2	2	False	False	6	4	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_11118918__full-cat_1	1	False	False	59	2	0	False	0.03389830508474576	38.0	13.0	6.0	1.0	1.0	0.0
k141_11136695__full-cat_1	1	False	False	9	0	0	False	0.0	6.0	0.0	2.0	0.0	1.0	0.0
k141_11137040__full-cat_2	2	False	False	9	4	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_11141342__full-cat_2	2	False	False	11	0	0	False	0.0	10.0	1.0	0.0	0.0	0.0	0.0
k141_11143509__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	5.0	0.0	1.0	0.0	0.0	0.0
k141_11144417__full-cat_2	2	False	False	6	0	0	False	0.0	5.0	0.0	0.0	1.0	0.0	0.0
k141_11144910__full-cat_1	1	False	False	37	4	0	False	0.02702702702702703	32.0	2.0	2.0	0.0	0.0	1.0
k141_11145661__full-cat_2	2	False	False	14	1	0	False	0.0	12.0	1.0	1.0	0.0	0.0	0.0
k141_11147946__full-cat_2	2	False	False	14	3	2	False	0.07142857142857142	13.0	0.0	1.0	0.0	0.0	0.0
k141_11148107__full-cat_1	1	False	False	8	1	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_11151347__full-cat_2	2	False	False	7	0	0	True	0.0	5.0	0.0	2.0	0.0	0.0	0.0
k141_11165166__full-cat_2	2	False	False	11	1	0	False	0.0	11.0	0.0	0.0	0.0	0.0	0.0
k141_11176173__full-cat_2	2	False	False	3	0	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_11192941__full-cat_2	2	False	False	8	1	0	False	0.0	7.0	1.0	0.0	0.0	0.0	0.0
k141_11206671__full-cat_2	2	False	False	7	4	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_11207542__full-cat_2	2	False	False	3	2	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_1120857__full-cat_1	1	False	False	63	2	1	False	0.0	49.0	8.0	3.0	0.0	3.0	0.0
k141_11213456__full-cat_2	2	False	False	5	2	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_11213900__full-cat_2	2	False	False	8	4	0	False	0.0	6.0	1.0	1.0	0.0	0.0	0.0
k141_11218315__full-cat_2	2	False	False	10	4	0	False	0.1	9.0	0.0	1.0	0.0	0.0	0.0
k141_11230136__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	6.0	0.0	1.0	0.0	0.0	0.0
k141_11239039__full-cat_2	2	False	False	6	4	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_11249193__full-cat_1	1	False	False	5	0	0	False	0.0	4.0	1.0	0.0	0.0	0.0	0.0
k141_11252658__full-cat_2	2	False	False	14	0	0	False	0.0	13.0	0.0	1.0	0.0	0.0	0.0
k141_11259885__full-cat_2	2	False	False	9	3	0	False	0.1111111111111111	8.0	0.0	1.0	0.0	0.0	0.0
k141_11263390__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_11267241__full-cat_1	1	False	False	6	0	0	False	0.16666666666666666	3.0	0.0	1.0	0.0	2.0	0.0
k141_11287248__full-cat_2	2	False	False	6	0	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_11292916__full-cat_2	2	False	False	8	0	0	False	0.875	1.0	0.0	7.0	0.0	0.0	0.0
k141_11297110__full-cat_2	2	False	False	5	0	0	False	0.0	4.0	0.0	1.0	0.0	0.0	0.0
k141_11343454__full-cat_1	1	False	False	7	0	0	False	0.0	3.0	4.0	0.0	0.0	0.0	0.0
k141_114506__full-cat_2	2	False	False	9	0	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_11531263__full-cat_2	2	False	False	9	2	0	True	0.0	7.0	0.0	2.0	0.0	0.0	0.0
k141_116501__full-cat_1	1	False	False	15	4	1	False	0.0	13.0	0.0	2.0	0.0	0.0	0.0
k141_117909__full-cat_1	1	False	False	107	10	1	False	0.028037383177570093	93.0	8.0	5.0	0.0	0.0	1.0
k141_11943889__full_1-cat_2	2	False	False	8	0	0	False	0.125	7.0	0.0	1.0	0.0	0.0	0.0
k141_1203409__full-cat_2	2	False	False	7	0	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_12289183__full-cat_1	1	False	False	100	4	0	False	0.02	86.0	10.0	4.0	0.0	0.0	0.0
k141_124308__full-cat_2	2	False	False	8	0	0	False	0.0	7.0	1.0	0.0	0.0	0.0	0.0
k141_124509__full-cat_2	2	False	False	15	0	1	False	0.06666666666666667	8.0	4.0	3.0	0.0	0.0	0.0
k141_12499368__full-cat_2	2	False	False	8	3	0	False	0.0	7.0	1.0	0.0	0.0	0.0	0.0
k141_12507281__full-cat_1	1	False	False	17	0	0	False	0.0	13.0	4.0	0.0	0.0	0.0	0.0
k141_12510056__full-cat_2	2	False	False	5	0	0	False	0.2	4.0	0.0	1.0	0.0	0.0	0.0
k141_12519058__full-cat_2	2	False	False	9	2	0	False	0.1111111111111111	8.0	0.0	1.0	0.0	0.0	0.0
k141_12525477__full-cat_2	2	False	False	3	0	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_12529538__full-cat_1	1	False	False	85	9	5	False	0.011764705882352941	75.0	7.0	2.0	0.0	0.0	1.0
