,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
0,AB002632,Unassigned,Unassigned,Unassigned,0_0,Clustered,3,VC_0_0,3,1.0,0.0,0.0,0,0,0,1.0
1,AB008550,Unassigned,Unassigned,Unassigned,2_0,Clustered,5,VC_2_0,5,0.1681,0.99999994,0.1681,0,0,0,1.0
2,AB009866,Unassigned,Unassigned,Unassigned,7_0,Clustered,29,VC_7_0,29,0.3942,1.0,0.3942,0,0,0,0.9951
3,AB012573,Unassigned,Unassigned,Unassigned,15_0,Clustered,12,VC_15_0,12,0.6275,1.0,0.6275,0,0,0,1.0
4,AB012574,Unassigned,Unassigned,Unassigned,15_0,Clustered,12,VC_15_0,12,0.6275,1.0,0.6275,0,0,0,1.0
5,AB016282,Unassigned,Unassigned,Unassigned,17_0,Clustered,4,VC_17_0,4,0.9402,0.9992781,0.9395,0,0,0,1.0
6,AB036666,Unassigned,Unassigned,Unassigned,22_0,Clustered,13,VC_22_0,13,0.5043,1.0,0.5043,0,0,0,1.0
7,AB043678,Unassigned,Unassigned,Unassigned,16_0,Clustered,9,VC_16_0,9,0.6963,1.0,0.6963,0,0,0,1.0
8,AB043679,Unassigned,Unassigned,Unassigned,16_0,Clustered,9,VC_16_0,9,0.6963,1.0,0.6963,0,0,0,1.0
9,AB044554,Unassigned,Unassigned,Unassigned,7_0,Clustered,29,VC_7_0,29,0.3942,1.0,0.3942,0,0,0,0.9951
10,AB045978,Unassigned,Unassigned,Unassigned,8_0,Clustered,69,VC_8_0,69,0.8286,1.0,0.8286,0,0,0,0.9275
11,AB063393,Unassigned,Unassigned,Unassigned,29_0,Clustered,2,VC_29_0,2,1.0,0.0,0.0,0,0,0,1.0
12,AB102868,Unassigned,Unassigned,Unassigned,30_1,Clustered,48,VC_30_1,48,0.6087,1.0,0.6087,0,0,0,0.9273
13,AB231700,Unassigned,Unassigned,Unassigned,41_0,Clustered,3,VC_41_0,3,1.0,0.0,0.0,0,0,0,1.0
14,AB243556,Unassigned,Unassigned,Unassigned,7_0,Clustered,29,VC_7_0,29,0.3942,1.0,0.3942,0,0,0,0.9951
15,AB259124,Unassigned,Unassigned,Unassigned,57_0,Clustered,7,VC_57_0,7,0.7128,1.0,0.7128,0,0,0,1.0
16,AB276040,Unassigned,Unassigned,Unassigned,1_0,Clustered,54,VC_1_0,54,0.8559,1.0,0.8559,0,0,0,1.0
17,AB334720,Unassigned,Unassigned,Unassigned,64_0,Clustered,12,VC_64_0,12,0.763,1.0,0.763,0,0,0,1.0
18,AB334721,Unassigned,Unassigned,Unassigned,64_0,Clustered,12,VC_64_0,12,0.763,1.0,0.763,0,0,0,1.0
19,AB362338,Unassigned,Unassigned,Unassigned,30_1,Clustered,48,VC_30_1,48,0.6087,1.0,0.6087,0,0,0,0.9273
20,AB366653,Unassigned,Unassigned,Unassigned,69_3,Clustered/Singleton,1,VC_69_3,1,0.0,0.0,0.0,0,0,0,1.0
21,AB370205,Unassigned,Unassigned,Unassigned,9_0,Clustered,39,VC_9_0,39,0.4935,1.0,0.4935,0,0,0,1.0
22,AB370268,Unassigned,Unassigned,Unassigned,11_0,Clustered,21,VC_11_0,21,0.2304,1.0,0.2304,0,0,0,0.9857
23,AB374228,Unassigned,Unassigned,Unassigned,5_0,Clustered,28,VC_5_0,28,0.9091,1.0,0.9091,0,0,0,1.0
24,AB426868,Unassigned,Unassigned,Unassigned,30_1,Clustered,48,VC_30_1,48,0.6087,1.0,0.6087,0,0,0,0.9273
25,AB451219,Unassigned,Unassigned,Unassigned,74_0,Clustered,24,VC_74_0,24,0.6354,1.0,0.6354,0,0,0,1.0
26,AB472900,Unassigned,Unassigned,Unassigned,80_0,Clustered,20,VC_80_0,20,0.9487,1.0,0.9487,0,0,0,1.0
27,AB560486,Unassigned,Unassigned,Unassigned,83_5,Clustered,56,VC_83_5,56,0.3332,1.0,0.3332,0,0,0,0.8052
28,AB572858,Unassigned,Unassigned,Unassigned,15_0,Clustered,12,VC_15_0,12,0.6275,1.0,0.6275,0,0,0,1.0
29,AB597179,Unassigned,Unassigned,Unassigned,89_0,Clustered,8,VC_89_0,8,0.7399,1.0,0.7399,0,0,0,1.0
30,AB609718,Unassigned,Unassigned,Unassigned,99_0,Clustered,24,VC_99_0,24,0.5987,1.0,0.5987,0,0,0,1.0
