	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral genes with host benefits	Viral hypothetical genes	Viral genes with unknown function	Viral genes with viral benefits	Viral replication genes	Viral structure genes
c_000000870917__full-cat_2	2	False	False	10	4	0	False	0.0	1.0	9.0	0.0	0.0	0.0	0.0
c_000000871092__full-cat_2	2	False	False	12	5	0	False	0.0	0.0	12.0	0.0	0.0	0.0	0.0
c_000000874756__full-cat_2	2	False	False	5	2	0	False	0.4	2.0	3.0	0.0	0.0	0.0	0.0
c_000000876584__full-cat_2	2	False	False	5	3	0	False	0.2	2.0	3.0	0.0	0.0	0.0	0.0
c_000000877441__full-cat_2	2	False	False	9	5	0	True	0.0	1.0	8.0	0.0	0.0	0.0	0.0
c_000000879277__full-cat_2	2	False	False	8	0	0	False	0.0	1.0	4.0	3.0	0.0	0.0	0.0
c_000000879995__full-cat_2	2	False	False	11	5	0	False	0.0	1.0	10.0	0.0	0.0	0.0	0.0
c_000000880372__full-cat_2	2	False	False	4	3	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000000880672__full-cat_2	2	False	False	7	1	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000000881149__full-cat_2	2	False	False	6	1	0	False	0.0	1.0	5.0	0.0	0.0	0.0	0.0
c_000000881350__full-cat_2	2	False	False	21	3	0	False	0.0	2.0	18.0	1.0	0.0	0.0	0.0
c_000000883789__full-cat_2	2	False	False	6	2	0	True	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000000884399__full-cat_2	2	False	False	5	3	0	False	0.0	1.0	4.0	0.0	0.0	0.0	0.0
c_000000885252__full-cat_2	2	False	False	15	7	0	False	0.0	0.0	15.0	0.0	0.0	0.0	0.0
c_000000887611__full-cat_2	2	False	False	9	2	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000000888903__full-cat_1	1	False	False	7	0	0	False	0.0	0.0	6.0	1.0	0.0	0.0	0.0
c_000000890743__full-cat_2	2	False	False	2	1	0	False	0.0	0.0	2.0	0.0	0.0	0.0	0.0
c_000000891388__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	1.0	5.0	0.0	0.0	0.0	0.0
c_000000891515__full-cat_2	2	False	False	4	0	0	False	0.0	1.0	3.0	0.0	0.0	0.0	0.0
c_000000891962__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000000893520__full-cat_2	2	False	False	5	3	0	False	0.0	0.0	4.0	1.0	0.0	0.0	0.0
c_000000893975__full-cat_2	2	False	False	4	0	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000000894037__full-cat_2	2	False	False	8	5	1	True	0.125	2.0	5.0	0.0	1.0	0.0	0.0
c_000000899080__full-cat_2	2	False	False	4	2	0	False	0.25	1.0	3.0	0.0	0.0	0.0	0.0
c_000000899086__full-cat_2	2	False	False	5	1	0	True	0.4	2.0	3.0	0.0	0.0	0.0	0.0
c_000000900693__full-cat_2	2	False	False	3	0	0	False	0.0	1.0	2.0	0.0	0.0	0.0	0.0
c_000000902193__full-cat_2	2	False	False	8	3	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000000902265__full-cat_2	2	False	False	7	0	0	True	0.0	2.0	5.0	0.0	0.0	0.0	0.0
c_000000904533__full-cat_2	2	False	False	8	3	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000000904706__full-cat_2	2	False	False	7	4	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000000906809__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000000909368__full-cat_1	1	False	False	11	2	0	False	0.0	0.0	10.0	1.0	0.0	0.0	0.0
c_000000909369__full-cat_2	2	False	False	7	3	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000000913234__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000000914048__full-cat_2	2	False	False	8	0	0	False	0.0	1.0	5.0	1.0	1.0	0.0	0.0
c_000000914875__full-cat_2	2	False	False	11	4	0	True	0.0	0.0	11.0	0.0	0.0	0.0	0.0
c_000000915812__full-cat_2	2	False	False	6	5	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000000918284__full-cat_1	1	False	False	6	0	0	False	0.0	0.0	5.0	1.0	0.0	0.0	0.0
c_000000920334__full-cat_2	2	False	False	15	0	0	False	0.13333333333333333	2.0	13.0	0.0	0.0	0.0	0.0
c_000000922921__full-cat_2	2	False	False	10	3	0	False	0.0	0.0	10.0	0.0	0.0	0.0	0.0
c_000000923424__full-cat_2	2	False	False	10	0	0	False	0.0	0.0	10.0	0.0	0.0	0.0	0.0
c_000000924406__full-cat_2	2	False	False	10	4	0	False	0.0	0.0	10.0	0.0	0.0	0.0	0.0
c_000000926359__full-cat_2	2	False	False	7	2	0	False	0.0	0.0	6.0	1.0	0.0	0.0	0.0
c_000000926448__full-cat_2	2	False	False	11	0	0	False	0.09090909090909091	1.0	9.0	1.0	0.0	0.0	0.0
c_000000926521__full-cat_2	2	False	False	6	3	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000000929045__full-cat_2	2	False	False	12	4	1	False	0.0	0.0	12.0	0.0	0.0	0.0	0.0
c_000000929280__full-cat_2	2	False	False	10	3	1	False	0.0	0.0	10.0	0.0	0.0	0.0	0.0
c_000000931105__full-cat_1	1	False	False	11	3	0	False	0.0	0.0	11.0	0.0	0.0	0.0	0.0
c_000000932940__full-cat_2	2	False	False	7	2	0	False	0.0	1.0	6.0	0.0	0.0	0.0	0.0
c_000000933955__full-cat_2	2	False	False	7	3	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000000934124__full-cat_2	2	False	False	3	1	0	False	0.3333333333333333	1.0	2.0	0.0	0.0	0.0	0.0
c_000000934608__full-cat_2	2	False	False	2	1	0	False	0.0	0.0	2.0	0.0	0.0	0.0	0.0
c_000000934628__full-cat_2	2	False	False	7	5	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000000934908__full-cat_2	2	False	False	8	2	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000000935562__full-cat_2	2	False	False	6	1	0	False	0.0	0.0	4.0	2.0	0.0	0.0	0.0
c_000000938254__full-cat_2	2	False	False	8	3	0	False	0.0	0.0	7.0	0.0	0.0	1.0	0.0
c_000000938847__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	4.0	1.0	0.0	0.0	0.0
c_000000939465__full-cat_2	2	False	False	10	8	0	False	0.0	0.0	9.0	1.0	0.0	0.0	0.0
c_000000939494__full-cat_2	2	False	False	27	1	0	False	0.0	0.0	24.0	3.0	0.0	0.0	0.0
c_000000940267__full-cat_1	1	False	False	33	2	0	False	0.0	4.0	26.0	2.0	1.0	0.0	0.0
c_000000941571__full-cat_2	2	False	False	7	3	0	False	0.0	0.0	6.0	1.0	0.0	0.0	0.0
c_000000941659__full-cat_2	2	False	False	7	4	0	True	0.0	1.0	6.0	0.0	0.0	0.0	0.0
