	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with unknown function	Viral replication genes	Viral genes with host benefits	Viral structure genes	Viral genes with viral benefits
k141_1001008__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1002906__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_1007961__full-cat_2	2	False	False	9	3	0	False	0.0	8.0	1.0	0.0	0.0	0.0	0.0
k141_1011953__full-cat_2	2	False	False	6	2	0	True	0.0	3.0	0.0	3.0	0.0	0.0	0.0
k141_1028250__full-cat_2	2	False	False	10	1	0	False	0.0	7.0	3.0	0.0	0.0	0.0	0.0
k141_1029481__full-cat_2	2	False	False	6	0	0	False	0.0	5.0	0.0	1.0	0.0	0.0	0.0
k141_1035534__full-cat_2	2	False	False	6	3	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_1044286__full-cat_2	2	False	False	2	0	0	False	0.0	1.0	0.0	1.0	0.0	0.0	0.0
k141_1044979__full-cat_2	2	False	False	7	3	0	False	0.14285714285714285	6.0	0.0	0.0	1.0	0.0	0.0
k141_1049091__full-cat_2	2	False	False	6	1	0	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
k141_1051423__full-cat_2	2	False	False	4	0	0	False	0.0	3.0	0.0	1.0	0.0	0.0	0.0
k141_1057706__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	5.0	0.0	0.0	1.0	0.0	0.0
k141_1058746__full-cat_2	2	False	False	6	1	0	False	0.0	4.0	2.0	0.0	0.0	0.0	0.0
k141_106453__full-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_1065816__full-cat_2	2	False	False	14	2	0	False	0.0	13.0	1.0	0.0	0.0	0.0	0.0
k141_1068432__full-cat_2	2	False	False	3	2	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_1090547__full-cat_2	2	False	False	7	2	0	True	0.0	5.0	0.0	2.0	0.0	0.0	0.0
k141_1093193__full-cat_2	2	False	False	10	3	0	True	0.0	10.0	0.0	0.0	0.0	0.0	0.0
k141_1102210__full-cat_1	1	False	False	9	0	0	False	0.0	8.0	0.0	1.0	0.0	0.0	0.0
k141_1105015__full-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_1106625__full-cat_2	2	False	False	4	1	0	False	0.0	3.0	0.0	1.0	0.0	0.0	0.0
