	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with unknown function	Viral replication genes	Viral genes with host benefits	Viral genes with viral benefits	Viral structure genes
k141_10162722__full-cat_1	1	False	False	11	0	0	False	0.0	8	2.0	1.0	0.0	0.0	0.0
k141_10171734__full-cat_2	2	False	False	8	2	1	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_10180763__full-cat_2	2	False	False	4	1	1	False	0.0	3	1.0	0.0	0.0	0.0	0.0
k141_10180770__full-cat_2	2	False	False	8	1	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_10184815__full-cat_2	2	False	False	9	1	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
k141_10184963__full-cat_1	1	False	False	11	3	0	False	0.09090909090909091	9	1.0	0.0	1.0	0.0	0.0
k141_10187866__full-cat_2	2	False	False	7	3	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_10191201__full-cat_2	2	False	False	5	2	0	False	0.2	3	0.0	0.0	2.0	0.0	0.0
k141_10193280__full-cat_1	1	False	False	12	1	0	False	0.08333333333333333	9	1.0	0.0	2.0	0.0	0.0
k141_10195485__full-cat_2	2	False	False	6	4	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_10201696__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_10202534__full-cat_2	2	False	False	10	5	0	True	0.0	8	0.0	0.0	2.0	0.0	0.0
k141_10207490__full-cat_2	2	False	False	8	2	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_10211921__full-cat_2	2	False	False	9	3	1	False	0.0	9	0.0	0.0	0.0	0.0	0.0
k141_10214985__full-cat_2	2	False	False	4	2	0	False	0.25	1	1.0	0.0	2.0	0.0	0.0
k141_10221440__full-cat_2	2	False	False	5	3	0	False	0.2	4	0.0	0.0	1.0	0.0	0.0
k141_10222829__full-cat_1	1	False	False	86	7	0	False	0.023255813953488372	78	3.0	2.0	3.0	0.0	0.0
k141_10223220__full-cat_2	2	False	False	11	4	0	False	0.0	9	2.0	0.0	0.0	0.0	0.0
k141_10225384__full-cat_2	2	False	False	5	0	0	True	0.0	2	0.0	0.0	3.0	0.0	0.0
k141_10237969__full-cat_1	1	False	False	6	0	0	False	0.0	5	0.0	0.0	1.0	0.0	0.0
k141_10238254__full-cat_2	2	False	False	5	2	0	False	0.0	4	1.0	0.0	0.0	0.0	0.0
