Genome,VIRSorter category,Circular,Prophage,Gene count,Strand switches,potential AMG count,Transposase present,Possible Non-Viral Contig,Viral hypothetical genes,Viral genes with host benefits,Viral genes with unknown function,Viral replication genes,Viral genes with viral benefits,Viral structure genes
Ettinger_c_000000000521,2,FALSE,FALSE,5,0,0,FALSE,0.4,3,2,0,0,0,0
Ettinger_c_000000003380,2,FALSE,FALSE,7,3,0,FALSE,0,7,0,0,0,0,0
Ettinger_c_000000006091,2,FALSE,FALSE,10,0,0,FALSE,0,10,0,0,0,0,0
Ettinger_c_000000006541,2,FALSE,FALSE,3,1,0,FALSE,0,3,0,0,0,0,0
Ettinger_c_000000008518,1,FALSE,FALSE,21,9,0,FALSE,0.09523809523809525,19,2,0,0,0,0
Ettinger_c_000000009194,2,FALSE,FALSE,11,4,2,FALSE,0.18181818181818185,9,2,0,0,0,0
Ettinger_c_000000009293,2,FALSE,FALSE,5,1,0,FALSE,0.2,4,1,0,0,0,0
Ettinger_c_000000009324,2,FALSE,FALSE,9,0,0,FALSE,0,8,0,1,0,0,0
Ettinger_c_000000009438,2,FALSE,FALSE,7,2,0,FALSE,0,7,0,0,0,0,0
Ettinger_c_000000012432,1,FALSE,FALSE,10,3,2,FALSE,0,10,0,0,0,0,0
Ettinger_c_000000012667,2,FALSE,FALSE,23,2,0,FALSE,0,20,0,3,0,0,0
Ettinger_c_000000013063,2,FALSE,FALSE,9,3,0,TRUE,0.1111111111111111,7,2,0,0,0,0
Ettinger_c_000000016440,1,FALSE,FALSE,10,2,1,FALSE,0,9,0,1,0,0,0
Ettinger_c_000000017201,2,FALSE,FALSE,14,2,0,FALSE,0.07142857142857142,12,2,0,0,0,0
Ettinger_c_000000021360,2,FALSE,FALSE,19,1,0,FALSE,0.10526315789473684,11,2,6,0,0,0
Ettinger_c_000000022329,2,FALSE,FALSE,8,4,0,FALSE,0,7,0,1,0,0,0
Ettinger_c_000000022802,2,FALSE,FALSE,4,2,0,FALSE,0,3,0,1,0,0,0
Ettinger_c_000000023029,2,FALSE,FALSE,6,3,0,FALSE,0,5,0,1,0,0,0
Ettinger_c_000000024372,2,FALSE,FALSE,6,1,0,FALSE,0,6,0,0,0,0,0
Ettinger_c_000000024595,1,FALSE,FALSE,10,1,1,FALSE,0.1,8,1,1,0,0,0
Ettinger_c_000000025305,2,FALSE,FALSE,9,0,0,FALSE,0,9,0,0,0,0,0
Ettinger_c_000000027735,1,FALSE,FALSE,7,2,1,TRUE,0.14285714285714285,6,1,0,0,0,0
Ettinger_c_000000029797,2,FALSE,FALSE,6,1,0,FALSE,0,6,0,0,0,0,0
Ettinger_c_000000029965,2,FALSE,FALSE,6,2,0,FALSE,0,6,0,0,0,0,0
Ettinger_c_000000030623,1,FALSE,FALSE,10,4,0,FALSE,0,8,0,1,1,0,0
Ettinger_c_000000031835,2,FALSE,FALSE,6,1,0,FALSE,0,2,1,2,0,1,0
Ettinger_c_000000032738,2,FALSE,FALSE,9,0,0,FALSE,0,9,0,0,0,0,0
Ettinger_c_000000033367,2,FALSE,FALSE,7,1,0,FALSE,0.14285714285714285,5,1,1,0,0,0
Ettinger_c_000000033761,1,FALSE,FALSE,7,3,0,FALSE,0.14285714285714285,6,1,0,0,0,0
Ettinger_c_000000034469,2,FALSE,FALSE,16,6,2,FALSE,0.125,14,2,0,0,0,0
Ettinger_c_000000036284,2,FALSE,FALSE,4,1,0,FALSE,0,3,1,0,0,0,0
Ettinger_c_000000036570,2,FALSE,FALSE,7,3,0,FALSE,0,7,0,0,0,0,0
Ettinger_c_000000038187,2,FALSE,FALSE,7,1,0,FALSE,0,7,0,0,0,0,0
Ettinger_c_000000039684,2,FALSE,FALSE,6,1,0,FALSE,0,6,0,0,0,0,0
Ettinger_c_000000039909,1,FALSE,FALSE,18,0,0,FALSE,0.05555555555555555,12,2,4,0,0,0
Ettinger_c_000000043415,2,FALSE,FALSE,11,1,0,FALSE,0.09090909090909093,10,1,0,0,0,0
Ettinger_c_000000044829,2,FALSE,FALSE,15,3,0,FALSE,0,9,1,3,1,1,0
Ettinger_c_000000046106,2,FALSE,FALSE,2,1,0,FALSE,0,1,1,0,0,0,0
