	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral genes with host benefits	Viral hypothetical genes	Viral genes with unknown function	Viral replication genes	Viral structure genes	Viral genes with viral benefits
k141_10070060__full-cat_2	2	False	False	10	0	0	False	0.1	1.0	9	0.0	0.0	0.0	0.0
k141_10082613__full-cat_2	2	False	False	7	1	0	False	0.0	0.0	7	0.0	0.0	0.0	0.0
k141_10088253__full-cat_2	2	False	False	6	1	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_10127378__full-cat_2	2	False	False	9	3	0	False	0.0	0.0	8	1.0	0.0	0.0	0.0
k141_10146311__full-cat_2	2	False	False	7	3	0	False	0.0	0.0	6	0.0	1.0	0.0	0.0
k141_10152728__full-cat_2	2	False	False	6	0	1	False	0.3333333333333333	2.0	4	0.0	0.0	0.0	0.0
k141_10172682__full-cat_2	2	False	False	8	2	0	True	0.125	1.0	6	0.0	1.0	0.0	0.0
k141_10202750__full-cat_2	2	False	False	6	0	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_10218566__full-cat_2	2	False	False	11	1	0	False	0.0	0.0	11	0.0	0.0	0.0	0.0
k141_10222209__full-cat_1	1	False	False	9	0	0	False	0.0	0.0	7	1.0	0.0	1.0	0.0
k141_10234261__full-cat_1	1	False	False	14	1	0	False	0.0	0.0	14	0.0	0.0	0.0	0.0
k141_10241732__full-cat_2	2	False	False	4	0	0	False	0.0	0.0	4	0.0	0.0	0.0	0.0
k141_10293180__full-cat_1	1	False	False	11	0	1	False	0.0	0.0	6	3.0	1.0	0.0	1.0
k141_1054098__full-cat_1	1	False	False	38	2	0	False	0.0	0.0	25	9.0	3.0	0.0	1.0
k141_1059824__full-cat_1	1	False	False	10	0	0	False	0.0	0.0	9	1.0	0.0	0.0	0.0
k141_1063207__full-cat_1	1	False	False	12	0	0	False	0.0	0.0	11	1.0	0.0	0.0	0.0
k141_1071281__full-cat_2	2	False	False	21	0	0	False	0.0	0.0	21	0.0	0.0	0.0	0.0
k141_1075044__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	3	0.0	2.0	0.0	0.0
k141_1079511__full-cat_2	2	False	False	38	0	1	False	0.02631578947368421	1.0	37	0.0	0.0	0.0	0.0
k141_11136186__full-cat_1	1	False	False	8	0	0	False	0.0	0.0	5	1.0	1.0	0.0	1.0
k141_11154371__full-cat_1	1	False	False	14	0	0	False	0.0	0.0	10	3.0	0.0	1.0	0.0
k141_11192348__full-cat_1	1	False	False	6	0	0	False	0.16666666666666666	1.0	5	0.0	0.0	0.0	0.0
k141_11200587__full-cat_1	1	False	False	11	1	0	False	0.0	0.0	11	0.0	0.0	0.0	0.0
k141_11218813__full-cat_2	2	False	False	15	0	0	False	0.0	0.0	13	2.0	0.0	0.0	0.0
k141_11238029__full-cat_1	1	False	False	15	2	0	False	0.0	0.0	13	0.0	1.0	0.0	1.0
k141_11281900__full-cat_1	1	False	False	6	0	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_11333766__full-cat_2	2	False	False	6	2	0	False	0.3333333333333333	2.0	3	0.0	1.0	0.0	0.0
k141_11345840__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	4	1.0	0.0	0.0	0.0
k141_11348091__full-cat_2	2	False	False	11	7	0	False	0.0	0.0	10	0.0	1.0	0.0	0.0
