	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with unknown function	Viral structure genes	Viral replication genes	Viral genes with host benefits	Viral genes with viral benefits
k141_10842210__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k141_11083062__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_11096082__full-cat_2	2	False	False	3	0	0	False	0.0	2.0	1.0	0.0	0.0	0.0	0.0
k141_11100221__full-cat_2	2	False	False	10	1	0	False	0.0	9.0	1.0	0.0	0.0	0.0	0.0
k141_11107830__full-cat_2	2	False	False	6	3	0	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
k141_12469489__full-cat_1	1	False	False	7	0	0	False	0.0	4.0	0.0	2.0	1.0	0.0	0.0
k141_12475308__full-cat_2	2	False	False	9	4	0	False	0.0	8.0	0.0	1.0	0.0	0.0	0.0
k141_12477305__full-cat_1	1	False	False	11	1	0	False	0.0	9.0	1.0	1.0	0.0	0.0	0.0
k141_12498061__full-cat_2	2	False	False	8	0	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_12804672__lt2gene-cat_1	1	False	False	2	0	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
k141_1339780__full-cat_1	1	False	False	10	1	2	False	0.4	6.0	0.0	0.0	0.0	4.0	0.0
k141_1344044__full-cat_2	2	False	False	7	1	1	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_1354221__full-cat_2	2	False	False	12	4	0	False	0.08333333333333333	11.0	0.0	0.0	0.0	1.0	0.0
k141_13824039__full-cat_1	1	False	False	10	0	0	False	0.0	9.0	1.0	0.0	0.0	0.0	0.0
k141_13825269__full-cat_1	1	False	False	26	4	0	False	0.0	23.0	1.0	0.0	1.0	0.0	1.0
k141_13842626__full-cat_2	2	False	False	8	2	0	False	0.125	7.0	0.0	0.0	0.0	1.0	0.0
k141_13845014__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_13853225__full-cat_2	2	False	False	6	0	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_13854013__full-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
