Genome,VC.Status,Realm,Kingdom,Phylum,Class,Order,Family,VC
Crump_k141_191974,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,792_0
Cucio_k119_105986,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,793_0
Cucio_k119_23695,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,544_0
Cucio_k119_325786,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,795_0
Cucio_k119_457602,Clustered,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polintoviricetes,Orthopolintovirales,Adintoviridae,796_0
Cucio_k119_47432,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,798_0
Cucio_k119_495600,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,799_0
Cucio_k119_519156,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,801_0
Cucio_k119_522451,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,794_0
Cucio_k119_543798,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,546_0
Cucio_k119_65072,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,545_0
Cucio_k119_666292,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,547_0
Cucio_k119_97593,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,807_0
Ettinger_c_000000024595,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,911_0
Ettinger_c_000000064377,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,916_0
Ettinger_c_000000072374,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000000081015,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,922_0
Ettinger_c_000000089825,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000000114528,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,928_0
Ettinger_c_000000127381,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,931_0
Ettinger_c_000000142548,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,936_0
Ettinger_c_000000143671,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,937_0
Ettinger_c_000000145358,Clustered,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,938_0
Ettinger_c_000000154804,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,925_0
Ettinger_c_000000159889,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Schitoviridae,Unclassified,942_0
Ettinger_c_000000176917,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Unclassified,949_0
Ettinger_c_000000184070,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,951_0
Ettinger_c_000000187590,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,952_0
Ettinger_c_000000266345,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,954_0
Ettinger_c_000000279667,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,956_0
Ettinger_c_000000295593,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000000296404,Clustered,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,960_0
Ettinger_c_000000304575,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,963_0
Ettinger_c_000000307956,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,965_0
Ettinger_c_000000326398,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000000332528,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,966_0
Ettinger_c_000000336299,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000000345360,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,926_0
Ettinger_c_000000352373,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,937_0
Ettinger_c_000000371252,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,970_0
Ettinger_c_000000372429,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000000372931,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,971_0
Ettinger_c_000000380791,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,972_0
Ettinger_c_000000390487,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000000410655,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,794_0
