seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
k141_349698||full	1.000	0.540	0.120	0.120	0.187	1.000	dsDNAphage	18949	4	34.400	0.000
k141_805084||full	0.987	0.793	0.190	0.453	0.827	0.987	dsDNAphage	11425	3	57.100	0.000
k141_1094163||full	0.953	0.727	0.005	0.000	0.320	0.953	dsDNAphage	13059	1	27.300	9.100
k141_233168||full	0.993	0.360	0.080	0.807	0.513	0.993	dsDNAphage	4930	3	42.900	0.000
k141_463246||full	0.747	0.100	0.335	0.113	0.233	0.747	dsDNAphage	15915	0	21.700	0.000
k141_1268312||full	0.840	0.373	0.210	0.860	0.860	0.860	ssDNA	4323	0	75.000	0.000
k141_1154465||full	0.993	0.360	0.050	0.320	0.527	0.993	dsDNAphage	7170	1	41.700	0.000
k141_982436||full	0.433	0.673	0.235	0.040	0.807	0.807	lavidaviridae	6476	0	33.300	0.000
k141_293064||full	0.980	0.460	0.165	0.187	0.820	0.980	dsDNAphage	13932	3	62.500	0.000
k141_178383||full	1.000	0.393	0.110	0.660	0.553	1.000	dsDNAphage	8684	3	40.000	0.000
k141_8300||full	0.573	0.200	0.005	0.020	0.107	0.573	dsDNAphage	7349	0	80.000	20.000
k141_468526||full	1.000	0.200	0.055	0.020	0.273	1.000	dsDNAphage	14167	1	22.200	0.000
k141_698888||full	0.293	0.607	0.105	0.013	0.180	0.607	NCLDV	6809	0	25.000	0.000
k141_1274431||full	0.900	0.593	0.105	0.593	0.447	0.900	dsDNAphage	4822	0	81.200	0.000
k141_356690||full	0.300	0.820	0.075	0.047	0.473	0.820	NCLDV	5541	0	50.000	0.000
k141_1218948||full	0.920	0.127	0.510	0.707	0.367	0.920	dsDNAphage	6881	0	18.200	0.000
k141_529814||full	0.380	0.740	0.130	0.080	0.113	0.740	NCLDV	6017	0	50.000	0.000
k141_587614||full	0.160	0.747	0.215	0.007	0.807	0.807	lavidaviridae	6753	0	12.500	0.000
k141_990913||full	0.853	0.173	0.010	0.007	0.360	0.853	dsDNAphage	6646	1	28.600	14.300
k141_934146||full	0.513	0.433	0.390	0.873	0.813	0.873	ssDNA	5116	0	66.700	0.000
k141_1049466||full	1.000	0.240	0.020	0.200	0.407	1.000	dsDNAphage	27920	5	54.500	0.000
k141_1337731||full	0.313	0.653	0.050	0.080	0.440	0.653	NCLDV	9365	0	50.000	0.000
k141_476164||full	0.533	0.540	0.850	0.027	0.793	0.850	RNA	5120	0	20.000	0.000
k141_591966||full	0.927	0.433	0.090	0.080	0.273	0.927	dsDNAphage	13788	0	15.800	0.000
k141_536994||full	0.940	0.227	0.055	0.240	0.120	0.940	dsDNAphage	9126	0	31.200	0.000
k141_76914||full	0.673	0.240	0.800	0.540	0.787	0.800	RNA	5080	0	33.300	0.000
k141_479511||full	0.900	0.247	0.180	0.640	0.613	0.900	dsDNAphage	9166	0	35.700	0.000
k141_78218||full	1.000	0.660	0.245	0.320	0.713	1.000	dsDNAphage	6271	2	25.000	0.000
k141_711490||full	0.927	0.547	0.510	0.160	0.280	0.927	dsDNAphage	13385	0	10.000	0.000
k141_309992||full	0.880	0.633	0.470	0.200	0.480	0.880	dsDNAphage	8306	0	16.700	0.000
k141_597574||full	0.080	0.880	0.045	0.000	0.180	0.880	NCLDV	8134	0	16.700	0.000
k141_1350193||full	0.947	0.233	0.425	0.167	0.047	0.947	dsDNAphage	14721	0	7.700	0.000
k141_487540||full	0.187	0.860	0.170	0.000	0.547	0.860	NCLDV	4982	0	20.000	0.000
k141_433013||full	0.533	0.120	0.005	0.087	0.187	0.533	dsDNAphage	5628	0	83.300	16.700
k141_89294||full	0.807	0.180	0.400	0.087	0.280	0.807	dsDNAphage	7126	0	11.100	0.000
k141_148238||full	1.000	0.453	0.270	0.167	0.407	1.000	dsDNAphage	11275	4	50.000	0.000
k141_492795||full	1.000	0.300	0.120	0.080	0.527	1.000	dsDNAphage	15630	1	50.000	0.000
k141_951931||full	0.907	0.500	0.145	0.153	0.387	0.907	dsDNAphage	15483	0	25.000	0.000
k141_492976||full	1.000	0.267	0.295	0.533	0.833	1.000	dsDNAphage	5783	3	60.000	0.000
k141_92593||full	0.500	0.487	0.170	0.153	0.227	0.500	dsDNAphage	5033	0	42.900	0.000
k141_787347||full	0.027	0.533	0.000	0.000	0.000	0.533	NCLDV	13083	0	18.200	9.100
k141_904341||full	0.860	0.307	0.125	0.733	0.413	0.860	dsDNAphage	5006	0	85.700	0.000
k141_962801||full	0.980	0.547	0.700	0.560	0.873	0.980	dsDNAphage	5589	1	33.300	0.000
k141_563241||full	0.233	0.533	0.000	0.000	0.007	0.533	NCLDV	6112	0	33.300	16.700
k141_621321||full	0.580	0.093	0.000	0.000	0.013	0.580	dsDNAphage	8639	1	16.700	8.300
k141_223842||full	1.000	0.213	0.140	0.513	0.567	1.000	dsDNAphage	5524	2	62.500	0.000
k141_284229||full	0.607	0.153	0.590	0.240	0.673	0.673	lavidaviridae	5826	0	14.300	0.000
k141_801534||full	0.140	0.507	0.020	0.007	0.173	0.507	NCLDV	6429	0	33.300	0.000
k141_516463||full	0.107	0.607	0.135	0.007	0.367	0.607	NCLDV	8212	0	20.000	0.000
k141_574691||full	0.320	nan	0.430	0.613	0.613	0.613	ssDNA	5964	0	50.000	0.000
k141_1149105||full	0.160	0.847	0.095	0.007	0.300	0.847	NCLDV	5019	0	20.000	0.000
k141_804321||full	1.000	0.240	0.330	0.547	0.767	1.000	dsDNAphage	6157	1	57.100	0.000
