genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
SoginMETA_k141_9635687.fa,1_0,0.050000000000000044,single,ANImf,1
SoginMETA_k141_9824892.fa,2_0,0.050000000000000044,single,ANImf,2
SoginMETA_k141_6121027.fa,3_0,0.050000000000000044,single,ANImf,3
SoginMETA_k141_8336557.fa,4_0,0.050000000000000044,single,ANImf,4
SoginMETA_k141_4143503.fa,5_0,0.050000000000000044,single,ANImf,5
SoginMETA_k141_4589762.fa,6_0,0.050000000000000044,single,ANImf,6
SoginMETA_k141_3780219.fa,7_0,0.050000000000000044,single,ANImf,7
SoginMETA_k141_5356490.fa,8_0,0.050000000000000044,single,ANImf,8
SoginMETA_k141_31342359.fa,9_0,0.050000000000000044,single,ANImf,9
SoginMETA_k141_9012182.fa,10_0,0.050000000000000044,single,ANImf,10
SoginMETA_k141_30785444.fa,11_0,0.050000000000000044,single,ANImf,11
SoginMETA_k141_31904783.fa,12_0,0.050000000000000044,single,ANImf,12
SoginMETA_k141_29080753.fa,13_0,0.050000000000000044,single,ANImf,13
SoginMETA_k141_7219347.fa,14_0,0.050000000000000044,single,ANImf,14
SoginMETA_k141_27415366.fa,15_0,0.050000000000000044,single,ANImf,15
SoginMETA_k141_5545311.fa,16_0,0.050000000000000044,single,ANImf,16
SoginMETA_k141_2666160.fa,17_0,0.050000000000000044,single,ANImf,17
SoginMETA_k141_27835252.fa,18_0,0.050000000000000044,single,ANImf,18
SoginMETA_k141_26515879.fa,19_0,0.050000000000000044,single,ANImf,19
SoginMETA_k141_2946709.fa,20_0,0.050000000000000044,single,ANImf,20
SoginMETA_k141_7188645.fa,21_0,0.050000000000000044,single,ANImf,21
SoginMETA_k141_26305522.fa,22_0,0.050000000000000044,single,ANImf,22
SoginMETA_k141_602713.fa,23_0,0.050000000000000044,single,ANImf,23
SoginMETA_k141_26089208.fa,24_0,0.050000000000000044,single,ANImf,24
SoginMETA_k141_31271217.fa,25_0,0.050000000000000044,single,ANImf,25
SoginMETA_k141_9721160.fa,26_0,0.050000000000000044,single,ANImf,26
SoginMETA_k141_24997474.fa,27_0,0.050000000000000044,single,ANImf,27
SoginMETA_k141_29204537.fa,28_0,0.050000000000000044,single,ANImf,28
SoginMETA_k141_24366213.fa,29_0,0.050000000000000044,single,ANImf,29
SoginMETA_k141_26697379.fa,30_0,0.050000000000000044,single,ANImf,30
SoginMETA_k141_23239353.fa,31_0,0.050000000000000044,single,ANImf,31
SoginMETA_k141_5855686.fa,32_0,0.050000000000000044,single,ANImf,32
SoginMETA_k141_24535606.fa,33_0,0.050000000000000044,single,ANImf,33
SoginMETA_k141_31976550.fa,34_0,0.050000000000000044,single,ANImf,34
SoginMETA_k141_22976836.fa,35_0,0.050000000000000044,single,ANImf,35
SoginMETA_k141_29236090.fa,36_0,0.050000000000000044,single,ANImf,36
SoginMETA_k141_30429894.fa,37_0,0.050000000000000044,single,ANImf,37
SoginMETA_k141_31364498.fa,38_0,0.050000000000000044,single,ANImf,38
SoginMETA_k141_2270798.fa,39_0,0.050000000000000044,single,ANImf,39
SoginMETA_k141_7947355.fa,40_0,0.050000000000000044,single,ANImf,40
SoginMETA_k141_22259694.fa,41_0,0.050000000000000044,single,ANImf,41
SoginMETA_k141_5598854.fa,42_0,0.050000000000000044,single,ANImf,42
SoginMETA_k141_7502644.fa,43_0,0.050000000000000044,single,ANImf,43
SoginMETA_k141_21576255.fa,44_0,0.050000000000000044,single,ANImf,44
SoginMETA_k141_740990.fa,45_0,0.050000000000000044,single,ANImf,45
SoginMETA_k141_21464957.fa,46_0,0.050000000000000044,single,ANImf,46
SoginMETA_k141_6276091.fa,47_0,0.050000000000000044,single,ANImf,47
SoginMETA_k141_21304990.fa,48_0,0.050000000000000044,single,ANImf,48
SoginMETA_k141_25774498.fa,49_0,0.050000000000000044,single,ANImf,49
SoginMETA_k141_20144941.fa,50_0,0.050000000000000044,single,ANImf,50
SoginMETA_k141_29024516.fa,51_0,0.050000000000000044,single,ANImf,51
SoginMETA_k141_19797160.fa,52_0,0.050000000000000044,single,ANImf,52
SoginMETA_k141_29490045.fa,53_0,0.050000000000000044,single,ANImf,53
SoginMETA_k141_19742328.fa,54_0,0.050000000000000044,single,ANImf,54
SoginMETA_k141_635903.fa,55_0,0.050000000000000044,single,ANImf,55
SoginMETA_k141_25448550.fa,56_0,0.050000000000000044,single,ANImf,56
SoginMETA_k141_19638727.fa,57_0,0.050000000000000044,single,ANImf,57
SoginMETA_k141_33173048.fa,58_0,0.050000000000000044,single,ANImf,58
SoginMETA_k141_19067129.fa,59_0,0.050000000000000044,single,ANImf,59
SoginMETA_k141_27213535.fa,60_0,0.050000000000000044,single,ANImf,60
SoginMETA_k141_1901041.fa,61_0,0.050000000000000044,single,ANImf,61
SoginMETA_k141_5698581.fa,62_0,0.050000000000000044,single,ANImf,62
SoginMETA_k141_25816215.fa,63_0,0.050000000000000044,single,ANImf,63
SoginMETA_k141_18090034.fa,64_0,0.050000000000000044,single,ANImf,64
SoginMETA_k141_9025390.fa,65_0,0.050000000000000044,single,ANImf,65
