filename,contig_id,contig_length,provirus,proviral_length,gene_count,viral_genes,host_genes,checkv_quality,miuvig_quality,completeness,completeness_method,contamination,kmer_freq,warnings,GenomeID
Ettinger,c_000000711315||0_partial,20460,No,NA,17,0,8,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000711315
Ettinger,c_000000089825||0_partial,35296,Yes,13888,39,11,17,Low-quality,Genome-fragment,22.2,AAI-based (medium-confidence),60.65,1,low-confidence Provirus,Ettinger_c_000000089825
Ettinger,c_000000125767||0_partial,21190,Yes,15337,21,3,3,Low-quality,Genome-fragment,14.57,HMM-based (lower-bound),27.62,1,NA,Ettinger_c_000000125767
Ettinger,c_000000326398||0_partial,25691,Yes,13601,29,11,11,Low-quality,Genome-fragment,24.09,AAI-based (medium-confidence),47.06,1,low-confidence Provirus,Ettinger_c_000000326398
Ettinger,c_000000390487||0_partial,25465,Yes,15220,31,12,12,Low-quality,Genome-fragment,24.24,AAI-based (medium-confidence),40.23,1,NA,Ettinger_c_000000390487
Ettinger,c_000000410655||0_partial,24623,No,NA,19,1,4,Low-quality,Genome-fragment,11.09,HMM-based (lower-bound),0,1,NA,Ettinger_c_000000410655
Ettinger,c_000000609003||0_partial,10452,No,NA,12,1,0,Low-quality,Genome-fragment,17.55,HMM-based (lower-bound),0,1.01,NA,Ettinger_c_000000609003
Ettinger,c_000000660524||0_partial,12009,No,NA,12,0,8,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000660524
Ettinger,c_000000672820||0_partial,24549,Yes,11472,26,9,12,Low-quality,Genome-fragment,21.32,AAI-based (medium-confidence),53.27,1,low-confidence Provirus,Ettinger_c_000000672820
Ettinger,c_000000760615||0_partial,30966,Yes,22869,33,11,9,Medium-quality,Genome-fragment,54.05,AAI-based (medium-confidence),26.15,1,NA,Ettinger_c_000000760615
Ettinger,c_000000944506||0_partial,24471,Yes,14955,30,11,10,Low-quality,Genome-fragment,27.28,AAI-based (medium-confidence),38.89,1,NA,Ettinger_c_000000944506
Ettinger,c_000000962834||0_partial,11886,No,NA,13,1,3,Low-quality,Genome-fragment,13.67,HMM-based (lower-bound),0,1,NA,Ettinger_c_000000962834
Ettinger,c_000000979767||0_partial,27155,Yes,14370,32,11,9,Low-quality,Genome-fragment,25.42,AAI-based (medium-confidence),47.08,1,low-confidence Provirus,Ettinger_c_000000979767
Ettinger,c_000001111701||0_partial,12010,No,NA,9,0,6,Low-quality,Genome-fragment,6.03,AAI-based (medium-confidence),0,1,no viral genes detected,Ettinger_c_000001111701
Ettinger,c_000001168137||0_partial,16907,Yes,11500,21,9,4,Low-quality,Genome-fragment,21.32,AAI-based (medium-confidence),31.98,1,NA,Ettinger_c_000001168137
Ettinger,c_000001189539||0_partial,18528,No,NA,17,2,1,Low-quality,Genome-fragment,11.55,HMM-based (lower-bound),0,1,NA,Ettinger_c_000001189539
Ettinger,c_000001213198||0_partial,25630,No,NA,19,1,4,Low-quality,Genome-fragment,16.55,HMM-based (lower-bound),0,1,NA,Ettinger_c_000001213198
Ettinger,c_000001402059||0_partial,2016,No,NA,2,1,0,High-quality,High-quality,91.29,AAI-based (medium-confidence),0,1,NA,Ettinger_c_000001402059
Ettinger,c_000001578124||0_partial,21164,Yes,13910,18,2,3,Low-quality,Genome-fragment,10.29,HMM-based (lower-bound),34.28,1,NA,Ettinger_c_000001578124
Ettinger,c_000001615240||0_partial,4429,No,NA,7,2,0,Low-quality,Genome-fragment,9.22,AAI-based (medium-confidence),0,1,NA,Ettinger_c_000001615240
Ettinger,c_000001728273||0_partial,25824,Yes,13558,29,9,8,Low-quality,Genome-fragment,17.73,HMM-based (lower-bound),47.5,1,low-confidence Provirus,Ettinger_c_000001728273
Ettinger,c_000001799225||0_partial,60144,Yes,14853,60,11,35,Low-quality,Genome-fragment,27.81,HMM-based (lower-bound),75.3,1,low-confidence Provirus,Ettinger_c_000001799225
Ettinger,c_000001812975||0_partial,27671,Yes,14357,31,12,11,Low-quality,Genome-fragment,25.75,AAI-based (medium-confidence),48.12,1,low-confidence Provirus,Ettinger_c_000001812975
Ettinger,c_000001895351||0_partial,25765,Yes,13699,29,11,8,Low-quality,Genome-fragment,23.82,AAI-based (medium-confidence),46.83,1,low-confidence Provirus,Ettinger_c_000001895351
Ettinger,c_000002005160||0_partial,29221,Yes,13913,35,11,10,Low-quality,Genome-fragment,22.14,AAI-based (medium-confidence),52.39,1,low-confidence Provirus,Ettinger_c_000002005160
Ettinger,c_000002202080||0_partial,30875,Yes,14809,30,11,9,Low-quality,Genome-fragment,32.41,AAI-based (medium-confidence),52.04,1,low-confidence Provirus,Ettinger_c_000002202080
Ettinger,c_000002269210||0_partial,13381,No,NA,12,0,8,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000002269210
Ettinger,c_000002314019||0_partial,58210,Yes,46481,68,12,7,Medium-quality,Genome-fragment,58.81,HMM-based (lower-bound),20.15,1,NA,Ettinger_c_000002314019
Ettinger,c_000002466019||0_partial,18780,No,NA,9,0,6,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000002466019
Ettinger,c_000002614552||0_partial,13052,Yes,10758,16,10,2,Low-quality,Genome-fragment,19.95,AAI-based (medium-confidence),17.58,1,NA,Ettinger_c_000002614552
Ettinger,c_000002639113||0_partial,28636,Yes,14240,32,10,10,Low-quality,Genome-fragment,25.7,AAI-based (medium-confidence),50.27,1,low-confidence Provirus,Ettinger_c_000002639113
Ettinger,c_000002775664||0_partial,19373,No,NA,14,1,1,Low-quality,Genome-fragment,10.08,HMM-based (lower-bound),0,1,NA,Ettinger_c_000002775664
Ettinger,c_000002906638||0_partial,29316,Yes,18205,22,2,7,Low-quality,Genome-fragment,8.18,HMM-based (lower-bound),37.9,1,low-confidence Provirus,Ettinger_c_000002906638
Ettinger,c_000002956506||0_partial,20096,Yes,10971,16,3,2,Low-quality,Genome-fragment,7.24,HMM-based (lower-bound),45.41,1,NA,Ettinger_c_000002956506
Ettinger,c_000002982533||0_partial,31716,Yes,24995,23,3,4,Low-quality,Genome-fragment,17.43,HMM-based (lower-bound),21.19,1,NA,Ettinger_c_000002982533
Ettinger,c_000003036862||0_partial,13507,No,NA,10,0,3,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000003036862
Ettinger,c_000003054360||0_partial,18375,No,NA,15,0,8,Low-quality,Genome-fragment,1.7,AAI-based (medium-confidence),0,1,no viral genes detected,Ettinger_c_000003054360
Ettinger,c_000003064593||0_partial,21243,No,NA,21,0,8,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000003064593
Ettinger,c_000003068538||0_partial,7014,No,NA,8,1,0,High-quality,High-quality,100,AAI-based (high-confidence),0,1,contig >1.5x longer than expected genome length,Ettinger_c_000003068538
Ettinger,c_000003156002||0_partial,31082,No,NA,12,0,4,Not-determined,Genome-fragment,NA,NA,0,1.01,no viral genes detected,Ettinger_c_000003156002
Ettinger,c_000003176774||0_partial,15049,No,NA,14,1,5,Low-quality,Genome-fragment,7.77,HMM-based (lower-bound),0,1,NA,Ettinger_c_000003176774
Ettinger,c_000003318708||0_partial,28838,Yes,13121,25,3,7,Low-quality,Genome-fragment,11.68,HMM-based (lower-bound),54.5,1,NA,Ettinger_c_000003318708
Ettinger,c_000003319275||0_partial,23628,Yes,14006,27,11,8,Low-quality,Genome-fragment,22.63,AAI-based (medium-confidence),40.72,1,low-confidence Provirus,Ettinger_c_000003319275
Ettinger,c_000003504915||0_partial,37403,Yes,15836,38,10,14,Low-quality,Genome-fragment,28.02,AAI-based (medium-confidence),57.66,1,NA,Ettinger_c_000003504915
Ettinger,c_000003544002||0_partial,1545,No,NA,3,1,0,Low-quality,Genome-fragment,48.62,AAI-based (medium-confidence),0,1,NA,Ettinger_c_000003544002
Ettinger,c_000003665954||0_partial,10916,No,NA,14,0,10,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000003665954
Ettinger,c_000003742639||0_partial,34161,No,NA,21,2,2,Low-quality,Genome-fragment,22.82,HMM-based (lower-bound),0,1,NA,Ettinger_c_000003742639
Ettinger,c_000003975594||0_partial,25733,Yes,13721,30,12,12,Low-quality,Genome-fragment,24.6,AAI-based (medium-confidence),46.68,1,low-confidence Provirus,Ettinger_c_000003975594
Ettinger,c_000004075669||0_partial,27808,Yes,13533,33,9,9,Low-quality,Genome-fragment,16.74,HMM-based (lower-bound),51.33,1,low-confidence Provirus,Ettinger_c_000004075669
Ettinger,c_000004972152||0_partial,16074,No,NA,6,1,0,Low-quality,Genome-fragment,7.15,HMM-based (lower-bound),0,1,NA,Ettinger_c_000004972152
Ettinger,c_000005324100||0_partial,13584,No,NA,9,0,4,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000005324100
Ettinger,c_000005499271||0_partial,35843,Yes,14477,41,11,17,Low-quality,Genome-fragment,31.69,AAI-based (medium-confidence),59.61,1,low-confidence Provirus,Ettinger_c_000005499271
Ettinger,c_000000000521||full,5544,No,NA,5,0,3,Low-quality,Genome-fragment,1.97,AAI-based (medium-confidence),0,1,no viral genes detected,Ettinger_c_000000000521
Ettinger,c_000000002292||lt2gene,23772,No,NA,1,0,1,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000002292
Ettinger,c_000000003380||full,5289,No,NA,7,3,0,Low-quality,Genome-fragment,2.29,AAI-based (medium-confidence),0,1.01,NA,Ettinger_c_000000003380
Ettinger,c_000000006091||full,6286,No,NA,10,0,7,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000006091
Ettinger,c_000000006541||full,5670,No,NA,3,0,3,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000006541
Ettinger,c_000000007383||full,5736,Yes,771,7,1,5,Low-quality,Genome-fragment,0.86,HMM-based (lower-bound),86.56,1,NA,Ettinger_c_000000007383
Ettinger,c_000000008518||full,16819,No,NA,21,0,9,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000008518
Ettinger,c_000000009194||full,13312,No,NA,11,0,8,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000009194
Ettinger,c_000000009293||full,5767,No,NA,5,0,3,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000009293
Ettinger,c_000000009324||full,6689,No,NA,9,0,1,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000009324
Ettinger,c_000000009438||full,6787,No,NA,7,0,4,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000009438
Ettinger,c_000000012432||full,12212,No,NA,10,0,5,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000012432
Ettinger,c_000000012667||full,10668,No,NA,23,6,0,Low-quality,Genome-fragment,11.46,HMM-based (lower-bound),0,1,NA,Ettinger_c_000000012667
Ettinger,c_000000013063||full,6509,No,NA,9,0,1,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000013063
Ettinger,c_000000016440||full,33595,Yes,10607,33,3,17,Low-quality,Genome-fragment,10.67,HMM-based (lower-bound),68.43,1,NA,Ettinger_c_000000016440
Ettinger,c_000000017201||full,11500,No,NA,14,0,8,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000017201
Ettinger,c_000000021360||full,12137,No,NA,19,5,0,Low-quality,Genome-fragment,18.58,HMM-based (lower-bound),0,1,NA,Ettinger_c_000000021360
Ettinger,c_000000022329||full,9024,No,NA,8,0,1,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000022329
Ettinger,c_000000022802||full,5997,No,NA,4,0,2,Low-quality,Genome-fragment,3.99,AAI-based (high-confidence),0,1,no viral genes detected,Ettinger_c_000000022802
Ettinger,c_000000023029||full,6068,No,NA,6,0,1,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000023029
Ettinger,c_000000024372||full,11428,No,NA,6,0,2,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000024372
Ettinger,c_000000024595||full,10719,No,NA,10,0,5,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000024595
Ettinger,c_000000025305||full,5808,No,NA,9,0,5,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000025305
Ettinger,c_000000027735||full,5933,No,NA,7,0,1,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000027735
Ettinger,c_000000029797||full,12631,No,NA,6,0,2,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000029797
Ettinger,c_000000029965||full,8579,No,NA,6,0,3,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000029965
Ettinger,c_000000030623||full,7848,No,NA,10,1,0,Low-quality,Genome-fragment,11.74,HMM-based (lower-bound),0,1,NA,Ettinger_c_000000030623
Ettinger,c_000000031835||full,6039,No,NA,6,5,0,Low-quality,Genome-fragment,1.62,HMM-based (lower-bound),0,1,NA,Ettinger_c_000000031835
Ettinger,c_000000032738||full,6565,No,NA,9,0,1,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000032738
Ettinger,c_000000033367||full,5405,No,NA,7,0,2,Not-determined,Genome-fragment,NA,NA,0,1.02,no viral genes detected,Ettinger_c_000000033367
Ettinger,c_000000033761||full,6336,No,NA,7,0,3,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000033761
Ettinger,c_000000034469||full,14317,No,NA,16,0,11,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000034469
Ettinger,c_000000036284||full,8894,No,NA,4,0,3,Not-determined,Genome-fragment,NA,NA,0,1.03,no viral genes detected,Ettinger_c_000000036284
Ettinger,c_000000036570||full,5436,No,NA,7,0,1,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000036570
Ettinger,c_000000038187||full,5568,No,NA,7,0,5,Low-quality,Genome-fragment,1.45,AAI-based (medium-confidence),0,1,no viral genes detected,Ettinger_c_000000038187
Ettinger,c_000000039684||full,8681,No,NA,6,0,0,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000039684
Ettinger,c_000000039909||full,21011,No,NA,18,5,1,Medium-quality,Genome-fragment,56.95,AAI-based (medium-confidence),0,1,NA,Ettinger_c_000000039909
Ettinger,c_000000043415||full,12169,No,NA,11,0,2,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000043415
Ettinger,c_000000043974||full,9504,Yes,1956,6,1,2,Low-quality,Genome-fragment,1.2,HMM-based (lower-bound),79.42,1,NA,Ettinger_c_000000043974
Ettinger,c_000000044829||full,11788,No,NA,15,2,1,Low-quality,Genome-fragment,21.43,AAI-based (medium-confidence),0,1,NA,Ettinger_c_000000044829
Ettinger,c_000000046106||full,8502,No,NA,2,2,0,Low-quality,Genome-fragment,8.56,HMM-based (lower-bound),0,1,low-confidence ITR,Ettinger_c_000000046106
Ettinger,c_000000052535||full,8997,No,NA,8,0,0,Not-determined,Genome-fragment,NA,NA,0,1.01,no viral genes detected,Ettinger_c_000000052535
Ettinger,c_000000052723||full,8737,No,NA,8,0,4,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,Ettinger_c_000000052723
Ettinger,c_000000054211||full,8832,No,NA,15,1,1,Low-quality,Genome-fragment,5.44,HMM-based (lower-bound),0,1,NA,Ettinger_c_000000054211
Ettinger,c_000000054215||full,6074,No,NA,4,0,1,Low-quality,Genome-fragment,6.45,AAI-based (medium-confidence),0,1,no viral genes detected,Ettinger_c_000000054215
