	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with unknown function	Viral genes with host benefits	Viral replication genes	Viral structure genes	Viral genes with viral benefits
c_000003404803__full-cat_2	2	False	False	5	3	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000003406435__full-cat_2	2	False	False	7	4	0	False	0.0	5	2.0	0.0	0.0	0.0	0.0
c_000003408746__full-cat_2	2	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000003410228__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	4	0.0	1.0	1.0	0.0	0.0
c_000003410296__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	6	0.0	1.0	0.0	0.0	0.0
c_000003412247__full-cat_1	1	False	False	10	4	0	False	0.1	8	1.0	1.0	0.0	0.0	0.0
c_000003416957__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	5	0.0	1.0	0.0	0.0	0.0
c_000003421345__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000003426194__full-cat_2	2	False	False	4	1	0	False	0.25	3	0.0	1.0	0.0	0.0	0.0
c_000003427243__full-cat_2	2	False	False	11	3	0	False	0.0	11	0.0	0.0	0.0	0.0	0.0
c_000003428642__full-cat_2	2	False	False	9	4	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
c_000003430387__full-cat_2	2	False	False	11	0	0	False	0.0	9	0.0	0.0	0.0	1.0	1.0
c_000003432395__full-cat_1	1	False	False	10	5	0	False	0.0	9	0.0	0.0	1.0	0.0	0.0
c_000003433266__full-cat_2	2	False	False	8	0	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
c_000003434934__full-cat_2	2	False	False	4	1	0	False	0.0	3	1.0	0.0	0.0	0.0	0.0
c_000003436207__full-cat_2	2	False	False	4	2	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000003436657__full-cat_2	2	False	False	15	0	0	False	0.0	13	0.0	0.0	0.0	2.0	0.0
c_000003436715__full-cat_2	2	False	False	4	0	0	False	0.0	3	1.0	0.0	0.0	0.0	0.0
c_000003437884__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000003438850__full-cat_2	2	False	False	17	6	1	False	0.17647058823529413	13	0.0	3.0	0.0	1.0	0.0
c_000003440626__full-cat_2	2	False	False	3	0	0	False	0.0	2	0.0	0.0	0.0	1.0	0.0
c_000003445011__full-cat_2	2	False	False	10	0	0	False	0.0	7	1.0	0.0	0.0	1.0	1.0
c_000003447863__full-cat_2	2	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000003447989__full-cat_2	2	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000003448110__full-cat_2	2	False	False	8	2	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
c_000003449489__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	5	0.0	1.0	0.0	0.0	0.0
c_000003449937__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	5	0.0	1.0	0.0	0.0	0.0
c_000003450512__full-cat_2	2	False	False	7	3	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000003450760__full-cat_2	2	False	False	10	2	0	False	0.0	10	0.0	0.0	0.0	0.0	0.0
c_000003454752__full-cat_2	2	False	False	5	0	0	False	0.2	3	0.0	1.0	1.0	0.0	0.0
c_000003455778__full-cat_2	2	False	False	7	4	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000003456140__full-cat_1	1	False	False	79	8	0	False	0.012658227848101266	74	3.0	1.0	0.0	1.0	0.0
c_000003458950__full-cat_2	2	False	False	5	1	0	False	0.2	4	0.0	1.0	0.0	0.0	0.0
