	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with unknown function	Viral genes with host benefits	Viral replication genes	Viral structure genes	Viral genes with viral benefits
k141_10001822__full-cat_2	2	False	False	13	0	0	False	0.0	10	2.0	1.0	0.0	0.0	0.0
k141_10005809__full-cat_1	1	False	False	6	1	0	False	0.16666666666666666	5	0.0	1.0	0.0	0.0	0.0
k141_10024297__full-cat_2	2	False	False	6	3	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_10028910__full-cat_2	2	False	False	10	3	0	False	0.0	10	0.0	0.0	0.0	0.0	0.0
k141_10033593__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	4	1.0	1.0	0.0	0.0	0.0
k141_10038916__full-cat_2	2	False	False	4	0	0	False	0.25	3	0.0	1.0	0.0	0.0	0.0
k141_10048092__full-cat_2	2	False	False	8	1	0	False	0.0	7	1.0	0.0	0.0	0.0	0.0
k141_10051968__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_10066093__full-cat_2	2	False	False	7	2	0	False	0.0	5	1.0	1.0	0.0	0.0	0.0
k141_10072373__full-cat_1	1	False	False	59	12	1	False	0.01694915254237288	56	2.0	1.0	0.0	0.0	0.0
k141_10078391__full-cat_2	2	False	False	9	0	0	False	0.0	7	2.0	0.0	0.0	0.0	0.0
k141_10083249__full-cat_1	1	False	False	4	0	0	False	0.25	3	0.0	1.0	0.0	0.0	0.0
k141_10089779__full-cat_1	1	False	False	51	3	0	False	0.0196078431372549	43	6.0	2.0	0.0	0.0	0.0
k141_10092925__full-cat_2	2	False	False	8	2	1	False	0.125	6	0.0	2.0	0.0	0.0	0.0
k141_10094018__full-cat_1	1	False	False	4	0	0	False	0.0	3	0.0	1.0	0.0	0.0	0.0
k141_10100864__full-cat_1	1	False	False	4	0	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_10102236__full-cat_1	1	False	False	12	1	0	False	0.0	12	0.0	0.0	0.0	0.0	0.0
k141_10107454__full-cat_2	2	False	False	10	5	0	False	0.0	10	0.0	0.0	0.0	0.0	0.0
k141_10110195__full-cat_2	2	False	False	5	2	1	False	0.0	4	1.0	0.0	0.0	0.0	0.0
k141_10120379__full-cat_1	1	False	False	8	2	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_10133809__full-cat_2	2	False	False	5	0	0	False	0.2	4	0.0	1.0	0.0	0.0	0.0
k141_10148569__full-cat_2	2	False	False	8	3	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_11301631__full-cat_2	2	False	False	11	1	0	False	0.0	11	0.0	0.0	0.0	0.0	0.0
k141_11310041__full-cat_2	2	False	False	6	0	0	False	0.0	5	1.0	0.0	0.0	0.0	0.0
k141_11313349__full-cat_2	2	False	False	5	2	0	False	0.0	4	1.0	0.0	0.0	0.0	0.0
k141_11324442__full-cat_2	2	False	False	4	2	0	False	0.25	3	0.0	1.0	0.0	0.0	0.0
k141_11337039__full-cat_2	2	False	False	4	2	0	False	0.25	2	0.0	2.0	0.0	0.0	0.0
k141_11346499__full-cat_2	2	False	False	7	2	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_11360432__full-cat_2	2	False	False	13	5	0	False	0.0	12	1.0	0.0	0.0	0.0	0.0
k141_11363530__full-cat_2	2	False	False	7	3	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_11364945__full-cat_2	2	False	False	6	0	0	False	0.0	5	1.0	0.0	0.0	0.0	0.0
k141_11367047__full-cat_2	2	False	False	16	0	0	False	0.0625	14	1.0	1.0	0.0	0.0	0.0
k141_11369895__full-cat_2	2	False	False	6	1	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_11375013__full-cat_2	2	False	False	8	2	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_11380876__full-cat_2	2	False	False	12	5	0	True	0.08333333333333333	10	0.0	2.0	0.0	0.0	0.0
k141_11387035__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_11388567__full-cat_2	2	False	False	12	5	0	False	0.0	12	0.0	0.0	0.0	0.0	0.0
k141_11390237__full-cat_2	2	False	False	9	6	0	False	0.0	7	2.0	0.0	0.0	0.0	0.0
k141_11393402__full-cat_1	1	False	False	12	4	0	False	0.08333333333333333	10	1.0	1.0	0.0	0.0	0.0
k141_11398583__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	6	0.0	1.0	0.0	0.0	0.0
k141_11399661__full-cat_2	2	False	False	8	4	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_11406714__full-cat_2	2	False	False	8	0	0	False	0.125	5	2.0	1.0	0.0	0.0	0.0
k141_11407586__full-cat_2	2	False	False	4	2	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_11411848__full-cat_1	1	False	False	18	0	0	False	0.05555555555555555	13	4.0	1.0	0.0	0.0	0.0
k141_11416449__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_11418982__full-cat_2	2	False	False	2	1	0	False	0.5	1	0.0	1.0	0.0	0.0	0.0
k141_11425836__full-cat_2	2	False	False	16	1	0	False	0.0	12	3.0	1.0	0.0	0.0	0.0
k141_11427719__full-cat_1	1	False	False	4	1	0	False	0.5	2	0.0	2.0	0.0	0.0	0.0
k141_11433739__full-cat_1	1	False	False	17	1	0	False	0.0	16	1.0	0.0	0.0	0.0	0.0
k141_11436139__full-cat_2	2	False	False	9	7	0	False	0.1111111111111111	8	0.0	1.0	0.0	0.0	0.0
k141_11448007__full-cat_1	1	False	False	5	0	0	False	0.0	3	0.0	0.0	2.0	0.0	0.0
