genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
SoginMETA_k141_9635687.fa,3.085989756936426,NA,NA,NA,NA,NA,1_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_9824892.fa,3.2610404057320537,NA,NA,NA,NA,NA,2_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_6121027.fa,3.694212027590925,NA,NA,NA,NA,NA,3_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_8336557.fa,3.1837304666245485,NA,NA,NA,NA,NA,4_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_4143503.fa,3.3773998072376994,NA,NA,NA,NA,NA,5_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_4589762.fa,3.1228378746630865,NA,NA,NA,NA,NA,6_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_3780219.fa,3.1868473499574543,NA,NA,NA,NA,NA,7_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_5356490.fa,3.1864986081566986,NA,NA,NA,NA,NA,8_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_31342359.fa,3.1175172019036754,NA,NA,NA,NA,NA,9_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_9012182.fa,3.0844279050254033,NA,NA,NA,NA,NA,10_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_30785444.fa,3.089374455768474,NA,NA,NA,NA,NA,11_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_31904783.fa,3.4052599055273785,NA,NA,NA,NA,NA,12_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_29080753.fa,3.2046065392836223,NA,NA,NA,NA,NA,13_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_7219347.fa,3.41543182249042,NA,NA,NA,NA,NA,14_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_27415366.fa,3.1313833174622854,NA,NA,NA,NA,NA,15_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_5545311.fa,3.6434411445018062,NA,NA,NA,NA,NA,16_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_2666160.fa,3.235202065187893,NA,NA,NA,NA,NA,17_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_27835252.fa,3.050954398406458,NA,NA,NA,NA,NA,18_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_26515879.fa,3.1683308740573017,NA,NA,NA,NA,NA,19_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_2946709.fa,3.0542353663594675,NA,NA,NA,NA,NA,20_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_7188645.fa,3.295611359890908,NA,NA,NA,NA,NA,21_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_26305522.fa,3.632256592332234,NA,NA,NA,NA,NA,22_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_602713.fa,3.2557184981030938,NA,NA,NA,NA,NA,23_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_26089208.fa,3.19097916347697,NA,NA,NA,NA,NA,24_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_31271217.fa,3.0538911662369106,NA,NA,NA,NA,NA,25_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_9721160.fa,3.2675102642940272,NA,NA,NA,NA,NA,26_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_24997474.fa,3.1957866701741544,NA,NA,NA,NA,NA,27_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_29204537.fa,3.1693548812964263,NA,NA,NA,NA,NA,28_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_24366213.fa,3.113858548853072,NA,NA,NA,NA,NA,29_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_26697379.fa,3.2599972960823687,NA,NA,NA,NA,NA,30_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_23239353.fa,3.650253919030564,NA,NA,NA,NA,NA,31_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_5855686.fa,3.1943250784004884,NA,NA,NA,NA,NA,32_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_24535606.fa,3.0679510688307414,NA,NA,NA,NA,NA,33_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_31976550.fa,3.173492301422652,NA,NA,NA,NA,NA,34_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_22976836.fa,3.1832833658609885,NA,NA,NA,NA,NA,35_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_29236090.fa,3.0795055254265766,NA,NA,NA,NA,NA,36_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_30429894.fa,3.2359385898265884,NA,NA,NA,NA,NA,37_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_31364498.fa,3.1448203803547994,NA,NA,NA,NA,NA,38_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_2270798.fa,3.2686142697450937,NA,NA,NA,NA,NA,39_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_7947355.fa,3.0530294705536183,NA,NA,NA,NA,NA,40_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_22259694.fa,3.0701540316383324,NA,NA,NA,NA,NA,41_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_5598854.fa,3.2230696636372675,NA,NA,NA,NA,NA,42_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_7502644.fa,3.1091467194261977,NA,NA,NA,NA,NA,43_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_21576255.fa,3.251752062778252,NA,NA,NA,NA,NA,44_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_740990.fa,3.3977202170340384,NA,NA,NA,NA,NA,45_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_21464957.fa,3.6498066819041712,NA,NA,NA,NA,NA,46_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_6276091.fa,3.4034930731473096,NA,NA,NA,NA,NA,47_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_21304990.fa,3.1482975364946983,NA,NA,NA,NA,NA,48_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_25774498.fa,3.3306694078868886,NA,NA,NA,NA,NA,49_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_20144941.fa,3.4292329781676667,NA,NA,NA,NA,NA,50_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_29024516.fa,3.1904137575910734,NA,NA,NA,NA,NA,51_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_19797160.fa,3.073375938139562,NA,NA,NA,NA,NA,52_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_29490045.fa,3.089652023581924,NA,NA,NA,NA,NA,53_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_19742328.fa,3.455926625612946,NA,NA,NA,NA,NA,54_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_635903.fa,3.3696472881834225,NA,NA,NA,NA,NA,55_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_25448550.fa,3.1327135801713317,NA,NA,NA,NA,NA,56_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_19638727.fa,3.0858698136955525,NA,NA,NA,NA,NA,57_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_33173048.fa,3.626721335591952,NA,NA,NA,NA,NA,58_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_19067129.fa,3.2568798223063,NA,NA,NA,NA,NA,59_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_27213535.fa,3.2913472172381986,NA,NA,NA,NA,NA,60_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_1901041.fa,3.4868461624618208,NA,NA,NA,NA,NA,61_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_5698581.fa,3.944188636172189,NA,NA,NA,NA,NA,62_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_25816215.fa,3.3194662433756856,NA,NA,NA,NA,NA,63_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_18090034.fa,3.2039976866928,NA,NA,NA,NA,NA,64_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_9025390.fa,3.149300726233463,NA,NA,NA,NA,NA,65_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_23704126.fa,3.1572438975789736,NA,NA,NA,NA,NA,66_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_205556.fa,3.215125569088229,NA,NA,NA,NA,NA,67_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_26569050.fa,3.1785931069187043,NA,NA,NA,NA,NA,68_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_17109305.fa,3.29182031851803,NA,NA,NA,NA,NA,69_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_8353038.fa,3.088222638368718,NA,NA,NA,NA,NA,70_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_16825243.fa,3.0694486374936365,NA,NA,NA,NA,NA,71_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_3972205.fa,3.1997731775596647,NA,NA,NA,NA,NA,72_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_16298635.fa,3.1174056584378236,NA,NA,NA,NA,NA,73_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_30259330.fa,3.2779124017517485,NA,NA,NA,NA,NA,74_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_15650.fa,3.156598813212537,NA,NA,NA,NA,NA,75_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_27814897.fa,3.280167816346191,NA,NA,NA,NA,NA,76_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_15279045.fa,3.413781152580865,NA,NA,NA,NA,NA,77_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_17224677.fa,3.1973671077937857,NA,NA,NA,NA,NA,78_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_1414399.fa,3.6267443543274167,NA,NA,NA,NA,NA,79_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_15871178.fa,3.5090907896005863,NA,NA,NA,NA,NA,80_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_14141383.fa,3.1296514770738444,NA,NA,NA,NA,NA,81_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_23580378.fa,3.135540306036948,NA,NA,NA,NA,NA,82_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_21177492.fa,3.090127441781456,NA,NA,NA,NA,NA,83_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_14129817.fa,3.6549600599393495,NA,NA,NA,NA,NA,84_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_2601856.fa,3.7389001280713434,NA,NA,NA,NA,NA,85_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_29776903.fa,3.4384919618358003,NA,NA,NA,NA,NA,86_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_9690970.fa,3.1713628405633907,NA,NA,NA,NA,NA,87_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_13930812.fa,3.2561239639918518,NA,NA,NA,NA,NA,88_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_3887732.fa,3.07094105986232,NA,NA,NA,NA,NA,89_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_15657142.fa,3.305537826224604,NA,NA,NA,NA,NA,90_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_13812023.fa,3.3760694665888935,NA,NA,NA,NA,NA,91_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_17072604.fa,3.4542006217013546,NA,NA,NA,NA,NA,92_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_20897726.fa,3.0797894708318547,NA,NA,NA,NA,NA,93_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_13412951.fa,3.6316652667176164,NA,NA,NA,NA,NA,94_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_16083424.fa,3.4360885551380496,NA,NA,NA,NA,NA,95_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_13320019.fa,3.2697940266919803,NA,NA,NA,NA,NA,96_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_27613668.fa,3.271205517674004,NA,NA,NA,NA,NA,97_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_12900219.fa,3.145552896019402,NA,NA,NA,NA,NA,98_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_8425614.fa,3.474097239400547,NA,NA,NA,NA,NA,99_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_26492558.fa,3.120370390367003,NA,NA,NA,NA,NA,100_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_12869390.fa,3.211308095416216,NA,NA,NA,NA,NA,101_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_3059019.fa,3.2824878663529864,NA,NA,NA,NA,NA,102_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_12765257.fa,3.0777164622089903,NA,NA,NA,NA,NA,103_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_31049140.fa,3.0621620679708226,NA,NA,NA,NA,NA,104_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_1264138.fa,3.271101119961505,NA,NA,NA,NA,NA,105_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_19720028.fa,3.3371744603745013,NA,NA,NA,NA,NA,106_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_1690449.fa,3.1668732863272484,NA,NA,NA,NA,NA,107_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_299489.fa,3.5655029461873577,NA,NA,NA,NA,NA,108_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_8159951.fa,3.806187130635447,NA,NA,NA,NA,NA,109_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_12507281.fa,3.112995401186467,NA,NA,NA,NA,NA,110_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_17159067.fa,3.1513689632492508,NA,NA,NA,NA,NA,111_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_25019834.fa,3.0650662140111486,NA,NA,NA,NA,NA,112_0,NA,NA,1,NA,NA,NA,NA
