Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
Bin_Bin_151-contigs.cleaned	71.75	13.67	Gradient Boost (General Model)	11	0.902	1789	244.49711062190423	5894014	0.59	7268	None
Bin_Bin_17_sub_1-contigs.cleaned	97.96	16.19	Gradient Boost (General Model)	11	0.925	92228	329.53953759471534	5490106	0.53	5147	None
Bin_Bin_181_sub-contigs.cleaned	96.03	4.85	Gradient Boost (General Model)	11	0.802	7476	332.4177016192423	7901233	0.35	6361	None
Bin_Bin_200_sub-contigs.cleaned	46.74	3.95	Gradient Boost (General Model)	11	0.897	1713	248.979336255479	5308803	0.64	6388	None
Bin_Bin_201_1-contigs.cleaned	94.71	0.13	Neural Network (Specific Model)	11	0.918	162806	313.31934408004446	3679659	0.59	3598	None
Bin_Bin_220_sub-contigs.cleaned	74.26	14.35	Gradient Boost (General Model)	11	0.836	3176	246.28502348715114	6379003	0.48	7238	None
Bin_Bin_22_sub-contigs.cleaned	84.97	13.63	Gradient Boost (General Model)	11	0.885	2754	235.00493583415596	3218656	0.54	4052	None
Bin_Bin_231_sub-contigs.cleaned	67.49	0.26	Neural Network (Specific Model)	11	0.878	3566	280.6953578336557	3958541	0.58	4136	None
Bin_Bin_238_sub-contigs.cleaned	88.0	11.49	Gradient Boost (General Model)	11	0.836	1975	233.928967327888	5742681	0.34	6856	None
Bin_Bin_241_sub-contigs.cleaned	60.12	14.12	Gradient Boost (General Model)	11	0.867	5734	268.02079002079	5787288	0.45	6253	None
Bin_Bin_27-contigs.cleaned	95.96	0.62	Gradient Boost (General Model)	11	0.841	25195	346.98543335761104	6788532	0.33	5492	None
Bin_Bin_271_sub_1-contigs.cleaned	81.63	2.22	Gradient Boost (General Model)	11	0.916	8075	284.53	2696353	0.58	2900	None
Bin_Bin_282-contigs.cleaned	73.26	3.2	Gradient Boost (General Model)	11	0.88	3302	248.12931711145995	4303981	0.42	5096	None
Bin_Bin_288-contigs.cleaned	57.58	2.18	Gradient Boost (General Model)	11	0.923	2527	227.48688750862664	2136411	0.59	2898	None
Bin_Bin_293_sub-contigs.cleaned	37.35	0.63	Gradient Boost (General Model)	11	0.893	3035	288.86522593320234	4928021	0.47	5090	None
Bin_Bin_294_sub_1-contigs.cleaned	85.04	16.3	Gradient Boost (General Model)	11	0.912	3424	270.8387025105532	4001761	0.38	4501	None
Bin_Bin_310_sub_1-contigs.cleaned	89.05	1.05	Gradient Boost (General Model)	11	0.894	7673	305.98527201683197	3414075	0.58	3327	None
Bin_Bin_312-contigs.cleaned	94.29	3.08	Gradient Boost (General Model)	11	0.847	9209	343.4384904427381	7441224	0.4	6121	None
Bin_Bin_32_sub-contigs.cleaned	78.79	8.3	Gradient Boost (General Model)	11	0.891	4253	251.47268186075553	5413006	0.58	6406	None
Bin_Bin_51_sub-contigs.cleaned	93.67	1.33	Gradient Boost (General Model)	11	0.854	16038	339.18252523581003	7187592	0.47	6043	None
Bin_Bin_53_sub-contigs.cleaned	91.76	0.88	Gradient Boost (General Model)	11	0.852	6953	327.0556900726392	6650386	0.39	5782	None
Bin_Bin_6_sub-contigs.cleaned	78.58	8.57	Gradient Boost (General Model)	11	0.903	5015	280.61794670846393	2373783	0.45	2552	None
Bin_Bin_72-contigs.cleaned	75.62	3.26	Gradient Boost (General Model)	11	0.91	2704	269.58259045621395	3386506	0.38	3814	None
Bin_Bin_85_sub-contigs.cleaned	80.94	3.58	Gradient Boost (General Model)	11	0.875	7412	320.3952380952381	4831324	0.5	4410	None
Bin_Bin_93_sub-contigs.cleaned	85.58	7.12	Gradient Boost (General Model)	11	0.911	2718	242.45325054784513	4364358	0.48	5476	None
Bin_Bin_97_sub_1-contigs.cleaned	76.15	3.53	Gradient Boost (General Model)	11	0.934	5592	287.9746782897468	2226615	0.29	2409	None
Bin_METABAT__101_sub-contigs.cleaned	88.65	1.61	Neural Network (Specific Model)	11	0.911	33699	294.96870229007635	3807441	0.63	3930	None
Bin_METABAT__103_sub_1-contigs.cleaned	84.17	9.72	Neural Network (Specific Model)	11	0.932	14067	314.1430490261921	4508634	0.65	4467	None
Bin_METABAT__106_1-contigs.cleaned	94.53	0.05	Neural Network (Specific Model)	11	0.858	42895	291.9613302397525	1317572	0.34	1293	None
Bin_METABAT__108_1-contigs.cleaned	95.63	1.58	Gradient Boost (General Model)	11	0.92	23912	323.88083817217876	4175794	0.53	3961	None
Bin_METABAT__10_1-contigs.cleaned	85.14	4.46	Neural Network (Specific Model)	11	0.912	20370	304.34768856447687	4105851	0.6	4110	None
Bin_METABAT__110-contigs.cleaned	64.76	5.1	Gradient Boost (General Model)	11	0.921	5354	273.63077445652175	2619120	0.58	2944	None
Bin_METABAT__113_1-contigs.cleaned	76.56	3.09	Neural Network (Specific Model)	11	0.862	12266	349.3802136317396	4771496	0.51	3932	None
