filename,gene,Genome,gene_id,gene_description,category,header,subheader,module,auxiliary_score,amg_flags
Ettinger,c_000000009194__full-cat_2_5,Ettinger_c_000000009194,K06861,lptB; lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-],Transporters,NA,NA,Lipopolysaccharide export system,3,MF
Ettinger,c_000000009194__full-cat_2_8,Ettinger_c_000000009194,NA,NA,NA,NA,NA,NA,3,MKF
Ettinger,c_000000012432__full-cat_1_6,Ettinger_c_000000012432,K01491,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9] [RN:R01655 R01220],Energy,C1,NA,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),2,MK
Ettinger,c_000000012432__full-cat_1_7,Ettinger_c_000000012432,NA,NA,NA,NA,NA,NA,2,MKEF
Ettinger,c_000000016440__full_1-cat_1_7,Ettinger_c_000000016440,GH113,GH113 beta-mannanase (EC 3.2.1.78),carbon utilization,CAZY,"Beta-mannan Backbone Cleavage (Hemicellulose), Beta-mannan Oligo Cleavage (Hemicellulose)",Glycoside Hydrolases,2,MF
Ettinger,c_000000024595__full-cat_1_6,Ettinger_c_000000024595,NA,NA,NA,NA,NA,NA,2,MKF
Ettinger,c_000000027735__full-cat_1_4,Ettinger_c_000000027735,GT4,"GT4 sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); GDP-Man: Man1GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase (EC 2.4.1.132); GDP-Man: Man3GlcNAc2-PP-dolichol/Man4GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase (EC 2.4.1.131); digalactosyldiacylglycerol synthase (EC 2.4.1.141); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157); diglucosyl diacylglycerol synthase (EC 2.4.1.208); trehalose phosphorylase (EC 2.4.1.231); NDP-Glc: alpha-glucose alpha-glucosyltransferase / alpha,alpha-trehalose synthase (EC 2.4.1.245); GDP-Man: Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase (EC 2.4.1.257); UDP-GlcNAc: 2-deoxystreptamine alpha-N-acetylglucosaminyltransferase (EC 2.4.1.283); UDP-GlcNAc: ribostamycin alpha-N-acetylglucosaminyltransferase (EC 2.4.1.285); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-); UDP-GlcA alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Glc alpha-glucosyltransferase (EC 2.4.1.-); UDP-GalNAc: GalNAc-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.306); UDP-GalNAc: N,N'-diacetylbacillosaminyl-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.290); ADP-dependent alpha-maltose-1-phosphate synthase (2.4.1.342)",carbon utilization,CAZY,NA,GlycosylTransferases,2,MKTF
Ettinger,c_000000034469__full-cat_2_3,Ettinger_c_000000034469,K01990,ABC-2.A; ABC-2 type transport system ATP-binding protein,Transporters,NA,NA,ABC-2 type transport system,3,MF
Ettinger,c_000000034469__full-cat_2_7,Ettinger_c_000000034469,NA,NA,NA,NA,NA,NA,3,MK
Ettinger,c_000000080041__full-cat_2_7,Ettinger_c_000000080041,NA,NA,NA,NA,NA,NA,3,MKF
