seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
k141_231596||full	0.487	0.253	0.165	0.613	0.107	0.613	ssDNA	5386	1	50.000	0.000
k141_191974||full	0.080	0.673	0.015	0.007	0.260	0.673	NCLDV	9993	0	18.200	9.100
k141_51292||full	0.320	0.667	0.820	0.120	0.380	0.820	RNA	5786	0	28.600	0.000
k141_10784||full	0.833	0.707	1.000	0.393	0.960	1.000	RNA	6314	1	50.000	0.000
k141_121589||full	0.713	0.687	1.000	0.347	0.807	1.000	RNA	7485	0	33.300	0.000
k141_152465||full	0.153	0.547	0.005	0.007	0.220	0.547	NCLDV	5371	0	40.000	20.000
k141_113788||full	0.280	0.833	0.815	0.913	0.960	0.960	lavidaviridae	1774	0	50.000	0.000
k141_73243||full	0.740	0.713	0.995	0.320	0.987	0.995	RNA	7439	1	50.000	0.000
k141_224951||full	0.120	0.693	0.065	0.013	0.220	0.693	NCLDV	5523	0	10.000	0.000
k141_198156||full	0.807	0.647	1.000	0.580	0.960	1.000	RNA	6721	1	50.000	0.000
k141_57619||full	0.740	0.473	1.000	0.553	0.947	1.000	RNA	4730	1	50.000	0.000
k141_5988||full	0.467	0.287	1.000	0.433	0.913	1.000	RNA	6257	1	33.300	0.000
k141_229477||full	0.580	0.600	0.965	0.347	0.767	0.965	RNA	7650	1	50.000	0.000
k141_160941||full	0.367	0.400	1.000	0.513	0.887	1.000	RNA	5105	1	33.300	0.000
k141_130680||full	0.820	0.607	0.990	0.300	0.780	0.990	RNA	6954	1	33.300	0.000
k141_10688||lt2gene	nan	nan	nan	nan	nan	nan	RNA	15517	1	100.000	0.000
k141_177724||lt2gene	nan	nan	nan	nan	nan	nan	RNA	8592	1	100.000	0.000
k141_189868||lt2gene	nan	nan	nan	nan	nan	nan	RNA	5238	1	100.000	0.000
k141_8063||lt2gene	nan	nan	nan	nan	nan	nan	RNA	5298	1	100.000	0.000
k141_149981||lt2gene	nan	nan	nan	nan	nan	nan	RNA	6114	1	100.000	0.000
