gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
k141_1132491__full-cat_1_3	k141_1132491__full-cat_1	K01886	QARS; glutaminyl-tRNA synthetase [EC:6.1.1.18]	MISC	Information systems		Aminoacyl-tRNA biosynthesis, eukaryotes	2	MKF
k141_1202644__full-cat_2_2	k141_1202644__full-cat_2	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	3	MF
k141_1326277__full-cat_2_5	k141_1326277__full-cat_2	M24B	Catlytic type: Metallo; cleave the bond XaaPro; found in eukaryotes associated with collagen recycling	Organic Nitrogen	Peptidase		Exopeptidases that require co-catalytic ions of cobalt or manganese	3	MF
k141_1373072__full-cat_1_17	k141_1373072__full-cat_1							2	MK
k141_1373072__full-cat_1_60	k141_1373072__full-cat_1	CE2	CE2 acetyl xylan esterase (EC 3.1.1.72).	carbon utilization	CAZY	Beta-mannan Oligo Cleavage (Hemicellulose)	Carbohydrate Esterases	2	M
k141_1389565__full-cat_1_10	k141_1389565__full-cat_1	GH74	GH74 endoglucanase (EC 3.2.1.4); oligoxyloglucan reducing end-specific cellobiohydrolase (EC 3.2.1.150); xyloglucanase (EC 3.2.1.151)	carbon utilization	CAZY	Xyloglucan Backbone Cleavage (Hemicellulose)	Glycoside Hydrolases	1	M
k141_1412684__full-cat_2_2	k141_1412684__full-cat_2							3	MKF
k141_1412684__full-cat_2_3	k141_1412684__full-cat_2							3	MKF
k141_1412684__full-cat_2_5	k141_1412684__full-cat_2							3	MKF
k141_1412684__full-cat_2_6	k141_1412684__full-cat_2	K00012	UGDH; UDP-Glc -> UDP-GlcA [EC:1.1.1.22]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
k141_1412684__full-cat_2_6	k141_1412684__full-cat_2	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] [RN:R00286]	MISC	MISC		Glucuronate pathway (uronate pathway)	3	MKF
k141_1437209__full-cat_1_24	k141_1437209__full-cat_1							1	MK
k141_1437209__full-cat_1_34	k141_1437209__full-cat_1	CBM32	CBM32 Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278).	carbon utilization	CAZY		Carbohydrate-Binding Modules	1	M
k141_1550799__full-cat_2_9	k141_1550799__full-cat_2							3	MKF
k141_162258__full-cat_2_5	k141_162258__full-cat_2							3	MKF
k141_162258__full-cat_2_7	k141_162258__full-cat_2							3	MK
k141_1629337__full-cat_2_4	k141_1629337__full-cat_2							3	MKF
k141_1632716__full-cat_1_5	k141_1632716__full-cat_1	GH93	GH93 exo-alpha-L-1,5-arabinanase (EC 3.2.1.-)	carbon utilization	CAZY	Arabinan Oligo Cleavage	Glycoside Hydrolases	2	MF
k141_1632716__full-cat_1_5	k141_1632716__full-cat_1	GH33	GH33 sialidase or neuraminidase (EC 3.2.1.18); trans-sialidase (EC 2.4.1.-); anhydrosialidase (EC 4.2.2.15); Kdo hydrolase (EC 3.2.1.-); 2-keto-3-deoxynononic acid hydrolase / KDNase (EC 3.2.1.-)	carbon utilization	CAZY		Glycoside Hydrolases	2	MF
k141_1644479__full-cat_2_3	k141_1644479__full-cat_2	C110	Catlytic type: Cysteine	Organic Nitrogen	Peptidase		Cysteine endopeptidases	3	MF
k141_1678810__full-cat_2_6	k141_1678810__full-cat_2							3	MKF
k141_1678810__full-cat_2_7	k141_1678810__full-cat_2							3	MK
k141_1678810__full-cat_2_9	k141_1678810__full-cat_2							3	MKF
k141_1731948__full-cat_2_3	k141_1731948__full-cat_2	K03179	4-hydroxybenzoate polyprenyltransferase	MISC	MISC		Ubiquinone biosynthesis	3	MF
k141_1941920__full-cat_2_6	k141_1941920__full-cat_2							3	MKF
k141_2008289__full-cat_1_37	k141_2008289__full-cat_1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	MT
k141_2008289__full-cat_1_70	k141_2008289__full-cat_1							1	MKT
k141_2024549__full-cat_2_2	k141_2024549__full-cat_2							3	MKF
k141_2024549__full-cat_2_6	k141_2024549__full-cat_2							3	MKF
k141_2069615__full-cat_2_2	k141_2069615__full-cat_2							3	MKF
k141_2069615__full-cat_2_6	k141_2069615__full-cat_2	C82A	Catlytic type: Cysteine; hydrolyse the L-Lys(3)-D-Ala(4) bonds of bacterial cell wall components; protein showed cell-wall cross-linking activity	Organic Nitrogen	Peptidase		Hydrolase (and transfer) bacterial cell wall peptides	3	M
k141_2096649__full-cat_1_20	k141_2096649__full-cat_1							2	MK
k141_2104037__full-cat_1_11	k141_2104037__full-cat_1	M26	Catlytic type: Metallo; cleaves the heavy chain of human IgA1 at the Pro227-Thr228 bond; tightly associated with the bacterial cell surface	Organic Nitrogen	Peptidase		Endopeptidases	2	M
k141_2144506__full-cat_2_8	k141_2144506__full-cat_2							3	MKF
k141_2159960__full-cat_2_4	k141_2159960__full-cat_2	K02112	ATPF1B; F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]	Energy	Electron transport Chain		F-type ATPase, prokaryotes and chloroplasts	3	MF
k141_2159960__full-cat_2_5	k141_2159960__full-cat_2	K02114	ATPF1E; F-type H+-transporting ATPase subunit epsilon	Energy	Electron transport Chain		F-type ATPase, prokaryotes and chloroplasts	3	MF
k141_2159960__full-cat_2_10	k141_2159960__full-cat_2	M82	Catlytic type: Metallo; inactivates the anti-sigma factor RsiW by performing the first of several cleavages	Organic Nitrogen	Peptidase		Endopeptidases	3	MF
k141_2216988__full-cat_2_6	k141_2216988__full-cat_2	K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1] [RN:R01529]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	3	MKF
k141_2216988__full-cat_2_6	k141_2216988__full-cat_2	K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1] [RN:R01529]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	3	MKF
k141_2310578__full-cat_2_4	k141_2310578__full-cat_2	K01756	adenylosuccinate lyase [EC:4.3.2.2] [RN:R04559]	MISC	Information systems	Nucleotide	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	3	MKF
k141_2310578__full-cat_2_4	k141_2310578__full-cat_2	K01756	adenylosuccinate lyase [EC:4.3.2.2] [RN:R01083]	MISC	Information systems	Nucleotide	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	3	MKF
k141_2330680__full-cat_1_18	k141_2330680__full-cat_1							2	MKF
k141_2410571__full-cat_2_4	k141_2410571__full-cat_2							3	MKF
k141_2447416__full-cat_2_3	k141_2447416__full-cat_2							3	MKF
k141_2447416__full-cat_2_5	k141_2447416__full-cat_2							3	MKF
k141_2473796__full-cat_2_3	k141_2473796__full-cat_2							3	MKF
k141_2473796__full-cat_2_4	k141_2473796__full-cat_2	K02030	ABC.PA.S; polar amino acid transport system substrate-binding protein	Transporters			Putative polar amino acid transport system	3	MF
k141_2473796__full-cat_2_4	k141_2473796__full-cat_2	K02030	ABC.PA.S; polar amino acid transport system substrate-binding protein	Transporters			Putative polar amino acid transport system	3	MF
k141_2598696__full-cat_2_3	k141_2598696__full-cat_2	K01817	phosphoribosylanthranilate isomerase [EC:5.3.1.24] [RN:R03509]	Organic Nitrogen	Amino Acid		Tryptophan biosynthesis, chorismate => tryptophan	3	MKF
k141_2598696__full-cat_2_3	k141_2598696__full-cat_2	K01696	tryptophan synthase [EC:4.2.1.20] [RN:R02722]	Organic Nitrogen	Amino Acid		Tryptophan biosynthesis, chorismate => tryptophan	3	MKF
k141_2598696__full-cat_2_4	k141_2598696__full-cat_2	M17	Catlytic type: Metallo; any N-terminal amino acid can be released from dipeptides and polypeptides, although there is a preference for leucine; bonds with proline in P1 are not cleaved; maximally active between pH 9 and 9.5	Organic Nitrogen	Peptidase		Aminopeptidases	3	MF
k141_2661021__full-cat_2_4	k141_2661021__full-cat_2	GT4	GT4 sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); GDP-Man: Man1GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase (EC 2.4.1.132); GDP-Man: Man3GlcNAc2-PP-dolichol/Man4GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase (EC 2.4.1.131); digalactosyldiacylglycerol synthase (EC 2.4.1.141); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157); diglucosyl diacylglycerol synthase (EC 2.4.1.208); trehalose phosphorylase (EC 2.4.1.231); NDP-Glc: alpha-glucose alpha-glucosyltransferase / alpha,alpha-trehalose synthase (EC 2.4.1.245); GDP-Man: Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase (EC 2.4.1.257); UDP-GlcNAc: 2-deoxystreptamine alpha-N-acetylglucosaminyltransferase (EC 2.4.1.283); UDP-GlcNAc: ribostamycin alpha-N-acetylglucosaminyltransferase (EC 2.4.1.285); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-); UDP-GlcA alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Glc alpha-glucosyltransferase (EC 2.4.1.-); UDP-GalNAc: GalNAc-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.306); UDP-GalNAc: N,N'-diacetylbacillosaminyl-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.290); ADP-dependent alpha-maltose-1-phosphate synthase (2.4.1.342)	carbon utilization	CAZY		GlycosylTransferases	3	MKF
k141_2661021__full-cat_2_5	k141_2661021__full-cat_2							3	MKF
k141_2730586__full-cat_2_3	k141_2730586__full-cat_2	K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1] [RN:R01529]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	3	MKF
k141_2730586__full-cat_2_3	k141_2730586__full-cat_2	K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1] [RN:R01529]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	3	MKF
k141_2757833__full-cat_2_3	k141_2757833__full-cat_2	K00850	6-phosphofructokinase [EC:2.7.1.11] [RN:R04779]	carbon utilization	central carbon	glycolysis	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	3	MF
k141_277206__full-cat_1_49	k141_277206__full-cat_1							1	MK
k141_277206__full-cat_1_50	k141_277206__full-cat_1							1	MK
k141_277206__full-cat_1_53	k141_277206__full-cat_1							1	MK
k141_277206__full-cat_1_57	k141_277206__full-cat_1							1	MK
