contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
k119_386303||full	6061	No	NA	10	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_301475||full	9347	No	NA	14	1	0	Low-quality	Genome-fragment	8.5	HMM-based (lower-bound)	0.0	1.0	
k119_687196||full	6008	No	NA	6	3	0	Low-quality	Genome-fragment	11.35	AAI-based (medium-confidence)	0.0	1.0	
k119_601733||full	9049	No	NA	15	1	0	Low-quality	Genome-fragment	4.57	HMM-based (lower-bound)	0.0	1.0	
k119_944606||full	14497	No	NA	18	4	1	Low-quality	Genome-fragment	5.86	HMM-based (lower-bound)	0.0	1.0	
k119_173738||full	8922	No	NA	10	0	5	Low-quality	Genome-fragment	17.66	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
k119_473861||full	5116	No	NA	8	1	0	Low-quality	Genome-fragment	2.22	HMM-based (lower-bound)	0.0	1.03	
k119_345887||full	5261	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_303339||full	6576	No	NA	9	3	0	Low-quality	Genome-fragment	6.61	HMM-based (lower-bound)	0.0	1.0	
k119_474659||full	5744	No	NA	5	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_560730||full	5651	No	NA	6	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_560747||full	5098	No	NA	15	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_432518||full	12076	No	NA	28	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_389828||full	5208	No	NA	5	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_860591||full	9535	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_689779||full	7870	No	NA	9	2	0	Low-quality	Genome-fragment	21.67	AAI-based (high-confidence)	0.0	1.0	
k119_518727||full	10927	No	NA	9	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_47432||full	16508	No	NA	27	3	5	Low-quality	Genome-fragment	5.47	AAI-based (medium-confidence)	0.0	1.0	
k119_947351||full	5125	No	NA	4	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_5488||full	7732	No	NA	19	2	0	Low-quality	Genome-fragment	5.78	HMM-based (lower-bound)	0.0	1.0	
k119_519156||full	17535	No	NA	32	2	2	Low-quality	Genome-fragment	26.44	HMM-based (lower-bound)	0.0	1.0	
k119_991830||full	7646	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_648932||full	10191	No	NA	8	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_134593||full	5489	No	NA	5	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_392498||full	5895	No	NA	5	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_950180||full	5630	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_50797||full	5245	No	NA	4	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_522451||full	16028	No	NA	12	1	1	Low-quality	Genome-fragment	12.83	HMM-based (lower-bound)	0.0	1.0	
k119_136451||full	24416	No	NA	10	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_737838||full	8310	No	NA	24	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_525796||full	5274	No	NA	6	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_825208||full	7005	No	NA	16	1	0	Low-quality	Genome-fragment	16.67	HMM-based (lower-bound)	0.0	1.0	
k119_312433||full	5394	No	NA	4	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_97593||full	11058	No	NA	13	1	0	Low-quality	Genome-fragment	28.68	AAI-based (medium-confidence)	0.0	1.0	
k119_98939||full	6047	No	NA	9	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_614351||full	5006	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_228931||full	11449	No	NA	13	1	2	Low-quality	Genome-fragment	9.16	HMM-based (lower-bound)	0.0	1.0	
k119_185805||full	5961	No	NA	6	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_401120||full	6681	No	NA	7	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_871575||full	12334	No	NA	19	2	0	Low-quality	Genome-fragment	5.24	HMM-based (lower-bound)	0.0	1.0	
k119_701593||full	7481	No	NA	7	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_916499||full	5428	Yes	1597	6	2	3	Low-quality	Genome-fragment	1.27	HMM-based (lower-bound)	70.58	1.0	
k119_659478||full	10053	No	NA	11	1	0	Low-quality	Genome-fragment	3.43	AAI-based (medium-confidence)	0.0	1.0	
k119_402696||full	6614	No	NA	9	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
