contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
k141_15531234||0_partial	16770	No	NA	15	0	11	Low-quality	Genome-fragment	4.87	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
k141_12171981||full	6835	No	NA	12	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_13694076||full	5565	No	NA	5	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_3043686||full	5775	No	NA	5	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_18260799||full	15317	No	NA	19	10	0	Low-quality	Genome-fragment	26.94	AAI-based (medium-confidence)	0.0	1.0	
k141_3411||full	7101	No	NA	7	0	7	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_34999369||full	49502	No	NA	89	8	2	Low-quality	Genome-fragment	44.17	HMM-based (lower-bound)	0.0	1.0	
k141_22828005||full	5566	No	NA	7	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_35000287||full	6014	No	NA	10	1	0	Low-quality	Genome-fragment	2.29	HMM-based (lower-bound)	0.0	1.0	
k141_21306950||full	54629	No	NA	73	18	3	Medium-quality	Genome-fragment	76.86	HMM-based (lower-bound)	0.0	1.0	low-confidence DTR
k141_7614428||full	5941	No	NA	5	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_31958492||full	5042	No	NA	7	4	0	Low-quality	Genome-fragment	11.59	AAI-based (high-confidence)	0.0	1.0	
k141_33480656||full	8367	No	NA	12	0	8	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_35002793||full	9704	No	NA	11	0	9	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_33480766||full	7359	No	NA	9	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_18266883||full	10031	No	NA	16	1	0	Low-quality	Genome-fragment	6.07	HMM-based (lower-bound)	0.0	1.0	
k141_15224294||full	7283	No	NA	18	1	4	Low-quality	Genome-fragment	2.51	HMM-based (lower-bound)	0.0	1.0	
k141_1531156||full	6165	No	NA	4	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_25875799||full	5012	No	NA	6	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_21311363||full	10594	No	NA	14	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_28919149||full	13900	No	NA	25	1	0	Low-quality	Genome-fragment	11.05	HMM-based (lower-bound)	0.0	1.01	low-confidence DTR
k141_4575716||full	7458	No	NA	9	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_7618351||full	5718	No	NA	6	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_14465||full	5681	No	NA	10	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_21314667||full	5856	No	NA	4	0	4	Low-quality	Genome-fragment	4.17	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
k141_31965920||full	9320	No	NA	15	4	0	Low-quality	Genome-fragment	23.98	AAI-based (medium-confidence)	0.0	1.0	
k141_25881033||full	7548	No	NA	7	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_13708958||full	8621	No	NA	22	2	0	Low-quality	Genome-fragment	13.44	HMM-based (lower-bound)	0.0	1.0	
k141_18275061||full	10534	No	NA	18	7	0	Low-quality	Genome-fragment	27.94	AAI-based (high-confidence)	0.0	1.0	
k141_28925255||full	7402	No	NA	10	3	0	Low-quality	Genome-fragment	19.21	AAI-based (medium-confidence)	0.0	1.0	
k141_3060652||full	18762	No	NA	9	0	0	Low-quality	Genome-fragment	7.1	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
k141_18275936||full	10389	No	NA	14	4	0	Low-quality	Genome-fragment	22.12	AAI-based (high-confidence)	0.0	1.0	
k141_3061687||full	5774	No	NA	5	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_27404950||full	5662	No	NA	5	2	0	Low-quality	Genome-fragment	3.94	AAI-based (medium-confidence)	0.0	1.0	
