contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
k141_5361741||0_partial	14764	No	NA	15	2	4	Low-quality	Genome-fragment	7.42	HMM-based (lower-bound)	0.0	1.0	
k141_6839455||full	9577	No	NA	6	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_4233988||full	6467	No	NA	5	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_7165243||full	14757	No	NA	13	0	7	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_6188729||full	6279	No	NA	7	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_652057||full	5369	No	NA	3	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_6840169||full	5905	No	NA	5	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_1629337||full	10077	No	NA	8	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_4234675||full	5460	No	NA	5	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_4886171||full	6714	No	NA	6	2	0	Low-quality	Genome-fragment	11.83	AAI-based (medium-confidence)	0.0	1.0	
k141_5212003||full	5095	No	NA	5	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_652397||full	7098	No	NA	6	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_4560688||full	9317	No	NA	9	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_4234949||full	8349	No	NA	11	0	5	Low-quality	Genome-fragment	2.46	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
k141_1304024||full	7899	No	NA	9	2	0	Low-quality	Genome-fragment	20.93	AAI-based (medium-confidence)	0.0	1.0	
k141_5863899||full	7376	No	NA	13	3	0	Low-quality	Genome-fragment	12.79	HMM-based (lower-bound)	0.0	1.0	
k141_6515076||full	11842	No	NA	11	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_5538214||full	5445	No	NA	3	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_6515121||full	7139	No	NA	11	4	0	Low-quality	Genome-fragment	12.66	HMM-based (lower-bound)	0.0	1.0	
k141_6515287||full	5854	No	NA	4	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_4235699||lt2gene	6215	No	NA	1	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_5864379||full	6649	No	NA	7	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_978974||full	6534	No	NA	5	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_6190352||full	6210	Yes	1076	4	1	3	Low-quality	Genome-fragment	0.82	HMM-based (lower-bound)	82.67	1.02	
