	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with host benefits	Viral genes with unknown function	Viral replication genes	Viral genes with viral benefits	Viral structure genes
k141_10051237__full-cat_2	2	False	False	28	4	0	False	0.0	28.0	0.0	0.0	0.0	0.0	0.0
k141_10675034__full-cat_2	2	False	False	7	2	0	False	0.0	6.0	1.0	0.0	0.0	0.0	0.0
k141_10675967__full-cat_2	2	False	False	8	3	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_10678985__full-cat_1	1	False	False	8	2	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_10681081__full-cat_1	1	False	False	14	0	0	False	0.0	9.0	2.0	3.0	0.0	0.0	0.0
k141_10683038__full-cat_1	1	False	False	24	6	0	False	0.041666666666666664	23.0	1.0	0.0	0.0	0.0	0.0
k141_10687851__full-cat_2	2	False	False	16	2	0	False	0.0	15.0	1.0	0.0	0.0	0.0	0.0
k141_10693509__full-cat_2	2	False	False	13	1	0	False	0.0	12.0	1.0	0.0	0.0	0.0	0.0
k141_10703592__full-cat_1	1	False	False	23	5	0	False	0.0	18.0	0.0	5.0	0.0	0.0	0.0
k141_10730748__full-cat_2	2	False	False	3	0	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_10735901__full-cat_1	1	False	False	13	0	0	False	0.0	11.0	1.0	1.0	0.0	0.0	0.0
k141_10738198__full-cat_2	2	False	False	10	1	0	False	0.1	7.0	2.0	1.0	0.0	0.0	0.0
k141_10745464__full-cat_2	2	False	False	12	3	0	False	0.08333333333333333	9.0	1.0	2.0	0.0	0.0	0.0
k141_10751041__full-cat_2	2	False	False	30	1	1	False	0.03333333333333333	27.0	1.0	2.0	0.0	0.0	0.0
k141_10754296__full-cat_2	2	False	False	6	0	0	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
k141_10757409__full-cat_2	2	False	False	24	1	0	False	0.0	21.0	0.0	2.0	1.0	0.0	0.0
k141_10765829__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_10765994__full-cat_1	1	False	False	8	0	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_10774681__full-cat_2	2	False	False	4	1	0	False	0.0	3.0	1.0	0.0	0.0	0.0	0.0
k141_10788998__full-cat_1	1	False	False	12	2	0	False	0.0	8.0	0.0	4.0	0.0	0.0	0.0
k141_10797621__full-cat_1	1	False	False	26	0	0	False	0.0	24.0	1.0	1.0	0.0	0.0	0.0
k141_10832528__full-cat_2	2	False	False	5	3	0	False	0.2	3.0	2.0	0.0	0.0	0.0	0.0
k141_10834765__full-cat_2	2	False	False	8	0	0	False	0.125	6.0	1.0	1.0	0.0	0.0	0.0
k141_10840928__full-cat_2	2	False	False	4	2	0	False	0.0	2.0	0.0	1.0	1.0	0.0	0.0
k141_10843462__full-cat_2	2	False	False	5	0	0	False	0.0	4.0	1.0	0.0	0.0	0.0	0.0
k141_10849265__full-cat_2	2	False	False	11	3	0	False	0.0	10.0	1.0	0.0	0.0	0.0	0.0
k141_10852798__full-cat_2	2	False	False	3	1	0	False	0.0	2.0	1.0	0.0	0.0	0.0	0.0
k141_10854593__full-cat_2	2	False	False	5	0	0	False	0.2	4.0	1.0	0.0	0.0	0.0	0.0
k141_10871518__full-cat_2	2	False	False	12	0	1	False	0.0	10.0	0.0	2.0	0.0	0.0	0.0
k141_10896256__full-cat_1	1	False	False	4	1	0	False	0.0	3.0	0.0	1.0	0.0	0.0	0.0
k141_10903220__full-cat_2	2	False	False	9	1	0	True	0.1111111111111111	6.0	3.0	0.0	0.0	0.0	0.0
k141_10904853__full_1-cat_2	2	False	False	9	0	0	False	0.1111111111111111	7.0	2.0	0.0	0.0	0.0	0.0
k141_10916206__full-cat_2	2	False	False	7	0	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_10920472__full-cat_2	2	False	False	6	2	0	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
k141_10920880__full-cat_2	2	False	False	26	0	0	False	0.0	24.0	0.0	2.0	0.0	0.0	0.0
k141_10925759__full-cat_2	2	False	False	7	1	0	False	0.0	6.0	0.0	1.0	0.0	0.0	0.0
k141_10947625__full-cat_2	2	False	False	11	0	0	False	0.09090909090909091	8.0	1.0	2.0	0.0	0.0	0.0
k141_10952049__full-cat_2	2	False	False	9	1	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_10955432__full-cat_2	2	False	False	7	3	1	False	0.0	5.0	2.0	0.0	0.0	0.0	0.0
k141_10983834__full-cat_1	1	False	False	17	0	0	False	0.0	15.0	1.0	1.0	0.0	0.0	0.0
k141_10996083__full-cat_2	2	False	False	8	2	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_11008908__full-cat_1	1	False	False	3	0	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_11013216__full-cat_1	1	False	False	6	0	0	False	0.0	4.0	2.0	0.0	0.0	0.0	0.0
k141_11014355__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_11041394__full-cat_2	2	False	False	7	3	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_11042549__full-cat_2	2	False	False	19	2	0	False	0.0	18.0	0.0	1.0	0.0	0.0	0.0
k141_11054832__full-cat_2	2	False	False	22	1	0	False	0.0	21.0	0.0	1.0	0.0	0.0	0.0
k141_11067362__full-cat_2	2	False	False	7	0	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_11070039__full-cat_2	2	False	False	12	0	0	False	0.08333333333333333	10.0	1.0	0.0	1.0	0.0	0.0
k141_11081248__full-cat_2	2	False	False	7	1	0	False	0.0	5.0	2.0	0.0	0.0	0.0	0.0
k141_11087676__full-cat_1	1	False	False	17	0	1	False	0.058823529411764705	13.0	2.0	2.0	0.0	0.0	0.0
k141_11207896__full_1-cat_2	2	False	False	21	2	0	False	0.0	19.0	0.0	2.0	0.0	0.0	0.0
k141_114401__full-cat_2	2	False	False	3	1	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_12171981__full-cat_2	2	False	False	12	3	0	False	0.08333333333333333	11.0	1.0	0.0	0.0	0.0	0.0
k141_12193822__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_12208748__full-cat_2	2	False	False	9	0	1	False	0.2222222222222222	6.0	2.0	1.0	0.0	0.0	0.0
k141_12226438__full-cat_2	2	False	False	15	0	0	False	0.06666666666666667	12.0	2.0	1.0	0.0	0.0	0.0
k141_12229426__full-cat_2	2	False	False	22	2	0	False	0.0	22.0	0.0	0.0	0.0	0.0	0.0
k141_12237800__full-cat_2	2	False	False	9	0	1	False	0.2222222222222222	7.0	2.0	0.0	0.0	0.0	0.0
k141_12239851__full-cat_2	2	False	False	7	0	0	True	0.0	4.0	3.0	0.0	0.0	0.0	0.0
k141_12255759__full-cat_1	1	False	False	34	2	0	False	0.0	32.0	1.0	1.0	0.0	0.0	0.0
k141_12276524__full-cat_2	2	False	False	5	1	0	False	0.0	4.0	0.0	1.0	0.0	0.0	0.0
k141_12289927__full-cat_1	1	False	False	8	2	0	False	0.125	5.0	3.0	0.0	0.0	0.0	0.0
k141_12293369__full-cat_2	2	False	False	6	0	0	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
