seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
c_000000065829||full	0.780	0.687	0.110	0.647	0.267	0.780	dsDNAphage	4225	0	25.000	0.000
c_000000127381||full	0.993	0.873	0.000	0.020	0.093	0.993	dsDNAphage	39230	14	55.200	3.400
c_000000352373||full	0.273	0.320	0.305	0.053	0.880	0.880	lavidaviridae	10242	0	20.000	0.000
c_000000673873||full	1.000	0.360	0.000	0.000	0.020	1.000	dsDNAphage	34705	11	50.000	6.500
c_000000727044||full	1.000	0.160	0.065	0.287	0.193	1.000	dsDNAphage	39194	5	47.200	0.000
c_000000889223||full	0.573	0.967	0.195	0.353	0.973	0.973	lavidaviridae	5256	0	20.000	0.000
c_000000940758||full	0.540	0.840	0.535	0.593	0.807	0.840	NCLDV	4647	0	50.000	0.000
c_000000965436||full	0.307	0.507	0.250	0.200	0.653	0.653	lavidaviridae	5724	0	33.300	0.000
c_000001064625||full	0.980	0.107	0.000	0.000	0.013	0.980	dsDNAphage	33170	13	47.500	10.000
c_000001163250||full	0.533	nan	0.115	0.620	0.567	0.620	ssDNA	5823	0	100.000	0.000
c_000001678367||full	1.000	0.387	0.070	0.213	0.467	1.000	dsDNAphage	39002	6	43.600	0.000
c_000002110192||full	0.687	0.693	0.230	0.213	0.713	0.713	lavidaviridae	7437	0	28.600	0.000
c_000002267460||full	0.200	0.580	0.050	0.020	0.833	0.833	lavidaviridae	5773	0	16.700	0.000
c_000002325272||full	0.287	0.660	0.015	0.027	0.207	0.660	NCLDV	6472	0	50.000	16.700
c_000002565205||full	0.953	0.087	0.000	0.000	0.027	0.953	dsDNAphage	31633	3	43.800	3.100
c_000002568038||full	0.353	0.953	0.095	0.273	0.573	0.953	NCLDV	7358	1	50.000	0.000
c_000002848494||full	0.893	0.233	0.000	0.000	0.140	0.893	dsDNAphage	104864	4	20.400	1.900
c_000002858716||full	1.000	0.127	0.030	0.000	0.427	1.000	dsDNAphage	73910	5	30.500	2.400
c_000002952918||full	0.647	0.107	0.000	0.000	0.000	0.647	dsDNAphage	74596	5	21.600	18.900
c_000003335104||full	1.000	0.107	0.000	0.013	0.053	1.000	dsDNAphage	35776	3	21.200	1.900
c_000003501646||full	0.373	0.307	0.555	0.120	0.787	0.787	lavidaviridae	8350	0	20.000	0.000
c_000005284336||full	1.000	0.067	0.000	0.033	0.047	1.000	dsDNAphage	68583	2	48.100	1.200
c_000005290412||full	1.000	0.173	0.005	0.000	0.100	1.000	dsDNAphage	44784	3	27.800	0.000
c_000005292813||full	0.720	0.880	0.580	0.060	0.947	0.947	lavidaviridae	9271	0	28.600	0.000
c_000005297748||full	0.993	0.107	0.030	0.007	0.407	0.993	dsDNAphage	128509	6	29.900	3.000
c_000005302123||full	0.553	0.300	0.030	0.020	0.320	0.553	dsDNAphage	9802	0	13.300	0.000
c_000005304603||full	1.000	0.053	0.000	0.053	0.260	1.000	dsDNAphage	34001	3	33.300	3.700
c_000005305948||full	0.560	0.867	0.235	0.060	0.807	0.867	NCLDV	6058	0	28.600	0.000
c_000005306750||full	1.000	0.547	0.055	0.167	0.873	1.000	dsDNAphage	28163	2	28.900	2.600
c_000005308450||full	0.993	0.853	0.035	0.713	0.393	0.993	dsDNAphage	42564	13	70.200	0.000
c_000005309236||full	0.207	0.740	0.325	0.007	0.793	0.793	lavidaviridae	12747	0	20.000	0.000
c_000005312595||full	0.693	0.740	0.690	0.173	0.880	0.880	lavidaviridae	8629	0	28.600	0.000
c_000005314755||full	0.993	0.227	0.020	0.067	0.127	0.993	dsDNAphage	40003	9	57.100	0.000
c_000005315051||full	0.860	0.053	0.045	0.020	0.667	0.860	dsDNAphage	8716	1	18.200	9.100
c_000005316856||full	0.487	0.260	0.165	0.620	0.100	0.620	ssDNA	5386	1	33.300	0.000
