	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with unknown function	Viral replication genes	Viral genes with host benefits	Viral genes with viral benefits	Viral structure genes
c_000000002292__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	1.0	0.0	0.0	0.0	0.0	0.0
c_000000342470__lt2gene-cat_1	1	False	False	2	0	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
c_000000721395__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	1.0	0.0	0.0	0.0	0.0	0.0
c_000000760503__lt2gene-cat_1	1	False	False	2	0	0	False	0.0	1.0	1.0	0.0	0.0	0.0	0.0
c_000001068320__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	1.0	0.0	0.0	0.0	0.0	0.0
c_000001170700__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	1.0	0.0	0.0	0.0	0.0	0.0
c_000001253879__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	0.0	1.0	0.0	0.0	0.0	0.0
c_000001306427__lt2gene-cat_1	1	False	False	2	0	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
c_000001316614__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	1.0	0.0	0.0	0.0	0.0	0.0
c_000001467838__lt2gene-cat_1	1	False	False	2	0	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
c_000001632536__lt2gene-cat_1	1	False	False	2	1	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
c_000001748466__lt2gene-cat_1	1	False	False	2	1	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
c_000001766430__lt2gene-cat_1	1	False	False	2	0	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
c_000002175831__lt2gene-cat_1	1	False	False	2	0	0	False	0.0	1.0	1.0	0.0	0.0	0.0	0.0
c_000002665260__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	0.0	1.0	0.0	0.0	0.0	0.0
c_000002675028__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	1.0	0.0	0.0	0.0	0.0	0.0
c_000002944538__lt2gene-cat_1	1	False	False	2	0	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
c_000003252485__lt2gene-cat_1	1	False	False	2	1	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
c_000003475151__lt2gene-cat_1	1	False	False	2	0	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
c_000004291661__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	1.0	0.0	0.0	0.0	0.0	0.0
c_000004837698__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	1.0	0.0	0.0	0.0	0.0	0.0
c_000004942343__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	0.0	1.0	0.0	0.0	0.0	0.0
c_000005019781__full-cat_2	2	False	False	4	1	0	False	0.0	3.0	0.0	1.0	0.0	0.0	0.0
c_000005022326__full-cat_2	2	False	False	7	3	0	True	0.0	6.0	0.0	1.0	0.0	0.0	0.0
c_000005022496__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
c_000005025609__full-cat_2	2	False	False	7	0	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000005027039__full-cat_2	2	False	False	9	3	0	False	0.2222222222222222	7.0	0.0	0.0	2.0	0.0	0.0
c_000005028904__full-cat_2	2	False	False	7	1	0	False	0.0	5.0	2.0	0.0	0.0	0.0	0.0
c_000005030550__full-cat_2	2	False	False	8	0	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
c_000005031428__full-cat_2	2	False	False	8	6	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
c_000005031455__full-cat_2	2	False	False	3	0	0	False	0.0	1.0	2.0	0.0	0.0	0.0	0.0
c_000005031705__full-cat_2	2	False	False	4	3	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
c_000005032528__full-cat_2	2	False	False	12	3	0	False	0.0	12.0	0.0	0.0	0.0	0.0	0.0
c_000005033939__full-cat_2	2	False	False	6	3	0	False	0.16666666666666666	4.0	1.0	0.0	1.0	0.0	0.0
c_000005034866__full-cat_1	1	False	False	52	3	0	False	0.0	48.0	2.0	2.0	0.0	0.0	0.0
c_000005037420__full-cat_2	2	False	False	3	1	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
c_000005038279__full-cat_2	2	False	False	7	3	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000005039297__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
c_000005040784__full-cat_2	2	False	False	11	0	0	False	0.09090909090909091	10.0	0.0	0.0	1.0	0.0	0.0
c_000005040789__full-cat_2	2	False	False	3	1	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
c_000005041772__full-cat_2	2	False	False	9	2	0	False	0.1111111111111111	8.0	0.0	0.0	1.0	0.0	0.0
c_000005041987__full-cat_1	1	False	False	12	2	0	False	0.0	8.0	4.0	0.0	0.0	0.0	0.0
