seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
k119_546787||full	1.000	0.807	0.150	0.227	0.633	1.000	dsDNAphage	95583	9	40.700	0.000
k119_386303||full	0.360	0.580	0.275	0.033	0.500	0.580	NCLDV	5712	0	14.300	0.000
k119_301475||full	1.000	0.407	0.025	0.487	0.313	1.000	dsDNAphage	9346	1	50.000	0.000
k119_687196||full	1.000	0.187	0.290	0.580	0.540	1.000	dsDNAphage	6006	3	83.300	0.000
k119_601733||full	1.000	0.207	0.550	0.660	0.420	1.000	dsDNAphage	9049	1	26.700	0.000
k119_944606||full	0.987	0.720	0.000	0.007	0.047	0.987	dsDNAphage	14107	1	50.000	11.200
k119_173738||full	0.013	0.620	0.000	0.000	0.013	0.620	NCLDV	8715	0	10.000	0.000
k119_473861||full	0.927	0.753	0.340	0.200	0.720	0.927	dsDNAphage	4788	1	12.500	0.000
k119_345887||full	0.560	0.127	0.005	0.047	0.147	0.560	dsDNAphage	5259	0	66.700	16.700
k119_303339||full	0.987	0.873	0.350	0.860	1.000	1.000	lavidaviridae	6576	0	44.400	0.000
k119_474659||full	0.653	0.380	0.425	0.033	0.547	0.653	dsDNAphage	5511	0	40.000	0.000
k119_560730||full	0.193	0.713	0.310	0.020	0.380	0.713	NCLDV	5649	0	16.700	0.000
k119_560747||full	0.947	0.333	0.320	0.607	0.080	0.947	dsDNAphage	5041	0	6.700	0.000
k119_432518||full	0.880	0.427	0.095	0.320	0.100	0.880	dsDNAphage	11891	0	3.600	0.000
k119_389828||full	0.080	0.573	0.130	0.007	0.193	0.573	NCLDV	5022	0	20.000	0.000
k119_860591||full	0.753	0.447	0.775	0.133	0.827	0.827	lavidaviridae	8994	0	25.000	0.000
k119_689779||full	0.993	0.173	0.290	0.700	0.760	0.993	dsDNAphage	7868	2	55.600	0.000
k119_518727||full	0.033	0.520	0.010	0.000	0.040	0.520	NCLDV	10842	0	50.000	16.700
k119_47432||full	0.587	0.047	0.000	0.000	0.000	0.587	dsDNAphage	16338	0	26.900	15.400
k119_947351||full	0.240	0.673	0.170	0.093	0.140	0.673	NCLDV	4924	0	25.000	0.000
