	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral genes with host benefits	Viral hypothetical genes
k141_1103__full-cat_2	2	False	False	4	1	0	False	0.25	1.0	3
k141_1120__full-cat_2	2	False	False	9	1	0	False	0.0	0.0	9
k141_720__full-cat_2	2	False	False	3	1	0	False	0.0	1.0	2
k141_828__full-cat_2	2	False	False	4	1	0	False	0.5	2.0	2
k141_872__full-cat_2	2	False	False	5	1	0	False	0.2	1.0	4
